id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
48,correlation_ids_0,0.09375,,,0.53,0.53,0.53,0.53,0.51,0.53,0.52,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.53,0.52,0.53,0.52,0.53,0.51,0.52,0.51,0.52,0.52,13.09,0.52,false
49,correlation_ids_0,0.095703125,,,0.50,0.51,0.51,0.51,0.52,0.49,0.50,0.50,0.53,0.51,0.52,0.52,0.51,0.51,0.51,0.52,0.51,0.50,0.50,0.51,0.50,0.50,0.50,0.51,0.51,12.71,0.51,false
50,correlation_ids_0,0.09765625,,,0.46,0.47,0.46,0.47,0.47,0.45,0.46,0.45,0.48,0.47,0.48,0.48,0.47,0.48,0.46,0.45,0.46,0.47,0.47,0.46,0.47,0.48,0.47,0.47,0.46,11.67,0.47,false
51,correlation_ids_0,0.099609375,,,0.47,0.48,0.46,0.48,0.49,0.46,0.47,0.46,0.48,0.48,0.48,0.49,0.47,0.48,0.47,0.45,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.47,0.47,11.82,0.47,false
52,correlation_ids_0,0.1015625,,,0.52,0.52,0.52,0.54,0.55,0.54,0.55,0.52,0.53,0.54,0.54,0.53,0.51,0.53,0.51,0.50,0.52,0.53,0.56,0.53,0.53,0.53,0.52,0.51,0.52,13.20,0.53,false
53,correlation_ids_0,0.103515625,,,0.54,0.57,0.56,0.55,0.56,0.55,0.56,0.55,0.55,0.55,0.55,0.56,0.56,0.55,0.54,0.56,0.53,0.56,0.55,0.57,0.55,0.55,0.53,0.55,0.56,13.81,0.55,false
54,correlation_ids_0,0.10546875,,,0.51,0.51,0.51,0.52,0.51,0.51,0.53,0.50,0.51,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.54,0.51,0.51,0.51,0.51,0.53,0.51,0.49,0.52,12.84,0.51,false
55,correlation_ids_0,0.107421875,,,0.51,0.50,0.50,0.52,0.50,0.51,0.52,0.52,0.50,0.52,0.51,0.51,0.50,0.51,0.49,0.51,0.51,0.51,0.50,0.52,0.51,0.51,0.49,0.52,0.51,12.71,0.51,false
56,correlation_ids_0,0.109375,,,0.51,0.54,0.53,0.52,0.53,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.53,0.53,0.53,0.51,0.54,0.52,0.53,0.52,0.53,0.53,13.19,0.53,false
57,correlation_ids_0,0.111328125,,,0.57,0.57,0.57,0.56,0.55,0.57,0.55,0.56,0.58,0.56,0.57,0.57,0.56,0.57,0.56,0.57,0.56,0.55,0.56,0.57,0.55,0.56,0.55,0.56,0.56,14.06,0.56,true
58,correlation_ids_0,0.11328125,,,0.49,0.46,0.46,0.48,0.46,0.48,0.51,0.47,0.50,0.49,0.48,0.49,0.48,0.49,0.50,0.50,0.48,0.48,0.49,0.48,0.49,0.47,0.49,0.48,0.49,12.09,0.48,false
59,correlation_ids_0,0.115234375,,,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.45,0.48,0.48,0.47,0.47,0.48,0.47,0.48,0.47,0.47,0.48,0.47,0.46,0.47,0.48,0.47,0.47,0.46,11.79,0.47,false
60,correlation_ids_0,0.1171875,,,0.53,0.56,0.55,0.54,0.55,0.54,0.56,0.53,0.54,0.54,0.55,0.54,0.56,0.55,0.57,0.56,0.54,0.54,0.55,0.56,0.55,0.56,0.53,0.55,0.55,13.70,0.55,false
61,correlation_ids_0,0.119140625,,,0.52,0.50,0.49,0.51,0.50,0.50,0.53,0.51,0.50,0.51,0.51,0.52,0.52,0.50,0.53,0.52,0.52,0.52,0.54,0.52,0.53,0.53,0.51,0.51,0.50,12.85,0.51,false
62,correlation_ids_0,0.12109375,,,0.46,0.46,0.44,0.46,0.44,0.46,0.46,0.44,0.44,0.44,0.45,0.45,0.44,0.46,0.46,0.44,0.45,0.46,0.45,0.44,0.44,0.45,0.44,0.44,0.46,11.23,0.45,false
63,correlation_ids_0,0.123046875,,,0.45,0.45,0.42,0.45,0.45,0.46,0.45,0.43,0.44,0.44,0.44,0.46,0.44,0.45,0.45,0.44,0.44,0.44,0.45,0.44,0.44,0.45,0.43,0.45,0.43,11.09,0.44,false
64,correlation_ids_0,0.125,,,0.43,0.44,0.42,0.45,0.44,0.43,0.45,0.43,0.43,0.43,0.44,0.44,0.43,0.44,0.44,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.42,0.42,0.43,10.86,0.43,false
65,correlation_ids_0,0.126953125,,,0.42,0.45,0.40,0.43,0.43,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.42,0.43,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.43,0.42,0.42,0.42,10.68,0.43,false
66,correlation_ids_0,0.12890625,,,0.52,0.52,0.53,0.53,0.52,0.52,0.52,0.52,0.54,0.52,0.53,0.52,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.50,0.52,0.52,0.53,0.53,13.09,0.52,false
67,correlation_ids_0,0.130859375,,,0.49,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.49,0.51,0.50,0.51,0.51,0.48,0.49,0.48,0.51,0.49,0.49,0.49,0.50,0.49,12.46,0.50,false
68,correlation_ids_0,0.1328125,,,0.44,0.45,0.41,0.44,0.44,0.44,0.44,0.44,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.42,0.45,0.43,0.44,0.45,0.44,0.44,0.43,0.43,0.43,10.95,0.44,false
69,correlation_ids_0,0.134765625,,,0.47,0.47,0.45,0.47,0.48,0.47,0.45,0.46,0.47,0.46,0.47,0.47,0.46,0.46,0.46,0.45,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.46,0.47,11.60,0.46,false
70,correlation_ids_0,0.13671875,,,0.50,0.49,0.46,0.48,0.50,0.49,0.49,0.49,0.50,0.50,0.48,0.50,0.49,0.50,0.48,0.48,0.48,0.51,0.50,0.48,0.49,0.48,0.49,0.48,0.48,12.22,0.49,false
71,correlation_ids_0,0.138671875,,,0.49,0.52,0.49,0.51,0.52,0.50,0.51,0.50,0.50,0.52,0.52,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.50,0.51,0.50,0.50,0.49,0.50,0.52,12.68,0.51,false
72,correlation_ids_0,0.140625,,,0.52,0.53,0.52,0.54,0.54,0.51,0.57,0.53,0.53,0.53,0.53,0.55,0.52,0.51,0.53,0.53,0.55,0.53,0.53,0.53,0.54,0.55,0.53,0.52,0.53,13.30,0.53,false
73,correlation_ids_0,0.142578125,,,0.50,0.52,0.49,0.50,0.52,0.50,0.53,0.50,0.51,0.52,0.50,0.52,0.50,0.51,0.50,0.49,0.53,0.52,0.50,0.53,0.51,0.51,0.51,0.50,0.49,12.71,0.51,false
74,correlation_ids_0,0.14453125,,,0.49,0.51,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.51,0.50,0.50,0.49,0.50,0.52,0.50,0.50,0.49,0.49,0.49,12.50,0.50,false
75,correlation_ids_0,0.146484375,,,0.50,0.52,0.51,0.51,0.51,0.50,0.52,0.50,0.51,0.52,0.52,0.51,0.52,0.52,0.52,0.51,0.51,0.51,0.50,0.52,0.50,0.52,0.51,0.51,0.52,12.80,0.51,false
76,correlation_ids_0,0.1484375,,,0.44,0.45,0.44,0.44,0.45,0.45,0.46,0.44,0.45,0.47,0.44,0.45,0.44,0.45,0.46,0.45,0.46,0.45,0.44,0.45,0.45,0.44,0.44,0.45,0.44,11.20,0.45,false
77,correlation_ids_0,0.150390625,,,0.52,0.51,0.52,0.53,0.52,0.51,0.54,0.53,0.53,0.53,0.49,0.51,0.52,0.54,0.55,0.53,0.54,0.52,0.51,0.53,0.51,0.52,0.52,0.52,0.52,13.07,0.52,false
78,correlation_ids_0,0.15234375,,,0.45,0.45,0.44,0.46,0.46,0.44,0.46,0.45,0.44,0.45,0.44,0.46,0.44,0.47,0.44,0.45,0.46,0.46,0.45,0.46,0.46,0.45,0.45,0.45,0.45,11.29,0.45,false
79,correlation_ids_0,0.154296875,,,0.43,0.43,0.43,0.43,0.44,0.43,0.45,0.44,0.44,0.43,0.43,0.45,0.43,0.45,0.44,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.42,0.43,0.44,10.91,0.44,false
80,correlation_ids_0,0.15625,,,0.43,0.44,0.45,0.44,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.46,0.44,0.46,0.44,0.44,0.44,0.44,0.45,0.44,0.45,0.44,0.43,0.44,0.44,11.06,0.44,false
81,correlation_ids_0,0.158203125,,,0.46,0.46,0.43,0.46,0.46,0.44,0.46,0.45,0.46,0.45,0.46,0.47,0.45,0.47,0.45,0.45,0.44,0.44,0.47,0.45,0.45,0.45,0.45,0.44,0.46,11.33,0.45,false
82,correlation_ids_0,0.16015625,,,0.42,0.43,0.40,0.43,0.43,0.41,0.43,0.42,0.42,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.43,0.42,0.43,0.42,0.43,0.42,0.42,0.41,0.43,10.56,0.42,false
83,correlation_ids_0,0.162109375,,,0.54,0.55,0.56,0.56,0.54,0.54,0.56,0.56,0.56,0.55,0.56,0.55,0.56,0.54,0.55,0.56,0.54,0.54,0.54,0.57,0.53,0.55,0.54,0.55,0.56,13.76,0.55,false
84,correlation_ids_0,0.1640625,,,0.46,0.48,0.47,0.46,0.48,0.46,0.47,0.46,0.47,0.47,0.49,0.48,0.46,0.47,0.48,0.48,0.48,0.47,0.48,0.48,0.47,0.47,0.46,0.47,0.47,11.79,0.47,false
85,correlation_ids_0,0.166015625,,,0.49,0.50,0.47,0.50,0.50,0.48,0.50,0.50,0.49,0.49,0.50,0.49,0.49,0.50,0.49,0.49,0.50,0.49,0.50,0.49,0.48,0.48,0.48,0.49,0.50,12.29,0.49,false
86,correlation_ids_0,0.16796875,,,0.47,0.47,0.45,0.48,0.47,0.45,0.47,0.47,0.47,0.46,0.46,0.47,0.47,0.47,0.46,0.45,0.46,0.46,0.47,0.46,0.46,0.47,0.45,0.45,0.47,11.59,0.46,false
87,correlation_ids_0,0.169921875,,,0.55,0.54,0.53,0.54,0.55,0.54,0.54,0.55,0.52,0.53,0.53,0.53,0.54,0.54,0.52,0.53,0.52,0.55,0.56,0.53,0.53,0.53,0.53,0.52,0.52,13.37,0.53,false
88,correlation_ids_0,0.171875,,,0.47,0.48,0.48,0.48,0.48,0.47,0.49,0.48,0.47,0.48,0.49,0.48,0.47,0.49,0.48,0.48,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.48,0.48,11.96,0.48,false
