month_day_hour_min,n_p,i_uiip,p_uiip
380,0.103,150.37,17.19
381,0.104,150.98,16.78
382,0.105,143.39,16.62
383,0.104,154.63,16.48
384,0.103,201.25,15.9
385,0.103,244.45,14.33
386,0.101,235.1,15.71
387,0.103,211.69,16.58
388,0.103,211.32,16.24
389,0.103,209.15,16.56
390,0.102,210.16,16.63
391,0.102,208.67,16.58
392,0.103,203.93,16.59
393,0.101,190.34,16.34
394,0.1,193.07,16.5
395,0.103,178.74,16.6
396,0.104,159.33,15.59
397,0.103,170.46,15.7
398,0.103,153.3,16.56
399,0.101,150.47,16.66
400,0.103,158.8,16.44
401,0.102,168.18,16.58
402,0.104,170.16,16.59
403,0.1,178.8,16.56
404,0.105,172.1,16.5
405,0.103,169.51,16.52
406,0.101,170.36,16.54
407,0.101,167.25,18.09
408,0.101,186.51,19.54
409,0.103,198.16,20.64
410,0.102,177.69,20.75
411,0.101,204.26,20.37
412,0.101,208.98,20.69
413,0.101,203.3,21.11
414,0.101,219.59,21.05
415,0.1,230.73,20.07
416,0.1,224.28,20.6
417,0.1,228.85,20.78
418,0.101,250.61,21.21
419,0.1,243.16,21.16
420,0.1,270.62,21.27
421,0.1,243.08,21.17
422,0.1,247.96,21.14
423,0.1,249.36,21.24
424,0.101,231.87,21.12
425,0.1,246.77,21.12
426,0.101,248.56,21.62
427,0.101,248.98,21.66
428,0.1,245.64,21.65
429,0.101,261.96,21.72
430,0.1,243.85,21.76
431,0.1,222.3,21.71
432,0.101,224.43,21.24
433,0.1,223.05,21.2
434,0.1,222.12,21.17
435,0.1,220.2,21.21
436,0.1,214.49,21.29
437,0.1,217.88,21.24
438,0.101,210.58,20.93
439,0.1,195.96,21.26
440,0.1,181.08,20.73
441,0.1,208.86,20.88
442,0.1,201.73,20.59
443,0.1,194.03,20.81
444,0.1,189.35,20.63
445,0.1,175.77,20.64
446,0.1,175.71,20.76
447,0.1,190.26,20.52
448,0.1,184.23,20.59
449,0.1,188.37,20.8
450,0.1,186.19,20.62
451,0.1,179.18,20.69
452,0.1,169.4,20.69
453,0.1,172.46,20.6
454,0.1,166.33,20.73
455,0.1,153.63,20.62
456,0.1,171.52,20.75
457,0.1,160.5,20.75
458,0.1,146.65,20.74
459,0.1,151.6,20.67
460,0.1,172.84,20.76
461,0.1,174.74,20.59
462,0.1,187.94,20.71
463,0.1,165.96,20.69
464,0.1,174.17,20.68
465,0.1,171.3,20.69
466,0.1,161.36,20.81
467,0.101,159.14,20.81
468,0.1,169.69,20.7
469,0.101,194.85,20.5
470,0.1,165.5,20.86
471,0.1,159.21,20.67
472,0.1,169.59,20.69
473,0.1,170.03,20.54
474,0.1,170.68,20.19
475,0.101,158.35,20.17
476,0.1,147.49,16.69
477,0.1,130.46,16.46
478,0.1,140.28,16.59
479,0.1,139.31,16.44
480,0.1,140.24,16.61
481,0.101,152.23,16.56
482,0.1,164.98,16.56
483,0.1,145.72,16.63
484,0.1,142.34,16.55
485,0.1,139.44,16.57
486,0.101,132.63,16.52
487,0.1,133.25,16.56
488,0.1,127.49,16.72
489,0.1,124.14,16.59
490,0.1,127.93,16.63
491,0.1,126.05,16.54
492,0.1,127.24,16.59
493,0.1,125.29,16.7
494,0.1,117.13,17.08
495,0.1,121.91,16.59
496,0.1,124.02,16.58
497,0.1,134.06,16.45
498,0.1,135.5,16.62
499,0.1,120.97,16.88
500,0.1,132.69,16.63
501,0.1,129.09,16.59
502,0.1,146.73,16.56
503,0.1,149.89,19.61
504,0.1,130.54,19.75
505,0.1,129.77,19.73
506,0.1,125.9,19.59
507,0.1,127.93,20.48
508,0.1,127.54,20.63
509,0.1,140.92,20.67
510,0.1,162.15,20.55
511,0.1,170.48,21.1
512,0.1,190.53,20.98
513,0.1,210.36,21.03
514,0.1,217.65,20.97
515,0.1,236.91,20.86
516,0.1,238.6,21.46
517,0.1,246.95,21.62
518,0.1,242.25,21.66
519,0.1,254.18,21.63
520,0.1,249.91,21.72
521,0.1,249.16,21.69
522,0.1,258.95,21.7
523,0.1,267.13,21.67
524,0.1,230.96,21.41
525,0.1,231.28,21.24
526,0.1,260.48,21.52
527,0.1,244.26,21.73
528,0.1,225.74,21.59
529,0.1,233.44,21.75
530,0.1,212.51,21.69
531,0.1,210.92,21.71
532,0.1,206.05,21.61
533,0.1,186.71,21.1
534,0.1,188.68,20.62
535,0.1,208.81,20.29
536,0.1,183.32,20.15
537,0.1,183.82,20.18
538,0.1,192.06,20.1
539,0.1,184.45,20.35
540,0.1,177.23,20.21
541,0.1,168.5,19.97
542,0.1,180.86,20.05
543,0.1,167.59,20.22
544,0.1,163.03,20.26
545,0.1,173.1,20.2
546,0.1,156.38,20.14
547,0.1,176.35,20.08
548,0.1,170.92,20.05
549,0.1,160.78,20.24
550,0.1,172.63,19.97
551,0.1,166.24,20.16
552,0.1,169.83,20.18
553,0.1,180.05,20.03
554,0.1,179.63,20.14
555,0.1,188.37,19.85
556,0.1,191.63,20.18
557,0.1,177.41,20.12
558,0.1,173.84,20.19
559,0.1,181.14,20.14
560,0.1,207.47,20.16
561,0.1,178.49,20.16
562,0.1,162.7,19.96
563,0.1,164.09,20.1
564,0.1,185.28,20.12
565,0.1,179.95,20.03
566,0.1,171.83,20.18
567,0.1,171.9,20.03
568,0.1,174.08,20.18
569,0.1,167.66,20.22
570,0.1,169.64,20.24
571,0.1,171.96,20.05
572,0.1,164.21,16.48
573,0.1,157.48,16.61
574,0.1,154.7,16.54
575,0.1,159.04,16.48
576,0.1,186.13,16.27
577,0.1,223.25,16.47
578,0.1,205.7,16.73
579,0.1,186.71,16.58
580,0.1,180.67,16.54
581,0.1,203.18,16.46
582,0.1,193.78,16.48
583,0.1,200.27,16.76
584,0.1,210.7,16.48
585,0.1,190.62,16.49
586,0.1,183.2,16.44
587,0.1,176.49,16.59
588,0.1,163.97,16.54
589,0.1,163.74,16.62
590,0.1,147.2,16.59
591,0.1,148.09,16.51
592,0.1,161.94,16.51
593,0.1,169.05,16.56
594,0.1,170.33,16.56
595,0.1,174.3,16.46
596,0.1,187.56,16.48
597,0.1,172.01,16.52
598,0.1,171.12,17.01
599,0.1,178.39,19.59
600,0.1,181.65,19.53
601,0.1,204.39,20.11
602,0.1,181.22,20.23
603,0.1,178.65,20.1
604,0.1,208.56,20.56
605,0.1,213.3,20.73
606,0.1,228.17,20.59
607,0.1,245.8,20.22
608,0.1,241.09,21.32
609,0.1,256.19,21.7
610,0.1,252.16,21.63
611,0.1,300.05,21.65
612,0.1,300.29,21.66
613,0.1,297.73,21.61
614,0.1,267.5,21.76
615,0.1,269.75,21.69
616,0.1,268.82,21.68
617,0.1,273.12,21.67
618,0.1,265.21,21.75
619,0.1,279.99,22.03
620,0.1,288.26,22.16
621,0.1,291.7,22.17
622,0.1,256.37,22.24
623,0.1,233.14,21.54
624,0.1,230.72,21.18
625,0.1,252.04,21.14
626,0.1,230.95,21.1
627,0.1,225.02,21.16
628,0.1,212.77,20.9
629,0.1,223.59,21.03
630,0.1,210.4,21.44
631,0.1,223.26,20.74
632,0.1,212.43,20.65
633,0.1,221.09,20.48
634,0.1,198.32,20.76
635,0.1,191.93,20.84
636,0.1,185.27,20.68
637,0.1,206.4,20.33
638,0.1,214.01,20.66
639,0.1,168.03,20.71
640,0.1,176.74,20.68
641,0.1,208.64,20.65
642,0.1,175.06,20.67
643,0.1,184.25,20.73
644,0.1,192.55,20.59
645,0.1,188.74,20.64
646,0.1,203.29,20.73
647,0.1,177.35,20.73
648,0.1,181.62,20.69
649,0.1,189.02,20.76
650,0.1,188.09,20.46
651,0.1,190.68,20.78
652,0.1,186.17,20.46
653,0.1,191.01,20.66
654,0.1,188.82,20.73
655,0.1,205.33,20.52
656,0.1,185.11,20.54
657,0.1,181.63,20.85
658,0.1,215.92,20.35
659,0.1,193.15,20.82
660,0.1,210.1,20.59
661,0.1,212.44,20.6
662,0.1,191.07,20.85
663,0.1,181.39,20.71
664,0.1,185.37,20.84
665,0.1,167.04,20.66
666,0.1,175.49,20.51
667,0.1,167.35,19.93
668,0.1,158.74,16.56
669,0.1,153.38,16.58
670,0.1,157.47,16.54
671,0.1,150.38,16.57
672,0.1,155.72,16.46
673,0.1,135.89,16.54
674,0.1,146.74,16.59
675,0.1,132.82,16.52
676,0.1,133.92,16.56
677,0.1,123.94,16.71
678,0.1,131.97,16.58
679,0.1,126.46,16.55
680,0.1,120.99,16.6
681,0.1,134.14,16.59
682,0.1,134.51,16.43
683,0.1,123.66,16.9
684,0.1,129.16,16.64
685,0.1,118.73,17.03
686,0.1,122.21,17.24
687,0.1,116.59,17.09
688,0.1,138.83,16.71
689,0.1,164.54,16.61
690,0.1,144.75,16.56
691,0.1,126.53,16.7
692,0.1,127.63,16.6
693,0.1,131.7,16.54
694,0.1,136.7,16.98
695,0.1,141.39,19.44
696,0.1,144.5,19.68
697,0.1,163.83,20.81
698,0.1,139.21,20.92
699,0.1,161.46,20.62
700,0.1,157.63,20.73
701,0.1,205.86,20.5
702,0.1,234.17,20.59
703,0.1,242.27,21.65
704,0.1,261.55,21.67
705,0.1,269.32,21.7
706,0.1,288.11,22.13
707,0.1,286.24,22.18
708,0.1,280.76,21.67
709,0.1,285.15,21.66
710,0.1,310.97,21.78
711,0.1,321.93,21.39
712,0.1,320.01,22.61
713,0.1,307.28,22.76
714,0.1,304.1,22.24
715,0.1,289.28,22.16
716,0.1,279.65,22.19
