month_day_hour_min;n_p;i_uiip;p_uiip;truth
456;0.1;171.52;20.75;0
457;0.1;160.5;20.75;0
458;0.1;146.65;20.74;0
459;0.1;151.6;20.67;0
460;0.1;172.84;20.76;0
461;0.1;174.74;20.59;0
462;0.1;187.94;20.71;0
463;0.1;165.96;20.69;0
464;0.1;174.17;20.68;0
465;0.1;171.3;20.69;0
466;0.1;161.36;20.81;0
467;0.101;159.14;20.81;0
468;0.1;169.69;20.7;0
469;0.101;194.85;20.5;0
470;0.1;165.5;20.86;0
471;0.1;159.21;20.67;0
472;0.1;169.59;20.69;0
473;0.1;170.03;20.54;0
474;0.1;170.68;20.19;0
475;0.101;158.35;20.17;0
476;0.1;147.49;16.69;0
477;0.1;130.46;16.46;0
478;0.1;140.28;16.59;0
479;0.1;139.31;16.44;0
480;0.1;140.24;16.61;0
481;0.101;152.23;16.56;0
482;0.1;164.98;16.56;0
483;0.1;145.72;16.63;0
484;0.1;142.34;16.55;0
485;0.1;139.44;16.57;0
486;0.101;132.63;16.52;0
487;0.1;133.25;16.56;0
488;0.1;127.49;16.72;0
489;0.1;124.14;16.59;0
490;0.1;127.93;16.63;0
491;0.1;126.05;16.54;0
492;0.1;127.24;16.59;0
493;0.1;125.29;16.7;0
494;0.1;117.13;17.08;0
495;0.1;121.91;16.59;0
496;0.1;124.02;16.58;0
497;0.1;134.06;16.45;0
498;0.1;135.5;16.62;0
499;0.1;120.97;16.88;0
500;0.1;132.69;16.63;0
501;0.1;129.09;16.59;0
502;0.1;146.73;16.56;0
503;0.1;149.89;19.61;0
504;0.1;130.54;19.75;0
505;0.1;129.77;19.73;0
506;0.1;125.9;19.59;0
507;0.1;127.93;20.48;0
508;0.1;127.54;20.63;0
509;0.1;140.92;20.67;0
510;0.1;162.15;20.55;0
511;0.1;170.48;21.1;0
512;0.1;190.53;20.98;0
513;0.1;210.36;21.03;0
514;0.1;217.65;20.97;0
515;0.1;236.91;20.86;0
516;0.1;238.6;21.46;0
517;0.1;246.95;21.62;0
518;0.1;242.25;21.66;0
519;0.1;254.18;21.63;0
520;0.1;249.91;21.72;0
521;0.1;249.16;21.69;0
522;0.1;258.95;21.7;0
523;0.1;267.13;21.67;0
524;0.1;230.96;21.41;0
525;0.1;231.28;21.24;0
526;0.1;260.48;21.52;0
527;0.1;244.26;21.73;0
528;0.1;225.74;21.59;0
529;0.1;233.44;21.75;0
530;0.1;212.51;21.69;0
531;0.1;210.92;21.71;0
532;0.1;206.05;21.61;0
533;0.1;186.71;21.1;0
534;0.1;188.68;20.62;0
535;0.1;208.81;20.29;0
536;0.1;183.32;20.15;0
537;0.1;183.82;20.18;0
