id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,scores_total,score,anomaly
5555,day,14,month_day_hour_min,,0.43,0.41,0.43,0.41,0.41,0.42,0.44,0.42,0.44,0.43,4.24,0.42,false
5556,day,14,month_day_hour_min,,0.40,0.42,0.42,0.41,0.43,0.42,0.43,0.45,0.42,0.42,4.22,0.42,false
5557,day,14,month_day_hour_min,,0.40,0.46,0.42,0.44,0.43,0.40,0.44,0.42,0.43,0.44,4.28,0.43,false
5558,day,14,month_day_hour_min,,0.44,0.45,0.46,0.43,0.45,0.44,0.45,0.46,0.46,0.43,4.47,0.45,false
5559,day,14,month_day_hour_min,,0.44,0.43,0.46,0.44,0.45,0.47,0.47,0.45,0.44,0.43,4.48,0.45,false
5560,day,15,month_day_hour_min,,0.43,0.43,0.43,0.43,0.42,0.43,0.44,0.42,0.44,0.43,4.30,0.43,false
5561,day,15,month_day_hour_min,,0.41,0.41,0.40,0.40,0.42,0.43,0.44,0.41,0.41,0.40,4.13,0.41,false
5562,day,15,month_day_hour_min,,0.42,0.43,0.43,0.41,0.44,0.43,0.47,0.42,0.45,0.40,4.30,0.43,false
5563,day,15,month_day_hour_min,,0.43,0.44,0.42,0.42,0.43,0.43,0.45,0.42,0.43,0.39,4.26,0.43,false
5564,day,15,month_day_hour_min,,0.41,0.42,0.42,0.40,0.43,0.42,0.45,0.41,0.43,0.40,4.19,0.42,false
5565,day,15,month_day_hour_min,,0.43,0.41,0.43,0.41,0.42,0.42,0.43,0.41,0.41,0.43,4.20,0.42,false
5566,day,15,month_day_hour_min,,0.44,0.41,0.43,0.41,0.43,0.42,0.42,0.43,0.42,0.40,4.21,0.42,false
5567,day,15,month_day_hour_min,,0.43,0.43,0.47,0.45,0.45,0.47,0.45,0.46,0.45,0.46,4.52,0.45,false
5568,day,15,month_day_hour_min,,0.41,0.42,0.41,0.42,0.42,0.41,0.43,0.44,0.42,0.41,4.19,0.42,false
5569,day,15,month_day_hour_min,,0.40,0.40,0.42,0.39,0.41,0.40,0.41,0.42,0.42,0.41,4.08,0.41,false
5570,day,15,month_day_hour_min,,0.41,0.42,0.40,0.40,0.40,0.40,0.42,0.41,0.41,0.41,4.08,0.41,false
5571,day,15,month_day_hour_min,,0.41,0.41,0.40,0.40,0.41,0.41,0.42,0.41,0.42,0.41,4.10,0.41,false
5572,day,15,month_day_hour_min,,0.40,0.41,0.40,0.40,0.41,0.41,0.42,0.41,0.42,0.41,4.09,0.41,false
5573,day,15,month_day_hour_min,,0.39,0.42,0.42,0.39,0.40,0.41,0.42,0.42,0.41,0.41,4.09,0.41,false
5574,day,15,month_day_hour_min,,0.41,0.41,0.42,0.39,0.41,0.42,0.42,0.42,0.40,0.41,4.11,0.41,false
5575,day,15,month_day_hour_min,,0.43,0.43,0.45,0.42,0.45,0.43,0.43,0.42,0.42,0.43,4.31,0.43,false
5576,day,15,month_day_hour_min,,0.41,0.42,0.42,0.41,0.42,0.41,0.42,0.42,0.41,0.42,4.16,0.42,false
5577,day,15,month_day_hour_min,,0.43,0.43,0.45,0.44,0.45,0.42,0.43,0.43,0.41,0.43,4.32,0.43,false
5578,day,15,month_day_hour_min,,0.44,0.42,0.43,0.42,0.43,0.42,0.44,0.44,0.43,0.43,4.30,0.43,false
5579,day,15,month_day_hour_min,,0.46,0.44,0.45,0.44,0.45,0.44,0.47,0.46,0.44,0.45,4.50,0.45,false
5580,day,15,month_day_hour_min,,0.42,0.41,0.43,0.44,0.42,0.42,0.44,0.44,0.41,0.42,4.25,0.42,false
5581,day,15,month_day_hour_min,,0.43,0.42,0.45,0.45,0.45,0.42,0.46,0.45,0.43,0.44,4.40,0.44,false
5582,day,15,month_day_hour_min,,0.42,0.41,0.44,0.43,0.43,0.43,0.44,0.43,0.42,0.41,4.26,0.43,false
5583,day,16,month_day_hour_min,,0.45,0.44,0.42,0.43,0.45,0.44,0.49,0.45,0.46,0.44,4.47,0.45,false
5584,day,16,month_day_hour_min,,0.45,0.42,0.44,0.45,0.45,0.42,0.48,0.45,0.45,0.44,4.45,0.45,false
5585,day,16,month_day_hour_min,,0.42,0.44,0.45,0.44,0.43,0.42,0.46,0.44,0.43,0.41,4.34,0.43,false
5586,day,16,month_day_hour_min,,0.43,0.41,0.42,0.40,0.40,0.42,0.42,0.42,0.42,0.40,4.14,0.41,false
5587,day,16,month_day_hour_min,,0.42,0.41,0.42,0.40,0.38,0.40,0.41,0.41,0.40,0.40,4.05,0.40,false
5588,day,16,month_day_hour_min,,0.42,0.43,0.43,0.40,0.41,0.41,0.42,0.43,0.41,0.43,4.19,0.42,false
5589,day,16,month_day_hour_min,,0.43,0.42,0.41,0.40,0.43,0.42,0.42,0.43,0.42,0.40,4.18,0.42,false
5590,day,16,month_day_hour_min,,0.41,0.42,0.42,0.40,0.39,0.41,0.41,0.40,0.40,0.39,4.05,0.40,false
5591,day,16,month_day_hour_min,,0.44,0.44,0.44,0.41,0.44,0.43,0.43,0.44,0.46,0.45,4.38,0.44,false
5592,day,16,month_day_hour_min,,0.44,0.42,0.44,0.42,0.42,0.41,0.43,0.42,0.44,0.42,4.26,0.43,false
5593,day,16,month_day_hour_min,,0.44,0.47,0.43,0.42,0.43,0.42,0.44,0.45,0.46,0.40,4.36,0.44,false
5594,day,16,month_day_hour_min,,0.42,0.42,0.41,0.40,0.40,0.40,0.41,0.42,0.42,0.39,4.09,0.41,false
5595,day,16,month_day_hour_min,,0.40,0.42,0.41,0.40,0.41,0.42,0.41,0.42,0.42,0.41,4.12,0.41,false
5596,day,16,month_day_hour_min,,0.41,0.43,0.41,0.39,0.40,0.41,0.41,0.40,0.42,0.40,4.08,0.41,false
5597,day,16,month_day_hour_min,,0.41,0.44,0.42,0.41,0.43,0.43,0.42,0.41,0.44,0.42,4.23,0.42,false
5598,day,16,month_day_hour_min,,0.44,0.44,0.43,0.40,0.42,0.43,0.42,0.43,0.42,0.42,4.25,0.42,false
5599,day,16,month_day_hour_min,,0.44,0.44,0.43,0.41,0.42,0.45,0.41,0.44,0.42,0.43,4.29,0.43,false
5600,day,16,month_day_hour_min,,0.45,0.45,0.46,0.43,0.44,0.47,0.46,0.45,0.44,0.44,4.49,0.45,false
5601,day,16,month_day_hour_min,,0.45,0.45,0.50,0.47,0.48,0.50,0.45,0.47,0.46,0.46,4.69,0.47,false
5602,day,17,month_day_hour_min,,0.46,0.41,0.44,0.45,0.45,0.43,0.47,0.46,0.46,0.42,4.45,0.45,false
5603,day,17,month_day_hour_min,,0.44,0.44,0.46,0.45,0.47,0.44,0.47,0.46,0.49,0.44,4.56,0.46,false
5604,day,17,month_day_hour_min,,0.42,0.41,0.46,0.43,0.42,0.43,0.45,0.43,0.44,0.42,4.31,0.43,false
5605,day,17,month_day_hour_min,,0.43,0.43,0.44,0.43,0.45,0.43,0.45,0.44,0.45,0.41,4.36,0.44,false
5606,day,17,month_day_hour_min,,0.41,0.40,0.43,0.41,0.41,0.42,0.42,0.42,0.43,0.40,4.15,0.42,false
5607,day,17,month_day_hour_min,,0.42,0.42,0.44,0.42,0.42,0.43,0.44,0.43,0.43,0.42,4.27,0.43,false
5608,day,17,month_day_hour_min,,0.40,0.39,0.42,0.41,0.41,0.41,0.42,0.42,0.42,0.40,4.10,0.41,false
5609,day,17,month_day_hour_min,,0.43,0.42,0.45,0.41,0.43,0.42,0.43,0.43,0.45,0.43,4.30,0.43,false
5610,day,17,month_day_hour_min,,0.42,0.43,0.43,0.40,0.42,0.42,0.41,0.44,0.43,0.42,4.22,0.42,false
5611,day,17,month_day_hour_min,,0.42,0.42,0.43,0.39,0.41,0.41,0.41,0.44,0.42,0.41,4.16,0.42,false
5612,day,17,month_day_hour_min,,0.41,0.40,0.43,0.39,0.41,0.39,0.40,0.43,0.42,0.40,4.08,0.41,false
5613,day,17,month_day_hour_min,,0.42,0.43,0.43,0.42,0.41,0.43,0.42,0.44,0.44,0.40,4.24,0.42,false
5614,day,17,month_day_hour_min,,0.41,0.40,0.42,0.39,0.41,0.40,0.41,0.42,0.43,0.40,4.09,0.41,false
5615,day,17,month_day_hour_min,,0.40,0.42,0.44,0.42,0.42,0.42,0.42,0.44,0.43,0.42,4.23,0.42,false
5616,day,17,month_day_hour_min,,0.41,0.40,0.42,0.40,0.40,0.40,0.41,0.41,0.41,0.41,4.07,0.41,false
5617,day,17,month_day_hour_min,,0.40,0.43,0.42,0.42,0.42,0.41,0.42,0.43,0.42,0.41,4.18,0.42,false
5618,day,17,month_day_hour_min,,0.41,0.41,0.41,0.41,0.40,0.40,0.41,0.41,0.40,0.41,4.07,0.41,false
5619,day,17,month_day_hour_min,,0.42,0.44,0.41,0.40,0.41,0.40,0.43,0.42,0.43,0.42,4.18,0.42,false
5620,day,17,month_day_hour_min,,0.43,0.45,0.41,0.42,0.42,0.41,0.43,0.43,0.41,0.42,4.23,0.42,false
5621,day,17,month_day_hour_min,,0.43,0.43,0.40,0.42,0.41,0.40,0.43,0.42,0.41,0.43,4.18,0.42,false
5622,day,17,month_day_hour_min,,0.42,0.48,0.43,0.44,0.45,0.42,0.44,0.42,0.45,0.44,4.39,0.44,false
5623,day,17,month_day_hour_min,,0.46,0.46,0.43,0.41,0.43,0.43,0.42,0.44,0.43,0.43,4.34,0.43,false
5624,day,17,month_day_hour_min,,0.43,0.42,0.42,0.43,0.44,0.42,0.44,0.44,0.43,0.44,4.31,0.43,false
5625,day,17,month_day_hour_min,,0.44,0.42,0.41,0.42,0.44,0.44,0.44,0.45,0.44,0.42,4.32,0.43,false
5626,day,17,month_day_hour_min,,0.43,0.41,0.41,0.42,0.42,0.42,0.42,0.44,0.43,0.41,4.21,0.42,false
5627,day,17,month_day_hour_min,,0.41,0.43,0.46,0.43,0.44,0.45,0.43,0.46,0.44,0.43,4.38,0.44,false
5628,day,18,month_day_hour_min,,0.49,0.45,0.52,0.49,0.45,0.45,0.50,0.48,0.51,0.46,4.80,0.48,false
5629,day,18,month_day_hour_min,,0.50,0.48,0.53,0.50,0.46,0.51,0.51,0.49,0.51,0.47,4.96,0.50,false
5630,day,18,month_day_hour_min,,0.42,0.42,0.44,0.43,0.42,0.44,0.42,0.44,0.45,0.44,4.32,0.43,false
5631,day,18,month_day_hour_min,,0.42,0.42,0.43,0.43,0.43,0.42,0.42,0.42,0.43,0.40,4.22,0.42,false
5632,day,18,month_day_hour_min,,0.42,0.41,0.45,0.42,0.40,0.42,0.42,0.40,0.43,0.40,4.17,0.42,false
5633,day,18,month_day_hour_min,,0.42,0.41,0.42,0.40,0.42,0.41,0.40,0.40,0.43,0.40,4.11,0.41,false
5634,day,18,month_day_hour_min,,0.41,0.41,0.45,0.42,0.39,0.42,0.42,0.40,0.41,0.39,4.12,0.41,false
5635,day,18,month_day_hour_min,,0.44,0.42,0.47,0.43,0.44,0.43,0.43,0.46,0.48,0.43,4.43,0.44,false
5636,day,18,month_day_hour_min,,0.42,0.43,0.44,0.41,0.42,0.41,0.40,0.41,0.42,0.42,4.18,0.42,false
5637,day,18,month_day_hour_min,,0.40,0.42,0.41,0.41,0.39,0.40,0.41,0.41,0.40,0.40,4.05,0.40,false
5638,day,18,month_day_hour_min,,0.45,0.44,0.48,0.41,0.44,0.43,0.43,0.45,0.45,0.44,4.42,0.44,false
5639,day,18,month_day_hour_min,,0.41,0.41,0.44,0.40,0.42,0.42,0.41,0.42,0.41,0.41,4.15,0.42,false
5640,day,18,month_day_hour_min,,0.40,0.43,0.45,0.42,0.44,0.43,0.43,0.44,0.42,0.44,4.30,0.43,false
5641,day,18,month_day_hour_min,,0.44,0.44,0.44,0.41,0.44,0.42,0.43,0.44,0.43,0.43,4.32,0.43,false
5642,day,18,month_day_hour_min,,0.41,0.45,0.43,0.43,0.41,0.42,0.43,0.42,0.43,0.44,4.27,0.43,false
5643,day,18,month_day_hour_min,,0.43,0.42,0.47,0.42,0.45,0.47,0.43,0.43,0.43,0.43,4.38,0.44,false
5644,day,18,month_day_hour_min,,0.43,0.42,0.48,0.45,0.44,0.45,0.42,0.43,0.43,0.42,4.37,0.44,false
5645,day,19,month_day_hour_min,,0.47,0.47,0.49,0.49,0.45,0.47,0.48,0.47,0.48,0.44,4.71,0.47,false
5646,day,19,month_day_hour_min,,0.44,0.42,0.43,0.44,0.44,0.43,0.42,0.46,0.45,0.42,4.35,0.44,false
5647,day,19,month_day_hour_min,,0.40,0.40,0.42,0.41,0.41,0.41,0.42,0.40,0.44,0.40,4.11,0.41,false
5648,day,19,month_day_hour_min,,0.41,0.41,0.42,0.42,0.44,0.41,0.41,0.42,0.43,0.40,4.17,0.42,false
5649,day,19,month_day_hour_min,,0.42,0.40,0.43,0.42,0.42,0.41,0.41,0.40,0.43,0.40,4.14,0.41,false
5650,day,19,month_day_hour_min,,0.42,0.43,0.45,0.42,0.43,0.43,0.42,0.43,0.43,0.41,4.27,0.43,false
5651,day,19,month_day_hour_min,,0.53,0.48,0.49,0.48,0.48,0.49,0.46,0.49,0.51,0.48,4.89,0.49,false
5652,day,19,month_day_hour_min,,0.42,0.42,0.43,0.41,0.44,0.41,0.44,0.44,0.44,0.41,4.26,0.43,false
5653,day,19,month_day_hour_min,,0.41,0.44,0.45,0.43,0.44,0.42,0.43,0.46,0.45,0.42,4.35,0.44,false
5654,day,19,month_day_hour_min,,0.44,0.46,0.47,0.43,0.45,0.43,0.44,0.46,0.53,0.44,4.55,0.46,false
5655,day,19,month_day_hour_min,,0.41,0.43,0.44,0.44,0.44,0.45,0.43,0.44,0.44,0.44,4.36,0.44,false
5656,day,19,month_day_hour_min,,0.39,0.42,0.43,0.40,0.41,0.42,0.41,0.44,0.43,0.40,4.15,0.42,false
5657,day,19,month_day_hour_min,,0.41,0.43,0.44,0.42,0.43,0.41,0.42,0.41,0.42,0.43,4.22,0.42,false
5658,day,19,month_day_hour_min,,0.41,0.45,0.42,0.41,0.41,0.41,0.40,0.42,0.43,0.42,4.18,0.42,false
5659,day,19,month_day_hour_min,,0.41,0.42,0.46,0.44,0.43,0.42,0.42,0.42,0.44,0.40,4.26,0.43,false
5660,day,19,month_day_hour_min,,0.45,0.45,0.47,0.47,0.47,0.46,0.43,0.47,0.44,0.44,4.55,0.46,false
5661,day,20,month_day_hour_min,,0.43,0.41,0.42,0.41,0.44,0.41,0.44,0.42,0.44,0.43,4.25,0.42,false
5662,day,20,month_day_hour_min,,0.41,0.41,0.41,0.39,0.42,0.42,0.42,0.41,0.41,0.41,4.11,0.41,false
5663,day,20,month_day_hour_min,,0.43,0.42,0.42,0.41,0.43,0.43,0.43,0.43,0.43,0.40,4.23,0.42,false
5664,day,20,month_day_hour_min,,0.40,0.41,0.41,0.41,0.43,0.42,0.41,0.44,0.42,0.40,4.15,0.42,false
5665,day,20,month_day_hour_min,,0.47,0.45,0.45,0.42,0.46,0.43,0.44,0.48,0.48,0.43,4.51,0.45,false
5666,day,20,month_day_hour_min,,0.41,0.41,0.44,0.43,0.43,0.43,0.43,0.44,0.41,0.42,4.25,0.43,false
5667,day,20,month_day_hour_min,,0.43,0.41,0.43,0.40,0.42,0.43,0.42,0.45,0.42,0.43,4.24,0.42,false
5668,day,20,month_day_hour_min,,0.47,0.46,0.46,0.43,0.46,0.47,0.43,0.50,0.48,0.47,4.63,0.46,false
5669,day,20,month_day_hour_min,,0.40,0.43,0.43,0.42,0.44,0.41,0.42,0.42,0.43,0.43,4.23,0.42,false
5670,day,20,month_day_hour_min,,0.40,0.45,0.43,0.45,0.44,0.41,0.42,0.43,0.43,0.42,4.28,0.43,false
5671,day,20,month_day_hour_min,,0.43,0.47,0.48,0.46,0.48,0.44,0.46,0.47,0.45,0.45,4.59,0.46,false
5672,day,20,month_day_hour_min,,0.44,0.44,0.47,0.44,0.46,0.46,0.44,0.46,0.42,0.44,4.47,0.45,false
5673,day,21,month_day_hour_min,,0.47,0.44,0.46,0.46,0.45,0.45,0.44,0.44,0.45,0.42,4.48,0.45,false
5674,day,21,month_day_hour_min,,0.47,0.44,0.45,0.47,0.44,0.46,0.45,0.46,0.47,0.44,4.55,0.46,false
5675,day,21,month_day_hour_min,,0.43,0.43,0.44,0.42,0.44,0.44,0.42,0.43,0.43,0.42,4.30,0.43,false
5676,day,21,month_day_hour_min,,0.40,0.41,0.41,0.41,0.42,0.41,0.40,0.43,0.44,0.41,4.14,0.41,false
5677,day,21,month_day_hour_min,,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.43,0.42,0.41,4.19,0.42,false
5678,day,21,month_day_hour_min,,0.41,0.41,0.41,0.41,0.41,0.42,0.40,0.42,0.42,0.40,4.11,0.41,false
5679,day,21,month_day_hour_min,,0.43,0.42,0.41,0.41,0.41,0.43,0.41,0.43,0.42,0.40,4.17,0.42,false
5680,day,21,month_day_hour_min,,0.45,0.43,0.43,0.41,0.42,0.44,0.44,0.43,0.45,0.40,4.30,0.43,false
5681,day,21,month_day_hour_min,,0.41,0.42,0.43,0.45,0.40,0.41,0.42,0.43,0.43,0.40,4.20,0.42,false
5682,day,21,month_day_hour_min,,0.44,0.42,0.43,0.41,0.42,0.40,0.41,0.44,0.43,0.41,4.21,0.42,false
5683,day,21,month_day_hour_min,,0.45,0.43,0.43,0.42,0.45,0.44,0.41,0.45,0.43,0.42,4.33,0.43,false
5684,day,21,month_day_hour_min,,0.41,0.40,0.43,0.40,0.42,0.41,0.41,0.42,0.41,0.42,4.13,0.41,false
5685,day,21,month_day_hour_min,,0.41,0.41,0.44,0.43,0.42,0.43,0.42,0.44,0.41,0.43,4.24,0.42,false
5686,day,21,month_day_hour_min,,0.43,0.41,0.42,0.41,0.42,0.42,0.41,0.42,0.42,0.40,4.16,0.42,false
5687,day,21,month_day_hour_min,,0.41,0.41,0.42,0.42,0.40,0.41,0.41,0.41,0.41,0.40,4.10,0.41,false
5688,day,21,month_day_hour_min,,0.41,0.40,0.42,0.41,0.42,0.42,0.40,0.42,0.41,0.40,4.11,0.41,false
5689,day,21,month_day_hour_min,,0.43,0.41,0.44,0.40,0.43,0.43,0.42,0.43,0.43,0.41,4.23,0.42,false
5690,day,21,month_day_hour_min,,0.44,0.42,0.43,0.40,0.42,0.43,0.41,0.43,0.41,0.41,4.20,0.42,false
5691,day,21,month_day_hour_min,,0.40,0.42,0.42,0.42,0.40,0.40,0.40,0.41,0.42,0.41,4.10,0.41,false
5692,day,21,month_day_hour_min,,0.42,0.44,0.42,0.44,0.40,0.41,0.42,0.42,0.44,0.42,4.23,0.42,false
5693,day,21,month_day_hour_min,,0.44,0.43,0.45,0.44,0.44,0.46,0.43,0.44,0.43,0.43,4.39,0.44,false
5694,day,22,month_day_hour_min,,0.48,0.45,0.50,0.47,0.46,0.45,0.48,0.46,0.49,0.44,4.68,0.47,false
5695,day,22,month_day_hour_min,,0.48,0.45,0.48,0.46,0.46,0.46,0.47,0.46,0.49,0.43,4.64,0.46,false
5696,day,22,month_day_hour_min,,0.40,0.41,0.43,0.42,0.42,0.42,0.42,0.42,0.44,0.42,4.20,0.42,false
5697,day,22,month_day_hour_min,,0.42,0.42,0.42,0.41,0.44,0.41,0.42,0.42,0.44,0.43,4.23,0.42,false
5698,day,22,month_day_hour_min,,0.41,0.41,0.44,0.42,0.44,0.44,0.42,0.44,0.42,0.41,4.25,0.42,false
5699,day,22,month_day_hour_min,,0.42,0.42,0.41,0.42,0.43,0.42,0.42,0.43,0.44,0.42,4.23,0.42,false
5700,day,22,month_day_hour_min,,0.41,0.41,0.43,0.43,0.41,0.42,0.42,0.41,0.42,0.39,4.15,0.41,false
5701,day,22,month_day_hour_min,,0.44,0.42,0.42,0.41,0.43,0.42,0.41,0.43,0.45,0.43,4.26,0.43,false
5702,day,22,month_day_hour_min,,0.41,0.40,0.43,0.41,0.40,0.40,0.41,0.41,0.42,0.40,4.09,0.41,false
5703,day,22,month_day_hour_min,,0.41,0.39,0.40,0.39,0.41,0.39,0.41,0.42,0.42,0.41,4.05,0.41,false
5704,day,22,month_day_hour_min,,0.43,0.43,0.43,0.40,0.44,0.42,0.45,0.45,0.44,0.43,4.32,0.43,false
5705,day,22,month_day_hour_min,,0.41,0.42,0.42,0.40,0.42,0.40,0.43,0.42,0.41,0.42,4.15,0.42,false
5706,day,22,month_day_hour_min,,0.40,0.44,0.42,0.42,0.41,0.43,0.41,0.43,0.42,0.43,4.21,0.42,false
5707,day,22,month_day_hour_min,,0.41,0.45,0.43,0.42,0.41,0.42,0.41,0.42,0.43,0.43,4.23,0.42,false
5708,day,22,month_day_hour_min,,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.44,0.42,4.21,0.42,false
5709,day,22,month_day_hour_min,,0.43,0.41,0.44,0.43,0.43,0.43,0.42,0.43,0.45,0.42,4.29,0.43,false
5710,day,22,month_day_hour_min,,0.45,0.44,0.48,0.43,0.47,0.45,0.46,0.46,0.46,0.45,4.55,0.46,false
5711,day,22,month_day_hour_min,,0.46,0.46,0.49,0.48,0.47,0.47,0.43,0.48,0.46,0.47,4.67,0.47,false
5712,day,23,month_day_hour_min,,0.48,0.46,0.49,0.48,0.50,0.46,0.52,0.48,0.49,0.43,4.79,0.48,false
5713,day,23,month_day_hour_min,,0.46,0.42,0.42,0.42,0.44,0.43,0.44,0.43,0.46,0.41,4.33,0.43,false
5714,day,23,month_day_hour_min,,0.44,0.42,0.45,0.45,0.45,0.42,0.43,0.42,0.45,0.42,4.35,0.44,false
5715,day,23,month_day_hour_min,,0.42,0.42,0.45,0.45,0.43,0.43,0.42,0.45,0.46,0.44,4.37,0.44,false
5716,day,23,month_day_hour_min,,0.41,0.42,0.43,0.43,0.46,0.44,0.41,0.42,0.44,0.43,4.29,0.43,false
5717,day,23,month_day_hour_min,,0.41,0.41,0.41,0.42,0.42,0.43,0.40,0.41,0.43,0.40,4.14,0.41,false
5718,day,23,month_day_hour_min,,0.41,0.40,0.40,0.41,0.41,0.42,0.41,0.41,0.42,0.40,4.09,0.41,false
5719,day,23,month_day_hour_min,,0.53,0.46,0.51,0.48,0.52,0.47,0.47,0.46,0.48,0.47,4.85,0.48,false
5720,day,23,month_day_hour_min,,0.42,0.43,0.43,0.43,0.43,0.43,0.40,0.43,0.43,0.41,4.24,0.42,false
5721,day,23,month_day_hour_min,,0.43,0.41,0.42,0.40,0.42,0.42,0.40,0.43,0.43,0.40,4.16,0.42,false
5722,day,23,month_day_hour_min,,0.42,0.42,0.43,0.40,0.41,0.40,0.42,0.41,0.42,0.40,4.13,0.41,false
5723,day,23,month_day_hour_min,,0.42,0.42,0.44,0.42,0.43,0.42,0.41,0.42,0.45,0.43,4.26,0.43,false
5724,day,23,month_day_hour_min,,0.42,0.41,0.40,0.40,0.42,0.40,0.41,0.42,0.42,0.40,4.10,0.41,false
5725,day,23,month_day_hour_min,,0.42,0.41,0.42,0.39,0.42,0.41,0.43,0.42,0.44,0.40,4.16,0.42,false
5726,day,23,month_day_hour_min,,0.40,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.44,0.43,4.21,0.42,false
5727,day,23,month_day_hour_min,,0.41,0.42,0.42,0.40,0.40,0.39,0.41,0.40,0.41,0.39,4.05,0.40,false
5728,day,23,month_day_hour_min,,0.41,0.43,0.40,0.39,0.43,0.41,0.41,0.42,0.42,0.41,4.13,0.41,false
5729,day,23,month_day_hour_min,,0.48,0.49,0.49,0.50,0.51,0.45,0.49,0.48,0.48,0.46,4.83,0.48,false
5730,day,23,month_day_hour_min,,0.47,0.45,0.48,0.47,0.48,0.45,0.44,0.48,0.45,0.47,4.64,0.46,false
5731,day,24,month_day_hour_min,,0.46,0.41,0.43,0.43,0.44,0.44,0.45,0.43,0.46,0.42,4.37,0.44,false
5732,day,24,month_day_hour_min,,0.42,0.40,0.43,0.42,0.43,0.43,0.43,0.42,0.43,0.41,4.22,0.42,false
5733,day,24,month_day_hour_min,,0.41,0.41,0.44,0.44,0.42,0.42,0.43,0.41,0.43,0.41,4.22,0.42,false
5734,day,24,month_day_hour_min,,0.41,0.42,0.44,0.44,0.42,0.43,0.42,0.42,0.43,0.42,4.25,0.42,false
5735,day,24,month_day_hour_min,,0.41,0.39,0.42,0.41,0.43,0.42,0.42,0.41,0.42,0.40,4.13,0.41,false
5736,day,24,month_day_hour_min,,0.44,0.42,0.44,0.40,0.43,0.43,0.42,0.42,0.42,0.41,4.23,0.42,false
5737,day,24,month_day_hour_min,,0.44,0.43,0.44,0.42,0.46,0.44,0.43,0.46,0.45,0.44,4.41,0.44,false
5738,day,24,month_day_hour_min,,0.45,0.44,0.44,0.41,0.46,0.44,0.44,0.45,0.46,0.43,4.42,0.44,false
5739,day,24,month_day_hour_min,,0.42,0.41,0.43,0.41,0.41,0.41,0.42,0.40,0.41,0.40,4.12,0.41,false
5740,day,24,month_day_hour_min,,0.45,0.43,0.42,0.41,0.45,0.43,0.42,0.45,0.42,0.45,4.33,0.43,false
5741,day,24,month_day_hour_min,,0.46,0.45,0.46,0.44,0.44,0.48,0.47,0.47,0.49,0.47,4.63,0.46,false
5742,day,24,month_day_hour_min,,0.49,0.45,0.49,0.45,0.45,0.45,0.45,0.49,0.44,0.45,4.61,0.46,false
5743,day,24,month_day_hour_min,,0.49,0.45,0.45,0.41,0.45,0.45,0.45,0.46,0.47,0.45,4.53,0.45,false
5744,day,24,month_day_hour_min,,0.49,0.50,0.47,0.47,0.48,0.46,0.47,0.50,0.51,0.47,4.82,0.48,false
5745,day,24,month_day_hour_min,,0.44,0.44,0.45,0.44,0.43,0.43,0.43,0.42,0.44,0.45,4.37,0.44,false
5746,day,24,month_day_hour_min,,0.44,0.44,0.46,0.45,0.46,0.43,0.42,0.44,0.42,0.43,4.39,0.44,false
5747,day,25,month_day_hour_min,,0.42,0.42,0.44,0.43,0.43,0.44,0.42,0.42,0.45,0.42,4.29,0.43,false
5748,day,25,month_day_hour_min,,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.42,0.43,0.42,4.23,0.42,false
5749,day,25,month_day_hour_min,,0.42,0.39,0.41,0.41,0.42,0.43,0.42,0.41,0.42,0.39,4.12,0.41,false
5750,day,25,month_day_hour_min,,0.41,0.41,0.44,0.40,0.44,0.44,0.44,0.42,0.43,0.39,4.22,0.42,false
5751,day,25,month_day_hour_min,,0.43,0.44,0.44,0.43,0.44,0.42,0.41,0.44,0.45,0.43,4.33,0.43,false
5752,day,25,month_day_hour_min,,0.47,0.44,0.45,0.41,0.46,0.44,0.44,0.48,0.46,0.45,4.50,0.45,false
5753,day,25,month_day_hour_min,,0.45,0.45,0.45,0.43,0.45,0.45,0.43,0.47,0.44,0.43,4.45,0.45,false
5754,day,25,month_day_hour_min,,0.43,0.43,0.44,0.43,0.43,0.42,0.43,0.43,0.44,0.42,4.30,0.43,false
5755,day,25,month_day_hour_min,,0.44,0.45,0.47,0.45,0.45,0.43,0.45,0.46,0.45,0.45,4.50,0.45,false
5756,day,25,month_day_hour_min,,0.42,0.42,0.46,0.43,0.42,0.43,0.43,0.43,0.42,0.42,4.28,0.43,false
5757,day,25,month_day_hour_min,,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.42,0.42,4.25,0.42,false
5758,day,25,month_day_hour_min,,0.42,0.42,0.43,0.42,0.42,0.42,0.43,0.41,0.44,0.41,4.22,0.42,false
5759,day,25,month_day_hour_min,,0.43,0.48,0.43,0.42,0.45,0.43,0.44,0.44,0.46,0.43,4.41,0.44,false
5760,day,25,month_day_hour_min,,0.51,0.51,0.48,0.52,0.49,0.49,0.53,0.51,0.52,0.48,5.04,0.50,false
5761,day,26,month_day_hour_min,,0.44,0.44,0.47,0.45,0.44,0.44,0.46,0.47,0.47,0.44,4.52,0.45,false
