month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
12,30,22,0,1.71,0,250.34,0.746,133.93,19.95,245.8,30.17,133.2,0,47.5
12,31,3,15,2.13,365.61,0,2.11,386.58,23.83,217.53,32.61,321.2,0,52.03
12,31,4,0,2.26,369.66,0,2.356,384.87,23.77,213.33,32.93,314.73,0,52.05
12,31,5,15,2.43,251.02,0,2.761,372.73,22.86,222.6,32.45,214.87,0,50.89
1,1,1,45,2.31,412.33,0,0.11,159.33,18.5,240.4,33.14,350,0,53.16
1,1,2,0,2.37,419.17,0,0.11,151.02,18.22,237.93,33.32,366.07,0,53.36
1,1,2,30,2.47,413.29,0,0.11,146.49,18.3,235.73,33.52,364.87,0,53.54
1,1,3,45,2.74,431.12,0,0.109,130.73,18.04,230.87,33.91,364.2,0,53.78
1,1,13,30,2.35,0,186.53,0.106,219.92,20.7,243.13,31.22,81.27,25.82,49.16
1,1,15,15,2.16,0,78.85,0.109,185.06,20.53,240.8,31.43,105.2,24.95,49.57
1,1,16,30,2.09,0,53.04,0.109,182.95,20.56,237.73,31.7,104.53,25.14,49.7
1,1,17,15,2.05,0,76.53,0.108,173.41,20.62,242.67,31.37,104.47,24.86,49.59
1,2,4,0,3.15,435.04,0,0.103,117.47,17.91,237.67,34.44,336.8,0,54.03
1,2,4,30,3.25,315.01,0,0.105,116.1,18.12,266.27,33.78,177.33,0,52.06
1,2,13,30,2.2,0,266.69,0.101,220,20.66,257.13,30.77,3.47,25.49,48.61
1,2,14,45,2.03,0,98.57,0.101,206.39,20.76,266.27,31.41,107.87,25.77,49.52
1,2,16,45,1.91,2.31,43.35,0.1,179.25,20.67,264.2,31.48,138.07,25.88,50.03
1,2,18,15,1.91,108.9,0,0.101,202.51,21.62,235.73,31.81,315.93,25.46,50.99
1,2,19,15,1.93,67.56,0,0.104,187.56,21.49,238.47,31.53,318.6,23.89,50.8
1,2,19,45,1.94,27.19,2.03,0.106,183.8,21.76,239.93,31.56,318.47,24.56,50.82
1,2,20,30,1.95,112.09,0,0.107,174.3,21.76,239.87,31.6,363.4,25.26,51.49
1,2,21,45,2.06,278.25,0,0.106,177.34,21.45,288.33,32.19,355.67,0,51.93
1,3,5,0,3.3,352.23,0,0.1,162.85,18.16,240.27,34.02,354.53,0,53.77
1,3,5,45,3.43,285.39,0,0.101,180.71,19.03,240.53,33.73,356.13,0,53.62
1,3,6,15,3.49,195.55,0,0.101,201.47,21.27,248.27,33.44,344.13,0,53.04
