id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
383,correlation_ids_0,0.748046875,received_at,0.748046875,0.46,0.44,0.46,0.44,0.45,0.44,0.45,0.45,0.44,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.44,0.45,0.45,0.46,0.44,0.44,0.44,0.47,0.45,11.17,0.45,false
384,correlation_ids_0,0.75,received_at,0.75,0.44,0.44,0.45,0.44,0.44,0.43,0.45,0.43,0.44,0.45,0.44,0.43,0.44,0.44,0.44,0.44,0.43,0.45,0.45,0.44,0.43,0.43,0.43,0.45,0.44,10.99,0.44,false
385,correlation_ids_0,0.751953125,received_at,0.751953125,0.46,0.44,0.46,0.45,0.45,0.44,0.47,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.43,0.46,0.47,0.47,0.44,0.45,0.46,0.47,0.46,11.32,0.45,false
386,correlation_ids_0,0.75390625,received_at,0.75390625,0.45,0.45,0.45,0.44,0.43,0.44,0.44,0.45,0.44,0.44,0.45,0.43,0.45,0.44,0.45,0.45,0.43,0.45,0.44,0.45,0.44,0.44,0.44,0.45,0.45,11.09,0.44,false
387,correlation_ids_0,0.755859375,received_at,0.755859375,0.47,0.49,0.47,0.48,0.50,0.48,0.51,0.50,0.49,0.50,0.50,0.49,0.49,0.49,0.48,0.50,0.48,0.49,0.49,0.48,0.49,0.50,0.49,0.50,0.49,12.25,0.49,false
388,correlation_ids_0,0.7578125,received_at,0.7578125,0.49,0.49,0.48,0.51,0.49,0.49,0.52,0.52,0.50,0.52,0.49,0.50,0.50,0.51,0.49,0.51,0.49,0.49,0.50,0.50,0.50,0.52,0.51,0.50,0.50,12.52,0.50,false
389,correlation_ids_0,0.759765625,received_at,0.759765625,0.48,0.48,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.49,0.47,0.46,0.47,0.48,0.48,0.48,0.46,0.48,0.47,0.49,0.48,0.48,0.47,0.47,0.48,11.88,0.48,false
390,correlation_ids_0,0.76171875,received_at,0.76171875,0.57,0.56,0.57,0.56,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.56,0.55,0.55,0.54,0.55,0.55,0.57,0.56,0.53,0.55,0.55,0.57,13.89,0.56,false
391,correlation_ids_0,0.763671875,received_at,0.763671875,0.49,0.49,0.49,0.49,0.50,0.48,0.52,0.51,0.52,0.52,0.50,0.52,0.49,0.51,0.49,0.51,0.49,0.49,0.50,0.50,0.50,0.50,0.51,0.50,0.51,12.53,0.50,false
392,correlation_ids_0,0.765625,received_at,0.765625,0.58,0.58,0.58,0.57,0.57,0.58,0.59,0.58,0.60,0.59,0.58,0.57,0.57,0.58,0.58,0.59,0.57,0.57,0.56,0.57,0.57,0.57,0.56,0.57,0.59,14.42,0.58,false
393,correlation_ids_0,0.767578125,received_at,0.767578125,0.51,0.50,0.50,0.50,0.48,0.50,0.50,0.50,0.50,0.51,0.49,0.50,0.48,0.50,0.50,0.51,0.49,0.49,0.50,0.51,0.50,0.50,0.51,0.49,0.51,12.48,0.50,false
394,correlation_ids_0,0.76953125,received_at,0.76953125,0.47,0.49,0.48,0.48,0.50,0.48,0.50,0.50,0.49,0.50,0.50,0.49,0.50,0.50,0.48,0.50,0.48,0.49,0.49,0.49,0.49,0.50,0.49,0.51,0.49,12.29,0.49,false
395,correlation_ids_0,0.771484375,received_at,0.771484375,0.50,0.50,0.48,0.51,0.49,0.50,0.52,0.52,0.50,0.52,0.50,0.49,0.50,0.51,0.50,0.51,0.50,0.49,0.51,0.51,0.50,0.52,0.51,0.50,0.51,12.60,0.50,false
396,correlation_ids_0,0.7734375,received_at,0.7734375,0.47,0.46,0.46,0.46,0.46,0.47,0.46,0.47,0.47,0.47,0.44,0.45,0.46,0.45,0.46,0.47,0.44,0.47,0.47,0.48,0.44,0.45,0.46,0.47,0.47,11.53,0.46,false
397,correlation_ids_0,0.775390625,received_at,0.775390625,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.48,0.47,0.46,0.47,0.46,0.46,0.47,0.48,0.46,0.45,0.47,0.47,0.48,0.45,0.46,0.47,0.48,0.47,11.69,0.47,false
398,correlation_ids_0,0.77734375,received_at,0.77734375,0.50,0.50,0.49,0.50,0.50,0.49,0.51,0.51,0.52,0.53,0.50,0.51,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.52,0.50,0.51,0.51,0.51,0.51,12.63,0.51,false
399,correlation_ids_0,0.779296875,received_at,0.779296875,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.45,0.45,0.44,0.43,0.43,0.43,0.45,0.44,0.42,0.44,0.44,0.45,0.43,0.43,0.44,0.45,0.44,11.04,0.44,false
400,correlation_ids_0,0.78125,received_at,0.78125,0.45,0.45,0.45,0.45,0.46,0.44,0.46,0.46,0.45,0.45,0.46,0.46,0.44,0.44,0.46,0.45,0.44,0.44,0.45,0.47,0.44,0.45,0.45,0.47,0.46,11.30,0.45,false
401,correlation_ids_0,0.783203125,received_at,0.783203125,0.43,0.44,0.45,0.44,0.45,0.44,0.45,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.45,0.43,0.43,0.43,0.44,0.45,0.43,0.43,0.45,0.46,0.45,11.02,0.44,false
402,correlation_ids_0,0.78515625,received_at,0.78515625,0.44,0.45,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.47,0.46,0.44,0.45,0.46,0.46,0.45,0.45,0.47,0.47,0.47,11.36,0.45,false
403,correlation_ids_0,0.787109375,received_at,0.787109375,0.44,0.46,0.45,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.43,0.45,0.44,0.45,0.45,0.43,0.44,0.44,0.44,0.45,0.44,0.45,0.46,0.46,11.16,0.45,false
404,correlation_ids_0,0.7890625,received_at,0.7890625,0.48,0.50,0.49,0.48,0.50,0.49,0.51,0.51,0.50,0.49,0.50,0.49,0.50,0.49,0.49,0.51,0.49,0.50,0.49,0.50,0.50,0.50,0.50,0.51,0.49,12.41,0.50,false
405,correlation_ids_0,0.791015625,received_at,0.791015625,0.51,0.50,0.49,0.51,0.51,0.50,0.53,0.53,0.51,0.51,0.50,0.50,0.51,0.51,0.50,0.52,0.51,0.50,0.51,0.51,0.50,0.52,0.52,0.51,0.52,12.74,0.51,false
406,correlation_ids_0,0.79296875,received_at,0.79296875,0.48,0.48,0.48,0.48,0.48,0.47,0.49,0.48,0.47,0.47,0.47,0.46,0.47,0.47,0.49,0.49,0.46,0.48,0.48,0.50,0.48,0.48,0.49,0.49,0.48,11.97,0.48,false
407,correlation_ids_0,0.794921875,received_at,0.794921875,0.48,0.49,0.47,0.47,0.48,0.48,0.47,0.47,0.48,0.48,0.48,0.47,0.48,0.47,0.49,0.47,0.46,0.47,0.47,0.48,0.49,0.47,0.48,0.47,0.48,11.90,0.48,false
408,correlation_ids_0,0.796875,received_at,0.796875,0.56,0.57,0.57,0.57,0.56,0.56,0.55,0.57,0.55,0.56,0.55,0.55,0.56,0.56,0.56,0.56,0.55,0.56,0.55,0.57,0.57,0.54,0.56,0.55,0.58,13.99,0.56,false
409,correlation_ids_0,0.798828125,received_at,0.798828125,0.51,0.50,0.50,0.51,0.51,0.50,0.52,0.52,0.52,0.52,0.51,0.51,0.50,0.51,0.50,0.51,0.50,0.50,0.51,0.52,0.50,0.51,0.52,0.52,0.51,12.74,0.51,false
410,correlation_ids_0,0.80078125,received_at,0.80078125,0.57,0.56,0.56,0.55,0.55,0.55,0.56,0.56,0.57,0.57,0.56,0.55,0.56,0.56,0.56,0.57,0.54,0.55,0.54,0.56,0.56,0.57,0.56,0.55,0.57,13.96,0.56,false
411,correlation_ids_0,0.802734375,received_at,0.802734375,0.52,0.50,0.48,0.49,0.49,0.50,0.50,0.49,0.51,0.51,0.49,0.49,0.48,0.50,0.51,0.51,0.49,0.49,0.50,0.51,0.50,0.50,0.51,0.49,0.50,12.46,0.50,false
412,correlation_ids_0,0.8046875,received_at,0.8046875,0.48,0.50,0.49,0.49,0.50,0.49,0.51,0.50,0.50,0.49,0.51,0.50,0.51,0.49,0.49,0.50,0.49,0.50,0.50,0.49,0.50,0.50,0.50,0.52,0.50,12.45,0.50,false
