id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
160,2021 Nivel depósito ,0.2564102564102561,,,0.42,0.39,0.42,0.39,0.40,0.41,0.42,0.40,0.38,0.38,0.39,0.39,0.41,0.40,0.40,0.41,0.40,0.41,0.40,0.40,0.40,0.40,0.41,0.41,0.40,10.04,0.40,false
161,2021 Nivel depósito ,0.2051282051282048,,,0.43,0.40,0.42,0.41,0.39,0.40,0.40,0.41,0.38,0.39,0.40,0.39,0.42,0.41,0.41,0.41,0.39,0.42,0.41,0.40,0.39,0.40,0.42,0.39,0.41,10.10,0.40,false
162,2021 Nivel depósito ,0.21794871794871792,,,0.40,0.40,0.41,0.39,0.38,0.38,0.40,0.41,0.38,0.40,0.39,0.39,0.41,0.39,0.40,0.40,0.39,0.40,0.41,0.40,0.39,0.40,0.40,0.39,0.39,9.90,0.40,false
163,2021 Nivel depósito ,0.24358974358974358,,,0.39,0.37,0.40,0.38,0.37,0.36,0.40,0.39,0.38,0.38,0.37,0.37,0.40,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.39,0.40,0.38,0.38,9.52,0.38,false
164,2021 Nivel depósito ,0.2692307692307693,,,0.38,0.37,0.38,0.37,0.37,0.36,0.39,0.38,0.37,0.38,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.38,0.37,0.37,0.37,0.38,0.39,0.37,0.37,9.35,0.37,false
165,2021 Nivel depósito ,0.29487179487179493,,,0.41,0.38,0.40,0.38,0.37,0.37,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.40,0.38,0.39,9.66,0.39,false
166,2021 Nivel depósito ,0.3205128205128206,,,0.39,0.37,0.38,0.36,0.37,0.36,0.37,0.37,0.36,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.39,0.38,0.37,0.37,0.38,0.38,0.38,0.38,9.36,0.37,false
167,2021 Nivel depósito ,0.2692307692307693,,,0.40,0.38,0.39,0.38,0.37,0.38,0.39,0.37,0.37,0.37,0.38,0.39,0.39,0.38,0.38,0.39,0.37,0.39,0.38,0.38,0.38,0.38,0.38,0.40,0.39,9.56,0.38,false
168,2021 Nivel depósito ,0.2564102564102561,,,0.42,0.46,0.44,0.44,0.43,0.43,0.45,0.44,0.45,0.42,0.45,0.43,0.46,0.45,0.45,0.44,0.45,0.45,0.43,0.47,0.44,0.42,0.44,0.43,0.44,11.03,0.44,false
169,2021 Nivel depósito ,0.2820512820512818,,,0.42,0.40,0.42,0.39,0.39,0.39,0.42,0.42,0.40,0.41,0.39,0.40,0.41,0.39,0.40,0.39,0.41,0.42,0.40,0.41,0.41,0.41,0.42,0.42,0.42,10.16,0.41,false
170,2021 Nivel depósito ,0.3076923076923075,,,0.37,0.36,0.37,0.37,0.37,0.36,0.39,0.38,0.37,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.37,0.38,0.37,0.36,0.37,0.38,0.38,0.37,0.37,9.26,0.37,false
