num,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
31974,11,30,0,15,2.43,269.27,0.00,1.322,388.77,24.78,240.87,32.65,251.33,0.00,51.20
31980,11,30,1,45,2.58,223.82,0.00,1.832,379.79,24.67,241.93,32.65,216.60,0.00,50.87
31981,11,30,2,0,2.61,256.80,0.00,1.920,387.68,23.92,263.07,32.82,213.13,0.00,51.31
31990,11,30,4,15,2.91,241.81,0.00,2.589,415.97,23.80,274.80,33.05,265.47,0.00,51.60
31993,11,30,5,0,3.00,228.32,0.00,2.834,403.20,21.78,273.67,33.09,252.47,0.00,51.72
31995,11,30,5,30,3.04,250.44,0.00,2.969,321.46,18.62,273.79,33.22,330.50,0.00,52.41
32009,11,30,9,0,,37.76,177.27,2.291,123.68,19.37,260.80,31.61,180.27,0.00,50.04
32018,11,30,11,15,,56.09,0.00,2.039,211.93,21.24,267.33,32.42,288.33,0.00,51.20
32029,11,30,14,0,2.68,138.59,0.00,1.775,201.57,21.16,265.13,32.53,426.93,0.00,52.67
32036,11,30,15,45,2.85,232.39,0.00,1.637,195.99,21.42,238.93,32.86,447.93,0.00,53.26
32037,11,30,16,0,2.88,0.00,199.27,1.601,102.80,17.73,256.33,31.56,77.33,0.00,48.92
32054,11,30,20,15,1.97,0.00,335.47,0.883,108.22,19.31,276.13,29.90,107.80,0.00,47.12
32068,11,30,23,45,2.31,272.62,0.00,1.045,393.86,24.78,244.53,32.55,217.47,0.00,51.14
32069,12,1,0,0,2.34,273.59,0.00,1.135,401.58,24.71,242.87,32.65,199.27,0.00,51.12
32076,12,1,1,45,2.55,271.45,0.00,1.745,380.45,24.69,242.13,32.84,199.33,0.00,51.20
32081,12,1,3,0,2.75,407.50,0.00,2.171,366.69,22.61,256.40,33.88,319.47,0.00,53.04
32085,12,1,4,0,2.96,352.19,0.00,2.515,383.83,22.58,259.40,33.67,305.47,0.00,52.63
32089,12,1,5,0,3.10,241.09,0.00,2.798,342.13,20.61,293.47,33.44,208.00,0.00,51.63
32097,12,1,7,0,3.21,3.04,59.17,2.906,174.36,20.61,251.07,32.62,247.67,0.00,51.29
32099,12,1,7,30,3.16,0.00,114.83,2.859,176.20,20.67,253.20,32.52,197.20,0.00,50.93
32102,12,1,8,15,3.10,0.00,68.53,2.771,180.48,20.57,253.53,32.50,196.47,0.00,51.03
32105,12,1,9,0,3.04,0.00,68.82,2.679,168.15,20.67,253.47,32.51,173.87,0.00,50.84
32113,12,1,11,0,2.93,153.85,0.00,2.477,158.68,20.78,250.80,32.76,386.00,0.00,52.52
32118,12,1,12,15,3.04,219.67,0.00,2.370,161.78,20.67,246.20,33.14,498.53,0.00,54.13
32119,12,1,12,30,3.07,248.13,0.00,2.354,165.97,20.69,245.13,33.25,494.00,0.00,54.27
32131,12,1,15,30,3.39,283.27,0.00,2.041,102.15,19.77,261.93,33.92,436.80,0.00,54.24
32137,12,1,17,0,3.33,0.00,271.95,1.749,90.00,18.70,260.27,31.73,89.27,0.00,48.99
32142,12,1,18,15,3.08,0.00,292.87,1.569,91.90,17.45,257.73,31.20,91.13,0.00,48.76
32150,12,1,20,15,2.66,0.00,281.49,1.229,89.14,19.05,255.60,30.93,88.80,0.00,48.30
32155,12,1,21,30,2.42,91.44,90.91,0.989,120.28,20.78,242.33,31.94,203.27,0.00,50.72
32158,12,1,22,15,2.47,327.02,0.00,0.970,187.73,22.54,230.13,32.94,433.07,0.00,53.39
32159,12,1,22,30,2.51,318.43,0.00,0.970,185.48,22.50,230.93,32.89,431.93,0.00,53.44
32162,12,1,23,15,2.63,260.47,0.00,1.071,408.57,23.41,234.80,32.65,263.40,0.00,51.09
32169,12,2,1,0,2.82,254.54,0.00,1.691,402.22,23.73,268.33,33.11,207.00,0.00,51.38
32173,12,2,2,0,2.93,249.03,0.00,2.099,401.23,23.65,265.20,33.31,207.07,0.00,51.52
32174,12,2,2,15,2.97,274.21,0.00,2.229,403.83,23.63,264.13,33.37,205.93,0.00,51.67
32175,12,2,2,30,2.99,291.63,0.00,2.341,398.36,23.74,263.27,33.43,206.07,0.00,51.77
32177,12,2,3,0,3.06,328.02,0.00,2.444,396.64,23.71,260.27,33.69,285.40,0.00,52.61
32183,12,2,4,30,3.29,368.15,0.00,2.963,243.91,15.14,254.73,34.07,362.40,0.00,53.72
32191,12,2,6,30,3.54,25.95,158.95,3.017,128.78,19.92,276.07,32.22,182.53,0.00,50.26
32195,12,2,7,30,3.33,0.00,390.67,2.847,126.25,18.05,264.93,30.71,125.53,0.00,47.90
32197,12,2,8,0,3.20,0.00,362.47,2.773,123.39,19.68,262.40,30.92,122.20,0.00,48.14
32202,12,2,9,15,2.89,0.00,331.79,2.567,123.74,19.41,264.33,30.72,122.80,0.00,48.04
32204,12,2,9,45,2.77,0.00,346.65,2.495,124.48,18.82,266.27,30.56,123.47,0.00,47.79
32206,12,2,10,15,2.69,133.01,0.00,2.439,212.58,21.14,240.87,32.52,420.60,0.00,52.73
32214,12,2,12,15,2.82,174.65,0.00,2.320,193.40,21.11,239.87,32.67,448.13,0.00,53.15
32217,12,2,13,0,2.87,175.25,0.00,2.275,204.21,21.14,240.47,32.65,446.67,0.00,53.14
32229,12,2,16,0,3.11,63.47,107.93,2.129,108.15,19.63,264.73,32.17,182.67,0.00,50.14
32232,12,2,16,45,3.01,0.00,239.63,2.007,93.72,19.22,258.33,31.81,91.67,0.00,49.25
32235,12,2,17,30,2.87,0.00,243.47,1.890,93.99,18.71,261.80,31.54,93.40,0.00,48.80
32259,12,2,23,30,2.16,341.00,0.00,1.212,394.32,24.87,236.87,32.83,338.27,0.00,52.26
32269,12,3,2,0,2.57,332.31,0.00,2.023,374.29,24.71,233.33,33.20,252.47,0.00,51.86
32285,12,3,6,0,3.31,369.12,0.00,3.109,167.81,20.82,261.53,34.15,375.87,0.00,53.91
32286,12,3,6,15,3.36,343.73,0.00,3.105,170.03,20.62,264.60,34.01,376.60,0.00,53.83
32289,12,3,7,0,3.47,0.00,184.07,3.085,111.60,18.97,283.47,32.38,88.73,0.00,49.59
32306,12,3,11,15,2.81,27.44,0.53,2.351,226.76,21.01,244.67,32.53,389.80,0.00,52.29
32311,12,3,12,30,2.83,103.87,0.00,2.223,212.80,21.25,244.60,32.57,477.67,0.00,53.29
32315,12,3,13,30,2.87,168.59,0.00,2.157,156.05,20.20,242.60,32.75,473.47,0.00,53.38
32320,12,3,14,45,2.95,201.29,0.00,1.965,155.55,20.21,243.33,32.77,467.27,0.00,53.62
32337,12,3,19,0,2.56,0.00,240.94,1.339,118.45,19.73,262.07,31.21,117.40,0.00,48.68
32340,12,3,19,45,2.42,0.00,242.14,1.227,120.68,18.67,262.60,31.16,119.67,0.00,48.46
32344,12,3,20,45,2.23,0.00,240.33,1.049,120.73,18.45,257.67,30.97,119.47,0.00,48.32
32346,12,3,21,15,2.14,0.00,206.53,0.991,119.03,19.35,251.60,31.11,117.87,0.00,48.61
32348,12,3,21,45,2.06,0.00,150.42,0.941,193.02,22.08,250.53,31.20,90.87,0.00,48.88
32353,12,3,23,0,2.14,251.48,0.00,0.968,366.99,23.88,247.33,32.50,282.60,0.00,51.48
32357,12,4,0,0,2.25,300.50,0.00,1.250,387.30,23.88,246.20,32.66,260.93,0.00,51.41
32359,12,4,0,30,2.32,311.83,0.00,1.411,378.48,23.89,244.13,32.84,256.67,0.00,51.48
32371,12,4,3,30,2.80,304.49,0.00,2.405,412.10,23.71,239.20,33.27,244.53,0.00,51.84
32374,12,4,4,15,2.91,348.37,0.00,2.695,411.06,23.80,254.67,33.60,233.93,0.00,52.07
32378,12,4,5,15,3.08,349.86,0.00,3.055,383.22,22.33,251.27,33.85,278.47,0.00,52.85
32383,12,4,6,30,3.32,229.80,0.00,3.150,173.93,20.61,257.47,33.37,208.33,0.00,51.75
32385,12,4,7,0,3.37,157.69,0.00,3.149,152.10,20.01,259.53,33.19,207.33,0.00,51.61
32388,12,4,7,45,3.39,10.09,3.75,2.904,181.97,20.65,262.27,32.94,207.33,0.00,51.26
32402,12,4,11,15,3.26,65.30,0.00,2.351,167.45,18.82,250.13,32.85,428.67,0.00,53.09
32407,12,4,12,30,3.29,118.82,0.00,2.146,165.76,18.65,246.80,33.11,432.33,0.00,53.23
32411,12,4,13,30,3.33,154.23,0.00,1.962,139.55,18.78,247.00,33.15,427.53,0.00,53.39
32412,12,4,13,45,3.34,164.16,0.00,1.915,149.99,18.61,247.40,33.14,430.47,0.00,53.41
32413,12,4,14,0,3.35,170.19,0.00,1.878,165.07,19.36,245.13,33.27,440.87,0.00,53.66
32419,12,4,15,30,3.49,256.84,0.00,1.709,198.09,21.18,241.53,33.61,438.73,0.00,54.05
32426,12,4,17,15,3.40,0.00,287.77,1.500,126.13,18.59,264.53,31.74,125.73,0.00,48.84
32429,12,4,18,0,3.25,0.00,315.35,1.376,161.66,20.55,267.67,31.27,160.07,0.00,48.32
32430,12,4,18,15,3.19,0.00,350.41,1.339,181.36,20.66,258.93,30.84,180.80,0.00,47.70
32438,12,4,20,15,2.69,0.00,342.89,1.163,181.74,20.57,260.93,30.65,180.53,0.00,47.61
32439,12,4,20,30,2.63,0.00,338.91,1.132,181.86,20.39,260.13,30.68,180.20,0.00,47.54
32444,12,4,21,45,2.35,0.00,231.77,1.032,181.41,21.03,256.73,30.96,180.07,0.00,47.97
32448,12,4,22,45,2.38,399.40,0.00,1.041,186.07,21.64,226.40,33.37,466.67,0.00,54.22
32468,12,5,3,45,3.09,335.97,0.00,2.449,350.64,21.69,256.00,33.84,316.47,0.00,52.96
32472,12,5,4,45,3.25,261.57,0.00,2.736,387.46,21.61,259.53,33.57,282.53,0.00,52.63
32475,12,5,5,30,3.30,241.99,0.00,2.967,417.60,25.96,261.27,33.41,311.20,0.00,52.60
32487,12,5,8,30,2.97,0.00,366.42,2.615,96.91,17.63,265.40,30.82,95.87,0.00,48.31
32488,12,5,8,45,2.91,0.00,339.33,2.541,96.94,17.81,265.73,30.81,96.27,0.00,48.31
32494,12,5,10,15,2.56,0.00,317.41,2.149,96.20,17.90,266.87,30.65,95.20,0.00,47.98
32498,12,5,11,15,2.42,160.40,0.00,1.954,219.60,21.15,250.33,32.29,421.07,0.00,52.45
32500,12,5,11,45,2.45,177.71,0.00,1.898,208.01,21.27,257.13,32.44,422.47,0.00,52.46
32501,12,5,12,0,2.47,172.45,0.00,1.869,202.05,21.19,258.67,32.33,418.00,0.00,52.56
32502,12,5,12,15,2.49,179.02,0.00,1.853,203.80,21.18,256.27,32.50,418.07,0.00,52.59
32510,12,5,14,15,2.61,147.43,0.00,1.662,200.02,21.14,258.87,32.32,422.80,0.00,52.52
32511,12,5,14,30,2.62,169.62,0.00,1.643,198.78,21.16,254.60,32.60,420.27,0.00,52.73
32516,12,5,15,45,2.72,234.65,0.00,1.549,193.38,21.26,252.53,32.84,414.73,0.00,52.97
32529,12,5,19,0,2.52,0.00,269.98,1.143,103.36,19.09,272.13,31.19,102.20,0.00,48.54
32531,12,5,19,30,2.42,0.00,303.24,1.049,102.49,19.17,239.00,30.65,100.93,0.00,48.18
32535,12,5,20,30,2.20,0.00,286.46,0.875,179.03,22.46,244.07,30.50,95.13,0.00,47.99
32537,12,5,21,0,2.10,0.87,169.57,0.870,231.77,21.05,238.67,30.92,113.73,0.00,49.12
32539,12,5,21,30,2.08,205.01,0.00,0.870,229.82,21.71,225.27,32.01,380.00,0.00,51.98
32542,12,5,22,15,2.12,177.03,0.00,0.871,209.85,20.42,226.07,32.05,275.73,0.00,50.90
32546,12,5,23,15,2.26,343.08,0.00,0.977,396.09,23.69,266.33,32.99,318.00,0.00,52.16
32551,12,6,0,30,2.46,350.46,0.00,1.379,370.05,23.69,262.27,33.23,255.80,0.00,52.05
32562,12,6,3,15,2.94,359.41,0.00,2.232,352.53,22.73,256.00,33.71,249.93,0.00,52.48
32570,12,6,5,15,3.30,390.49,0.00,2.794,300.28,17.70,248.20,34.35,365.13,0.00,53.96
32584,12,6,8,45,3.11,0.00,367.96,2.413,100.65,18.01,269.33,30.75,99.93,0.00,47.81
32591,12,6,10,30,2.97,45.77,0.00,2.148,217.89,21.18,244.93,32.66,419.40,0.00,52.88
32592,12,6,10,45,2.97,72.57,0.00,2.123,213.39,21.28,245.67,32.62,417.67,0.00,52.93
32593,12,6,11,0,2.97,80.82,0.00,2.101,218.50,20.97,247.27,32.47,422.20,0.00,52.77
32599,12,6,12,30,3.00,139.43,0.00,1.959,207.35,21.30,242.53,32.81,462.20,0.00,53.53
32606,12,6,14,15,3.11,166.77,0.00,1.823,213.82,21.42,241.80,32.89,458.73,0.00,53.52
32607,12,6,14,30,3.13,167.63,0.00,1.801,208.09,21.18,241.93,32.92,457.27,0.00,53.63
32614,12,6,16,15,3.31,289.19,0.00,1.733,189.66,21.22,233.67,33.59,444.47,0.00,54.16
32617,12,6,17,0,3.41,134.31,73.64,1.711,148.51,19.73,240.87,33.11,301.87,0.00,52.05
32620,12,6,17,45,3.32,0.00,305.65,1.605,159.46,20.34,261.13,31.50,158.80,0.00,48.54
32623,12,6,18,30,3.14,0.00,345.68,1.543,159.38,20.25,266.27,31.09,158.40,0.00,48.04
32632,12,6,20,45,2.61,0.00,318.68,1.263,157.27,20.46,269.93,30.67,156.60,0.00,47.66
32636,12,6,21,45,2.42,0.00,208.76,1.205,158.56,20.74,261.47,31.29,157.73,0.00,48.37
32637,12,6,22,0,2.38,43.45,138.79,1.193,138.16,19.99,254.20,31.82,171.27,0.00,49.52
32640,12,6,22,45,2.42,359.89,0.00,1.148,184.46,21.14,235.67,33.33,377.13,0.00,53.22
32643,12,6,23,30,2.57,370.76,0.00,1.324,377.02,23.25,235.33,33.40,350.13,0.00,53.01
32647,12,7,0,30,2.71,275.51,0.00,1.639,370.63,23.25,241.33,32.97,253.40,0.00,51.69
32648,12,7,0,45,2.74,278.13,0.00,1.711,365.53,23.27,239.60,33.12,239.00,0.00,51.71
32652,12,7,1,45,2.87,271.90,0.00,2.059,363.58,23.17,241.00,33.09,240.60,0.00,51.68
32654,12,7,2,15,2.93,279.22,0.00,2.223,379.57,23.12,239.93,33.18,240.00,0.00,51.80
32659,12,7,3,30,3.11,334.01,0.00,2.527,303.16,18.68,234.67,33.64,293.00,0.00,52.76
32673,12,7,7,0,3.36,0.00,341.63,2.792,109.34,18.19,288.40,31.22,108.53,0.00,48.34
32677,12,7,8,0,3.10,0.00,340.37,2.492,108.87,17.95,267.60,30.97,107.80,0.00,48.33
32698,12,7,13,15,2.03,87.79,0.00,1.301,233.41,21.48,251.60,31.54,389.47,0.00,51.50
32701,12,7,14,0,2.04,73.25,0.00,1.228,230.14,21.59,251.33,31.56,388.40,0.00,51.55
32703,12,7,14,30,2.05,127.66,0.00,1.189,231.90,21.67,249.33,31.72,385.93,0.00,51.64
32718,12,7,18,15,2.04,0.00,298.85,0.879,134.12,19.43,269.80,30.18,132.67,0.00,47.21
32721,12,7,19,0,1.87,0.00,353.84,0.806,206.16,21.36,275.87,29.60,204.73,0.00,46.33
32725,12,7,20,0,1.62,0.00,378.19,0.743,204.56,21.14,281.73,29.02,203.87,0.00,45.70
32728,12,7,20,45,1.46,126.78,0.00,0.645,229.17,21.85,229.33,31.12,393.53,0.00,51.15
32729,12,7,21,0,1.47,151.38,0.00,0.641,234.43,21.74,228.67,31.18,394.27,0.00,51.12
32730,12,7,21,15,1.48,175.40,0.00,0.643,233.58,21.82,226.40,31.36,395.20,0.00,51.45
32739,12,7,23,30,1.78,402.09,0.00,0.802,404.21,24.75,248.73,32.88,379.53,0.00,52.73
32740,12,7,23,45,1.83,355.81,0.00,0.883,404.49,24.68,252.73,32.49,334.33,0.00,51.77
32741,12,8,0,0,1.88,162.81,0.00,0.968,418.18,24.75,256.00,31.75,96.40,0.00,49.68
32743,12,8,0,30,1.91,314.63,0.00,1.140,397.59,24.84,248.20,32.38,252.07,0.00,51.07
32745,12,8,1,0,1.98,304.55,0.00,1.309,395.25,24.93,247.73,32.43,221.00,0.00,51.01
32751,12,8,2,30,2.19,316.51,0.00,1.820,388.87,24.72,245.07,32.71,219.53,0.00,51.18
32758,12,8,4,15,2.45,293.65,0.00,2.407,392.76,24.73,244.93,32.80,223.47,0.00,51.29
32760,12,8,4,45,2.52,357.40,0.00,2.578,392.22,24.76,239.93,33.16,318.80,0.00,52.53
32768,12,8,6,45,2.85,384.36,0.00,2.873,191.92,20.59,233.47,33.78,448.47,0.00,54.44
32769,12,8,7,0,2.90,359.13,0.00,2.870,202.45,20.77,236.80,33.56,450.93,0.00,54.27
32783,12,8,10,30,3.09,15.53,1.65,2.496,216.96,20.46,261.80,32.70,409.40,0.00,52.77
32787,12,8,11,30,3.08,51.17,0.00,2.353,213.65,20.76,262.33,32.64,410.13,0.00,52.78
32789,12,8,12,0,3.07,77.87,0.00,2.288,197.95,20.80,261.33,32.73,409.53,0.00,52.84
32790,12,8,12,15,3.07,83.82,0.00,2.255,194.79,20.81,262.40,32.66,411.00,0.00,52.86
32800,12,8,14,45,3.21,231.86,0.00,1.953,193.13,20.73,254.07,33.33,434.07,0.00,53.54
32804,12,8,15,45,3.32,290.98,0.00,1.849,173.28,20.78,252.20,33.50,426.47,0.00,53.84
32817,12,8,19,0,2.82,0.00,258.79,1.470,151.45,19.42,273.87,31.55,150.53,0.00,48.48
32835,12,8,23,30,2.46,364.00,0.00,1.243,417.50,23.63,254.33,33.03,328.93,0.00,52.33
32841,12,9,1,0,2.65,236.35,0.00,1.754,402.67,23.58,257.07,32.84,203.53,0.00,51.09
32847,12,9,2,30,2.81,306.91,0.00,2.261,353.99,21.61,248.33,33.53,234.13,0.00,51.98
32848,12,9,2,45,2.84,380.74,0.00,2.329,347.58,20.70,246.00,33.73,327.53,0.00,52.98
32850,12,9,3,15,2.93,357.07,0.00,2.460,328.58,18.88,246.13,33.72,327.33,0.00,52.98
32854,12,9,4,15,3.11,310.53,0.00,2.661,319.22,17.18,249.40,33.52,330.40,0.00,52.73
32859,12,9,5,30,3.29,283.95,0.00,2.879,238.46,16.16,249.20,33.55,327.40,0.00,52.79
32875,12,9,9,30,2.67,0.00,414.11,2.194,139.87,18.05,279.13,29.91,138.53,0.00,46.98
32880,12,9,10,45,2.57,160.68,0.00,1.953,206.41,20.82,249.93,32.33,485.33,0.00,53.19
32882,12,9,11,15,2.60,115.15,0.00,1.873,195.93,20.59,251.47,32.18,431.53,0.00,52.58
32886,12,9,12,15,2.63,119.69,0.00,1.809,228.49,21.70,251.13,32.24,400.87,0.00,52.31
32890,12,9,13,15,2.66,115.84,0.00,1.758,231.20,21.67,250.13,32.34,401.47,0.00,52.31
32891,12,9,13,30,2.67,92.36,0.00,1.745,229.34,21.61,248.20,32.48,378.73,0.00,51.99
32892,12,9,13,45,2.67,110.71,0.00,1.731,230.14,21.57,247.60,32.54,373.27,0.00,52.13
32895,12,9,14,30,2.68,118.39,0.00,1.691,230.23,21.51,250.53,32.35,374.33,0.00,52.05
32899,12,9,15,30,2.72,168.41,0.00,1.650,227.56,21.80,246.53,32.62,371.47,0.00,52.35
32905,12,9,17,0,2.60,0.00,295.71,1.467,116.85,18.22,268.53,30.90,116.27,0.00,48.19
32910,12,9,18,15,2.35,0.00,311.77,1.267,118.44,17.41,271.87,30.54,117.67,0.00,47.75
32912,12,9,18,45,2.25,0.00,280.63,1.185,116.21,18.79,270.00,30.66,114.73,0.00,47.97
32915,12,9,19,30,2.10,0.00,273.20,1.064,116.37,18.65,265.07,30.63,114.93,0.00,47.99
32935,12,10,0,30,2.16,268.03,0.00,1.331,392.99,23.82,246.80,32.48,211.93,0.00,50.87
32937,12,10,1,0,2.22,284.63,0.00,1.493,409.13,23.88,245.60,32.59,211.87,0.00,50.95
32940,12,10,1,45,2.32,305.89,0.00,1.739,376.79,23.69,243.67,32.78,238.00,0.00,51.25
32947,12,10,3,30,2.60,352.15,0.00,2.299,366.71,22.24,238.27,33.32,257.27,0.00,52.20
32948,12,10,3,45,2.64,342.79,0.00,2.377,355.68,21.17,241.73,33.01,257.27,0.00,51.90
32966,12,10,8,15,3.16,0.00,153.93,2.595,177.61,18.69,277.07,32.28,202.80,0.00,50.78
32974,12,10,10,15,2.99,97.42,1.40,2.253,188.28,18.99,257.80,32.80,494.67,0.00,53.91
33007,12,10,18,30,2.49,0.00,344.47,1.147,211.66,21.20,254.60,30.39,209.33,0.00,47.16
33011,12,10,19,30,2.25,0.00,340.04,1.103,209.59,21.40,259.00,30.05,207.67,0.00,46.82
33014,12,10,20,15,2.07,0.00,311.93,1.078,209.96,21.20,259.33,29.99,208.40,0.00,46.73
33020,12,10,21,45,1.80,289.88,0.00,1.000,174.87,20.73,247.87,31.93,391.07,0.00,51.81
33022,12,10,22,15,1.87,321.23,0.00,0.954,155.68,20.59,242.93,32.25,392.60,0.00,52.22
33024,12,10,22,45,1.94,369.80,0.00,0.914,148.42,20.72,239.40,32.56,388.93,0.00,52.54
33025,12,10,23,0,1.98,342.25,0.00,0.927,309.03,22.07,241.47,32.47,355.07,0.00,51.93
33028,12,10,23,45,2.09,328.36,0.00,1.135,379.59,22.73,242.93,32.38,319.80,0.00,51.77
33033,12,11,1,0,2.30,305.41,0.00,1.516,370.69,22.67,242.47,32.49,242.60,0.00,51.09
33039,12,11,2,30,2.50,352.14,0.00,1.964,353.73,22.76,233.07,33.27,258.20,0.00,52.15
33040,12,11,2,45,2.53,409.75,0.00,2.042,355.53,22.68,232.00,33.36,320.67,0.00,52.77
33041,12,11,3,0,2.58,403.42,0.00,2.117,347.12,22.68,228.73,33.58,320.53,0.00,52.86
33046,12,11,4,15,2.83,417.25,0.00,2.493,352.86,22.65,245.33,33.93,314.20,0.00,53.10
33050,12,11,5,15,3.02,341.53,0.00,2.793,351.38,22.69,249.60,33.58,258.67,0.00,52.36
33052,12,11,5,45,3.10,378.66,0.00,2.925,232.55,19.58,244.20,34.03,326.93,0.00,53.41
33053,12,11,6,0,3.14,406.83,0.00,2.921,100.97,19.74,240.67,34.12,373.53,0.00,53.97
33055,12,11,6,30,3.24,396.17,0.00,2.910,172.27,21.18,249.47,34.20,380.27,0.00,54.08
33059,12,11,7,30,3.42,238.91,0.00,2.824,99.44,19.11,258.20,33.52,315.93,0.00,52.70
33063,12,11,8,30,3.47,106.87,0.00,2.649,170.54,19.03,273.93,33.18,355.87,0.00,52.80
33067,12,11,9,30,3.47,76.25,0.00,2.495,165.09,18.63,275.27,33.02,383.73,0.00,52.71
33069,12,11,10,0,3.47,145.79,0.00,2.416,186.00,19.27,268.80,33.24,477.27,0.00,54.18
33070,12,11,10,15,3.49,137.87,0.00,2.375,178.93,19.47,262.87,33.31,485.40,0.00,54.13
33074,12,11,11,15,3.52,129.57,0.00,2.207,159.12,19.13,260.33,33.20,462.07,0.00,53.92
33078,12,11,12,15,3.56,143.91,0.00,2.053,153.92,19.16,251.47,33.38,465.93,0.00,54.01
33088,12,11,14,45,3.58,94.28,0.00,1.633,119.06,19.07,249.27,33.22,284.60,0.00,52.27
33091,12,11,15,30,3.54,0.00,267.28,1.526,165.62,20.51,259.67,32.00,164.53,0.00,48.99
33099,12,11,17,30,3.14,0.00,291.07,1.449,133.51,18.56,242.87,31.27,133.00,0.00,48.59
33105,12,11,19,0,2.79,0.00,350.75,1.205,153.45,20.20,251.60,30.56,152.73,0.00,47.76
33109,12,11,20,0,2.55,123.89,21.13,1.079,146.15,19.80,229.73,32.31,371.00,0.00,52.93
33111,12,11,20,30,2.57,191.17,0.00,0.995,164.62,20.67,230.47,32.32,464.67,0.00,53.24
33115,12,11,21,30,2.66,306.08,0.00,0.957,188.54,21.04,219.87,33.12,454.27,0.00,53.70
33121,12,11,23,0,2.87,302.22,0.00,0.976,333.77,23.10,260.73,33.20,294.40,0.00,52.18
33122,12,11,23,15,2.90,309.47,0.00,1.055,403.29,24.23,258.07,33.40,292.93,0.00,52.43
33131,12,12,1,30,3.23,300.69,0.00,1.867,381.94,24.20,253.87,33.63,255.73,0.00,52.30
33132,12,12,1,45,3.26,300.44,0.00,1.951,379.29,24.22,251.33,33.81,255.73,0.00,52.29
33135,12,12,2,30,3.35,270.10,0.00,2.211,389.20,24.29,257.07,33.41,218.93,0.00,52.09
33144,12,12,4,45,3.63,300.16,0.00,2.887,330.10,18.60,250.53,33.84,299.33,0.00,53.03
33145,12,12,5,0,3.67,290.81,0.00,2.937,287.18,16.53,250.40,34.09,329.93,0.00,53.44
33150,12,12,6,15,3.81,109.03,0.00,3.013,207.60,21.54,261.47,33.52,375.93,0.00,53.16
33151,12,12,6,30,3.82,66.07,76.97,3.008,187.74,19.05,268.53,32.88,296.67,0.00,52.10
33152,12,12,6,45,3.81,0.00,366.99,2.987,157.64,20.27,284.73,31.46,156.73,0.00,48.53
33157,12,12,8,0,3.47,0.00,380.87,2.818,158.80,19.74,286.80,31.09,158.13,0.00,47.88
33158,12,12,8,15,3.40,0.00,414.49,2.780,158.29,19.44,293.47,30.50,157.67,0.00,47.46
33160,12,12,8,45,3.26,0.00,372.64,2.711,158.22,19.80,289.33,30.78,157.27,0.00,47.69
33161,12,12,9,0,3.20,0.00,396.02,2.658,157.79,19.62,293.27,30.37,157.27,0.00,47.35
33162,12,12,9,15,3.13,0.00,379.15,2.628,158.46,19.73,290.00,30.68,157.67,0.00,47.69
33166,12,12,10,15,2.87,0.00,358.32,2.454,96.55,18.24,254.47,30.59,95.47,0.00,48.10
33173,12,12,12,0,2.64,156.69,0.00,2.102,163.03,20.76,230.20,32.46,453.40,0.00,53.14
33178,12,12,13,15,2.73,144.92,0.00,2.020,207.27,21.16,244.33,32.50,457.13,0.00,53.10
33179,12,12,13,30,2.74,140.57,0.00,2.002,205.07,21.16,243.80,32.52,458.73,0.00,53.02
33182,12,12,14,15,2.78,171.59,0.00,1.921,150.92,19.77,243.13,32.59,451.80,0.00,53.11
33187,12,12,15,30,2.89,281.69,0.00,1.727,122.56,19.78,232.27,33.10,486.80,0.00,54.19
33189,12,12,16,0,2.95,154.46,0.00,1.663,109.64,19.63,240.27,32.55,491.40,0.00,53.85
33195,12,12,17,30,2.75,0.00,292.19,1.459,126.54,20.12,255.13,30.90,125.73,0.00,48.31
33207,12,12,20,30,2.01,37.23,74.99,0.993,165.21,20.09,249.80,31.31,246.93,0.00,50.79
33220,12,12,23,45,2.42,332.23,0.00,1.023,327.64,21.81,243.40,32.95,277.47,0.00,51.89
33222,12,13,0,15,2.50,342.64,0.00,1.165,361.99,21.80,243.73,32.93,275.13,0.00,51.95
33235,12,13,3,30,3.09,416.23,0.00,2.111,338.59,19.72,258.40,34.21,322.73,0.00,53.44
33247,12,13,6,30,3.52,146.69,0.00,2.581,228.17,21.65,258.07,33.18,402.00,0.00,53.27
33250,12,13,7,15,3.55,82.12,0.00,2.540,229.51,21.52,258.07,33.16,407.07,0.00,53.22
33255,12,13,8,30,3.58,125.23,0.00,2.449,231.43,21.67,259.33,33.14,405.07,0.00,53.25
33257,12,13,9,0,3.59,126.50,0.00,2.412,231.70,21.50,258.27,33.14,403.40,0.00,53.27
33265,12,13,11,0,3.65,22.62,241.51,2.291,162.58,19.38,255.07,31.82,181.07,0.00,49.40
33268,12,13,11,45,3.49,0.00,316.89,2.151,140.56,19.97,255.13,31.31,138.93,0.00,48.79
33272,12,13,12,45,3.25,0.00,319.12,1.976,140.38,19.90,257.67,31.08,140.00,0.00,48.29
33279,12,13,14,30,2.82,0.00,306.87,1.722,140.32,19.89,253.93,30.72,139.07,0.00,48.14
33280,12,13,14,45,2.76,0.00,302.19,1.697,138.65,20.20,255.80,30.61,137.67,0.00,47.89
33281,12,13,15,0,2.70,0.00,284.72,1.667,139.56,19.94,254.00,30.73,138.13,0.00,48.10
