num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
229,3.32,0,342.63,0.1,252.49,21.78,252,31.37,3.33,25.8,49.14,224,0
230,3.26,0,341.14,0.101,252.28,21.98,251.33,31.41,3.8,26.27,49.2,225,0
231,3.21,0,357.64,0.1,238.45,21.95,256.2,31.03,3.4,24.26,48.72,226,0
232,3.15,0,358.23,0.102,247.81,21.76,255.67,31.07,3.47,25.57,48.85,227,0
233,3.1,0,367,0.1,283.57,22.03,256.47,30.97,3.8,25.59,48.64,228,0
234,3.04,0,379.29,0.1,263.47,22,256.47,30.97,3.47,26.93,48.54,229,0
235,2.98,0,394.67,0.1,264.94,21.98,261.2,30.62,3.4,25.65,48.29,230,0
236,2.92,0,378.59,0.101,263.92,22,260.27,30.65,3.53,25.12,48.36,231,0
237,2.86,0,368.2,0.1,284.62,21.97,262.47,30.52,3.93,25,48.31,232,0
238,2.8,0,333.42,0.1,276.63,21.93,255.07,31.03,3.67,26,48.87,233,0
239,2.74,0,324.08,0.101,274.25,22.06,258.2,30.82,3.8,25.9,48.9,234,0
240,2.69,0,336.73,0.1,271.83,22,258.33,30.8,3.73,25.78,48.44,235,0
241,2.64,0,317.51,0.1,243.53,22.07,258.93,30.75,3.53,25.66,48.54,236,0
242,2.58,0,254.85,0.1,248.47,21.98,247.33,30.84,3.6,24.88,48.78,237,0
243,2.53,0,284.77,0.1,245.56,21.95,250,30.59,3.67,24.15,48.24,238,0
244,2.47,0,242.63,0.101,251.32,22.27,248.27,30.72,3.53,25.62,48.81,239,0
245,2.42,0,273.44,0.101,222.32,22.25,247.27,30.82,3.53,24.64,48.52,240,0
246,2.37,0,288.2,0.101,213.06,22.15,253.87,30.33,3.33,26.28,48.22,241,0
247,2.32,0,285.35,0.101,238.65,21.8,247.67,30.8,3.47,26.3,48.46,242,0
