n_px,n_p,truth
2.39,0.336,0
2.42,0.397,0
2.76,0.822,0
2.96,1.033,0
3.41,1.357,0
3.53,1.446,0
3.64,1.577,0
3.91,1.771,0
3.97,1.771,0
3.98,1.77,0
3.84,1.719,0
3.26,1.308,0
2.86,1.13,0
2.85,1.13,0
2.59,0.865,0
2.33,0.669,0
2.28,0.63,0
2.27,0.312,0
2.38,0.37,0
2.78,0.817,0
2.81,0.893,0
2.88,1.201,0
2.91,1.266,0
3.33,1.75,0
3.35,1.553,0
3.22,1.407,0
3.02,1.253,0
2.82,1.081,0
2.75,1.027,0
2.55,0.853,0
2.49,0.817,0
2.47,0.804,0
2.38,0.765,0
2.44,0.56,0
2.45,0.56,0
2.5,0.559,0
1.99,0.395,0
1.99,0.365,0
2.02,0.26,0
2.13,0.25,0
3.54,1.624,0
3.63,1.66,0
3.64,1.652,0
3.58,1.62,0
3.3,1.432,0
3.23,1.386,0
3.11,1.301,0
2.79,1.099,0
2.73,1.055,0
2.44,0.841,0
2.41,0.8,0
2.38,0.756,0
2.36,0.745,0
2.14,0.591,0
2.06,0.36,0
2.07,0.319,0
2.52,0.506,0
2.58,0.555,0
2.81,0.857,0
2.85,0.909,0
3.12,1.666,0
3.31,1.81,0
3.33,1.81,0
3.32,1.785,0
2.63,1.393,0
2.38,1.229,0
2.22,1.07,0
2.3,0.979,0
2.32,0.845,0
2.35,0.746,0
2.37,0.507,0
2.33,0.474,0
2.23,0.422,0
2.18,0.397,0
2.12,0.366,0
2.07,0.34,0
2.01,0.259,0
2.16,0.255,0
2.72,0.919,0
3.07,1.326,0
3.27,1.507,0
3.14,1.496,0
2.84,1.431,0
2.69,1.398,0
2.53,1.369,0
2.24,1.284,0
2.03,1.177,0
1.97,1.093,0
2.08,0.895,0
2.13,0.86,0
2.16,0.825,0
2.16,0.781,0
2.15,0.781,0
2.13,0.78,0
2.13,0.781,0
2.13,0.777,0
2.13,0.775,0
2.15,0.776,0
2.19,0.773,0
2.22,0.772,0
2.37,0.801,0
2.45,0.971,0
2.61,1.281,0
2.75,1.538,0
2.79,1.601,0
2.9,1.859,0
3.08,2.242,0
3.14,2.368,0
3.21,2.493,0
3.26,2.599,0
2.71,2.107,0
2.64,2.052,0
2.13,1.576,0
2.16,1.443,0
2.21,1.232,0
2.23,1.073,0
2.29,0.929,0
1.96,0.8,0
2.01,0.77,0
2.03,0.77,0
2.08,0.77,0
2.52,1.227,0
2.72,1.517,0
2.87,1.738,0
3.3,2.337,0
3.43,2.591,0
3.76,2.821,0
3.55,2.694,0
3.47,2.643,0
2.96,2.249,0
2.88,2.181,0
2.72,2.033,0
2.6,1.658,0
2.6,1.296,0
2.45,0.849,0
2.4,0.832,0
2.11,0.701,0
2.18,0.6,0
2.24,0.6,0
2.27,0.6,0
2.47,0.757,0
2.52,0.831,0
2.61,0.979,0
2.86,1.437,0
2.9,1.513,0
3.47,2.564,0
3.51,2.661,0
3.55,2.757,0
3.63,2.718,0
3.38,2.518,0
3.3,2.457,0
3.02,2.199,0
2.9,2.115,0
2.82,2.056,0
2.78,2.003,0
2.82,1.829,0
2.67,1.371,0
2.38,1.167,0
2.36,1.105,0
2.37,1.09,0
2.58,1.04,0
2.75,1.173,0
3.19,1.755,0
3.3,1.947,0
3.44,2.324,0
3.46,2.397,0
3.48,2.469,0
3.5,2.547,0
3.53,2.694,0
3.46,2.77,0
2.58,1.653,0
2.58,1.611,0
2.59,1.398,0
2.65,1.31,0
2.7,1.31,0
2.71,1.304,0
2.37,1.05,0
2.31,1.015,0
2.14,0.899,0
1.91,0.729,0
2.28,1.065,0
2.51,1.467,0
3.06,2.395,0
3.29,2.778,0
2.5,2.04,0
2.5,1.993,0
2.54,1.721,0
2.57,1.372,0
2.66,1.33,0
2.68,1.33,0
2.69,1.325,0
2.44,1.029,0
2.38,0.981,0
2.03,0.71,0
2.08,0.709,0
2.61,1.261,0
2.73,1.507,0
2.82,1.807,0
2.85,1.883,0
2.88,2.037,0
2.92,2.183,0
3.05,2.61,0
3.01,2.569,0
2.93,2.489,0
2.86,2.404,0
2.66,2.204,0
2.59,2.136,0
2.52,2.064,0
2.46,1.87,0
2.45,1.809,0
2.45,1.755,0
2.46,1.403,0
2.5,1.249,0
2.51,1.188,0
2.5,1.134,0
2.5,1.105,0
1.97,0.565,0
1.85,0.501,0
1.86,0.5,0
1.89,0.5,0
2.08,0.598,0
2.47,1.267,0
2.98,2.406,0
2.82,2.395,0
2.51,2.128,0
2.19,1.77,0
2.19,1.635,0
2.18,1.595,0
2.17,1.559,0
2.22,0.767,0
2.33,0.7,0
2.45,0.799,0
2.63,1.079,0
2.7,1.215,0
2.83,1.486,0
2.99,1.965,0
3.11,2.369,0
3.13,2.435,0
3.14,2.502,0
3.14,2.531,0
3.12,2.506,0
2.82,2.233,0
1.95,1.494,0
1.89,1.359,0
1.84,1.229,0
1.84,1.203,0
1.9,1.039,0
1.91,1.014,0
1.97,0.848,0
1.99,0.799,0
2.01,0.756,0
2.06,0.696,0
2.13,0.65,0
2.87,1.672,0
3.09,1.981,0
3.35,2.487,0
3.39,2.57,0
3.58,2.762,0
3.53,2.725,0
3.47,2.687,0
2.83,2.291,0
2.51,2.065,0
2.08,1.274,0
2.1,1.263,0
2.12,1.249,0
2.18,1.129,0
2.41,0.814,0
2.43,0.806,0
2.65,0.8,0
2.88,1.254,0
3.01,1.465,0
3.37,1.957,0
3.55,2.167,0
3.78,2.583,0
3.83,2.653,0
3.94,2.7,0
3.39,2.479,0
2.57,2.024,0
2.25,1.84,0
2.17,1.798,0
2.1,1.76,0
2.08,1.721,0
2.12,1.419,0
2.19,1.289,0
2.28,1.205,0
2.4,1.063,0
3.1,1.602,0
3.14,1.657,0
3.33,2.223,0
3.46,2.639,0
3.47,2.64,0
3.47,2.64,0
3.39,2.594,0
3.23,2.487,0
3.16,2.43,0
3.08,2.379,0
2.64,2.06,0
2.46,1.897,0
2.47,1.667,0
2.48,1.556,0
2.51,1.219,0
2.58,1.131,0
2.39,0.961,0
1.89,0.681,0
1.8,0.64,0
1.81,0.64,0
1.93,0.64,0
2.11,0.877,0
2.17,1.045,0
2.35,1.495,0
2.5,1.907,0
2.76,2.41,0
2.88,2.664,0
2.99,2.809,0
2.96,2.707,0
2.9,2.439,0
2.88,2.381,0
2.86,2.353,0
2.94,1.725,0
2.87,1.461,0
2.46,1.143,0
2.32,1.063,0
2.25,0.993,0
2.3,0.97,0
2.33,0.965,0
2.36,0.96,0
2.61,1.239,0
2.64,1.321,0
2.8,1.635,0
2.97,2.111,0
3.08,2.435,0
3.14,2.67,0
3.32,2.815,0
3.1,2.586,0
2.76,2.265,0
2.73,2.222,0
2.72,2.091,0
2.83,1.511,0
2.86,1.465,0
2.91,1.381,0
2.73,1.239,0
2.39,1.017,0
2.26,0.81,0
2.29,0.81,0
2.36,0.811,0
2.48,1.002,0
2.53,1.092,0
2.57,1.182,0
3.27,2.489,0
3.43,2.836,0
3.48,2.92,0
3.52,3.003,0
3.61,3.009,0
3.54,2.905,0
3.47,2.837,0
3.08,2.432,0
3.02,2.363,0
2.96,2.3,0
2.76,2.098,0
2.59,1.846,0
2.6,1.812,0
2.6,1.78,0
2.62,1.733,0
2.64,1.665,0
2.65,1.645,0
2.75,1.291,0
2.64,1.224,0
2.58,1.19,0
2.31,0.983,0
2.37,0.97,0
2.42,0.97,0
2.82,1.709,0
2.84,1.778,0
2.9,1.915,0
2.97,2.153,0
3,2.233,0
3.02,2.317,0
3.07,2.468,0
3.28,2.936,0
3.11,2.657,0
2.77,2.273,0
2.72,2.208,0
2.54,1.723,0
2.56,1.672,0
2.59,1.587,0
2.68,1.373,0
2.75,1.309,0
2.02,0.777,0
2.06,0.743,0
2.16,0.73,0
2.66,1.563,0
2.73,1.735,0
2.87,1.994,0
2.9,2.079,0
3.21,2.76,0
3.37,2.971,0
3.44,2.932,0
3.49,2.919,0
3.22,2.616,0
3.15,2.539,0
2.81,2.055,0
2.77,1.755,0
2.8,1.477,0
2.85,1.427,0
2.77,1.31,0
2.54,1.077,0
2.45,0.971,0
2.36,0.887,0
2.17,0.831,0
2.12,0.827,0
2.07,0.821,0
2.83,2.029,0
3.27,2.778,0
