n_px,ce_px,cs_px,truth
3.34,0,197.63,0
3.05,0,339.61,0
2.99,0,361.8,0
2.93,0,335.46,0
2.32,0,137.2,0
1.98,0,228.01,0
1.85,0,130.29,0
1.8,0,83.82,0
1.79,142.55,0,0
1.82,125.98,0,0
1.84,101.85,0,0
1.88,81.81,0,0
2.09,296.34,0,0
2.55,447.91,0,0
2.77,454.28,0,0
3.27,429.19,0,0
3.56,0,320.66,0
3.12,0,411.51,0
1.94,0,50.3,0
1.86,0,61.92,0
1.83,128.07,0,0
1.97,244.46,0,0
2,272.66,0,0
2.28,376.64,0,0
2.81,434.45,0,0
2.87,450.61,0,0
3.26,429.01,0,0
3.7,391.44,0,0
3.75,342.84,0,0
3.85,72.38,0,0
3.85,0,39.64,0
3.73,0,383.54,0
3.6,0,466.43,0
3.53,0,440.49,0
3.07,0,266.49,0
2.85,0,216.63,0
2.77,0,318.91,0
2.4,0,51.5,0
2.38,0,65.92,0
2.41,122.3,0,0
2.46,137.97,0,0
2.59,264.76,0,0
2.63,244.02,0,0
2.76,318.67,0,0
2.94,375.35,0,0
2.98,385.75,0,0
3.03,384.06,0,0
3.17,388.8,0,0
3.36,330.25,0,0
3.4,340.81,0,0
3.73,0,176.17,0
3.7,0,156.1,0
3.67,0,198.79,0
0,0,204.39,0
2.83,0,180.89,0
2.15,0,132.8,0
2.12,0,141.45,0
2.09,170.04,0,0
2.17,114.01,0,0
2.18,100.4,0,0
2.19,55.07,0,0
2.22,162.33,0,0
2.27,217.74,0,0
2.48,385.9,0,0
2.87,378.57,0,0
3.58,190.1,0,0
3.52,0,344.53,0
3.47,0,365.36,0
3.29,0,389.77,0
2.62,0,44.59,0
2.61,1.55,26.39,0
2.6,2.89,19.39,0
2.59,20.01,5.41,0
2.59,46.04,0,0
2.51,0,84.89,0
2.48,0,56.71,0
2.44,17.36,3.52,0
2.25,0,274.7,0
2.11,0,300.92,0
2.06,6.41,232.59,0
2.01,64.09,0,0
2.03,135.66,0,0
2.26,320.11,0,0
2.33,330,0,0
2.49,266.01,0,0
2.53,267.53,0,0
3.07,312.54,0,0
3.21,330.48,0,0
3.28,252.95,0,0
3.34,24.21,144.63,0
3.32,0,356.09,0
3.27,0,375.58,0
3.21,0,434.5,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
