i_uiip,i_f,i_uiipu,truth
225.45,221.4,201.07,0
247.63,216.87,286.4,0
205.11,239,320.13,0
203.23,237.33,318.13,0
167.24,256.53,167.53,0
136.31,241.6,382.6,0
132.84,239.33,382,0
156.13,233.73,378.93,0
193.5,229.33,376.2,0
278.3,252.93,366.13,0
179.65,278.33,319.4,0
117.03,257.87,110.2,0
109.05,261.27,108.87,0
108.36,234.73,108.6,0
108.56,263.87,108.4,0
109.34,334.27,109.8,0
110.02,269.13,110.33,0
112.03,274.33,112.73,0
174.07,178.47,241.47,0
222.38,222.67,366.27,0
227.88,225.33,292.33,0
220.37,227.33,290.33,0
124.58,255.87,125.6,0
101.04,289,382.2,0
91.62,278.13,381.6,0
353.29,240.93,363.27,0
375.96,242.27,363.2,0
370.01,269.13,261.6,0
387.9,269.8,265.53,0
421.08,268.8,264.07,0
221.32,271.73,375.4,0
191.89,290.87,377.53,0
118.49,314.53,119.53,0
113.75,97.2,115.07,0
86.65,93.67,87.2,0
151.56,274.4,294.2,0
206.02,272,376.07,0
97.99,233.73,369.93,0
123.65,232.73,368.73,0
104.8,250,105.33,0
107.42,251.07,107.33,0
124.13,256.07,124.27,0
124.76,258.07,125.33,0
123.48,261.6,124.07,0
116.18,257.4,108.4,0
198.78,236.8,378.07,0
165.18,227.93,375.73,0
289.9,269,304.47,0
282.01,251.2,305.93,0
244.28,247.93,366.27,0
169.57,254.47,170.27,0
188.71,251.87,189,0
189.54,254.87,189.6,0
190.01,256.73,190.4,0
189.85,213.47,190.2,0
227.43,218.4,304.67,0
170.41,218.73,302.73,0
178.76,237.07,377.27,0
178.34,242.53,375.87,0
181.18,239.53,375.67,0
225.2,249.13,283.93,0
228.52,256,286.6,0
223.72,251.87,288,0
231.25,251.93,377,0
204.91,252.73,312.2,0
213.2,249.27,376.8,0
188.59,246.53,376.6,0
178.96,246.67,374.07,0
175.26,244.73,372.4,0
345.47,238,371.6,0
382.24,244.73,319.2,0
384.28,263.67,245.53,0
384.26,258.27,245.73,0
381.1,255.53,246,0
366.17,240.4,246.13,0
373.38,234.47,295.53,0
373.96,234.27,293.47,0
379.77,237.73,292.53,0
239.88,239.4,298,0
93.98,233,94.2,0
94.73,232.2,94.67,0
163.75,236.53,379.2,0
127.94,251,377.8,0
132.42,249.6,380.47,0
137.69,249.6,379.4,0
160.31,248.27,378.8,0
208.92,213.33,380.73,0
214.92,229.53,380.53,0
195.89,224.53,376.47,0
174.65,228.6,380.13,0
342.15,255.47,298.67,0
336.19,246.13,308.73,0
334.91,242.6,347.73,0
373.07,247.53,277,0
377.03,244.07,274.27,0
178.88,223.87,190.4,0
124.39,256.67,124.07,0
102.71,261.2,103.8,0
97.42,248.6,97.93,0
126.28,248.2,82.13,0
148.76,211,336.6,0
153.56,209.4,377.73,0
111.01,255,374.27,0
160.19,254.4,160.93,0
161.12,252.8,161.2,0
157.38,241.27,286.8,0
202.09,228.53,352.93,0
212.27,229.8,373.6,0
218.74,247.73,370.8,0
364.5,238,368.93,0
349.09,236.73,367,0
374.57,238.67,268.87,0
349.2,236.2,283.33,0
350.14,236.8,290.73,0
403.41,231.33,238.47,0
405.56,234.6,236.27,0
391.6,235.2,239,0
106.27,273.67,106.8,0
105.86,264.67,105.93,0
103.86,271.93,104.6,0
