uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,received_at
0,0,104,1425764009,-98,-98,38.385917659159134,-0.5170252919197084,20,0,104,104,104
2,2,105,3443459180,-114,-114,38.3846865837538,-0.513212937943281,20,0,105,105,105
1,1,106,1565387358,-97,-97,38.38418726539637,-0.5101910233497621,10,0,106,106,106
1,1,107,1701994263,-91,-91,38.38418726539637,-0.5101910233497621,10,0,107,107,107
0,0,108,1825997577,-110,-110,38.385917659159134,-0.5170252919197084,20,0,108,108,108
2,2,109,3958064653,-103,-103,38.3846865837538,-0.513212937943281,20,0,109,109,109
1,1,110,1950992861,-95,-95,38.38418726539637,-0.5101910233497621,10,0,110,110,110
2,2,111,4070750573,-74,-74,38.3846865837538,-0.513212937943281,20,0,111,111,111
0,0,112,2131672312,-90,-90,38.385917659159134,-0.5170252919197084,20,0,112,112,112
1,1,113,2165786250,-96,-96,38.38418726539637,-0.5101910233497621,10,0,113,113,113
0,0,114,2233061713,-104,-104,38.385917659159134,-0.5170252919197084,20,0,114,114,114
0,0,115,2266823797,-91,-91,38.385917659159134,-0.5170252919197084,20,0,115,115,115
0,0,116,2291608894,-102,-102,38.385917659159134,-0.5170252919197084,20,0,116,116,116
2,2,117,161156100,-108,-108,38.3846865837538,-0.513212937943281,20,0,117,117,117
0,0,118,2447856278,-105,-105,38.385917659159134,-0.5170252919197084,20,0,118,118,118
2,2,119,263467204,-103,-103,38.3846865837538,-0.513212937943281,20,0,119,119,119
2,2,120,268885028,-100,-100,38.3846865837538,-0.513212937943281,20,0,120,120,120
2,2,121,341526724,-113,-113,38.3846865837538,-0.513212937943281,20,0,121,121,121
0,0,122,2625680150,-95,-95,38.385917659159134,-0.5170252919197084,20,0,122,122,122
3,3,123,1305674034,-90,-90,38.38473180809575,-0.5102983117103578,10,0,123,123,123
0,0,124,2765958117,-111,-111,38.385917659159134,-0.5170252919197084,20,0,124,124,124
1,1,125,2902253354,-89,-89,38.38418726539637,-0.5101910233497621,10,0,125,125,125
0,0,126,3025962494,-114,-114,38.385917659159134,-0.5170252919197084,20,0,126,126,126
1,1,127,3146345562,-95,-95,38.38418726539637,-0.5101910233497621,10,0,127,127,127
1,1,128,3151769275,-92,-92,38.38418726539637,-0.5101910233497621,10,0,128,128,128
0,0,129,3258020397,-89,-89,38.385917659159134,-0.5170252919197084,20,0,129,129,129
2,2,130,1049338651,-77,-77,38.3846865837538,-0.513212937943281,20,0,130,130,130
0,0,131,3366335102,-110,-110,38.385917659159134,-0.5170252919197084,20,0,131,131,131
2,2,132,1150695317,-105,-105,38.3846865837538,-0.513212937943281,20,0,132,132,132
0,0,133,3466757550,-97,-97,38.385917659159134,-0.5170252919197084,20,0,133,133,133
2,2,134,1209303218,-86,-86,38.3846865837538,-0.513212937943281,20,0,134,134,134
0,0,135,3643370038,-103,-103,38.385917659159134,-0.5170252919197084,20,0,135,135,135
2,2,136,1365468482,-108,-108,38.3846865837538,-0.513212937943281,20,0,136,136,136
2,2,137,1464236410,-101,-101,38.3846865837538,-0.513212937943281,20,0,137,137,137
1,1,138,3752133838,-93,-93,38.38418726539637,-0.5101910233497621,10,0,138,138,138
2,2,139,1541466562,-110,-110,38.3846865837538,-0.513212937943281,20,0,139,139,139
0,0,140,3825596078,-95,-95,38.385917659159134,-0.5170252919197084,20,0,140,140,140
0,0,141,3830665134,-110,-110,38.385917659159134,-0.5170252919197084,20,0,141,141,141
2,2,142,1684409386,-103,-103,38.3846865837538,-0.513212937943281,20,0,142,142,142
1,1,143,4102196826,-85,-85,38.38418726539637,-0.5101910233497621,10,0,143,143,143
0,0,144,4225899998,-113,-113,38.385917659159134,-0.5170252919197084,20,0,144,144,144
1,1,145,52145213,-87,-87,38.38418726539637,-0.5101910233497621,10,0,145,145,145
2,2,146,2070018761,-104,-104,38.3846865837538,-0.513212937943281,20,0,146,146,146
