id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
447,end_device_ids.dev_eui,0.07142857142857142,received_at,0.873046875,0.54,0.51,0.52,0.51,0.54,0.52,0.51,0.50,0.49,0.50,0.53,0.51,0.51,0.49,0.53,0.53,0.51,0.52,0.53,0.52,0.52,0.51,0.53,0.52,0.52,12.92,0.52,false
448,end_device_ids.dev_eui,0.14285714285714285,received_at,0.875,0.48,0.49,0.48,0.48,0.47,0.48,0.48,0.47,0.50,0.48,0.50,0.49,0.47,0.48,0.50,0.48,0.47,0.47,0.49,0.46,0.47,0.49,0.49,0.49,0.49,12.05,0.48,false
449,end_device_ids.dev_eui,0.21428571428571427,received_at,0.876953125,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.48,0.47,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,11.93,0.48,false
450,end_device_ids.dev_eui,0.2857142857142857,received_at,0.87890625,0.44,0.42,0.40,0.41,0.41,0.41,0.42,0.42,0.42,0.43,0.41,0.42,0.42,0.41,0.41,0.42,0.41,0.42,0.43,0.41,0.44,0.41,0.41,0.41,0.43,10.44,0.42,false
451,end_device_ids.dev_eui,0.35714285714285715,received_at,0.880859375,0.40,0.39,0.38,0.39,0.40,0.39,0.40,0.39,0.40,0.40,0.39,0.39,0.40,0.39,0.41,0.40,0.39,0.40,0.39,0.40,0.40,0.39,0.40,0.40,0.41,9.90,0.40,false
452,end_device_ids.dev_eui,0.42857142857142855,received_at,0.8828125,0.48,0.50,0.49,0.48,0.48,0.48,0.49,0.48,0.50,0.50,0.51,0.48,0.49,0.49,0.51,0.48,0.48,0.49,0.50,0.47,0.50,0.48,0.50,0.50,0.49,12.25,0.49,false
453,end_device_ids.dev_eui,0.5,received_at,0.884765625,0.52,0.51,0.50,0.49,0.52,0.51,0.49,0.51,0.51,0.53,0.51,0.51,0.51,0.50,0.50,0.51,0.51,0.50,0.49,0.50,0.51,0.51,0.51,0.52,0.50,12.68,0.51,false
454,end_device_ids.dev_eui,0.5714285714285714,received_at,0.88671875,0.40,0.40,0.38,0.38,0.39,0.39,0.41,0.39,0.39,0.41,0.39,0.40,0.40,0.39,0.40,0.40,0.40,0.39,0.39,0.39,0.40,0.40,0.39,0.40,0.40,9.88,0.40,false
455,end_device_ids.dev_eui,0.6428571428571429,received_at,0.888671875,0.43,0.42,0.42,0.43,0.44,0.42,0.41,0.41,0.42,0.43,0.42,0.41,0.42,0.43,0.42,0.43,0.42,0.43,0.43,0.43,0.45,0.42,0.43,0.42,0.44,10.63,0.43,false
456,end_device_ids.dev_eui,0.7142857142857143,received_at,0.890625,0.40,0.40,0.39,0.39,0.39,0.41,0.40,0.39,0.40,0.40,0.39,0.40,0.40,0.40,0.40,0.39,0.39,0.39,0.40,0.40,0.41,0.40,0.42,0.40,0.39,9.95,0.40,false
457,end_device_ids.dev_eui,0.7857142857142857,received_at,0.892578125,0.41,0.41,0.42,0.42,0.40,0.44,0.41,0.40,0.41,0.42,0.40,0.41,0.41,0.41,0.41,0.41,0.40,0.42,0.42,0.40,0.41,0.41,0.41,0.42,0.41,10.29,0.41,false
458,end_device_ids.dev_eui,0.14285714285714285,received_at,0.89453125,0.51,0.51,0.51,0.48,0.51,0.49,0.50,0.49,0.51,0.51,0.50,0.49,0.50,0.51,0.52,0.52,0.51,0.51,0.51,0.50,0.50,0.51,0.51,0.51,0.50,12.62,0.50,false
459,end_device_ids.dev_eui,0.21428571428571427,received_at,0.896484375,0.49,0.49,0.47,0.47,0.48,0.46,0.47,0.47,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.47,0.46,0.47,0.49,0.48,0.47,11.88,0.48,false
460,end_device_ids.dev_eui,0.8571428571428571,received_at,0.8984375,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.45,0.47,0.47,0.47,0.46,0.45,0.44,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.47,11.44,0.46,false
461,end_device_ids.dev_eui,0.9285714285714286,received_at,0.900390625,0.48,0.47,0.48,0.47,0.48,0.48,0.49,0.48,0.49,0.48,0.47,0.47,0.49,0.46,0.48,0.49,0.47,0.48,0.47,0.47,0.49,0.46,0.46,0.48,0.50,11.94,0.48,false
