month,day,hour,min,i_f,p_f,truth
1,6,15,45,264.6,31.16,0
1,6,16,0,256.47,31.56,0
1,6,16,15,237.27,31.42,0
1,6,16,30,237.73,31.45,0
1,6,16,45,240.8,31.19,0
1,6,17,0,238.67,31.42,0
1,6,17,15,238.13,31.5,0
1,6,17,30,239.13,31.39,0
1,6,17,45,239.2,31.43,0
1,6,18,0,240.73,31.37,0
1,6,18,15,239.33,31.48,0
1,6,18,30,236.07,31.67,0
1,6,18,45,237.73,31.61,0
1,6,19,0,237.4,31.68,0
1,6,19,15,237.8,31.64,0
1,6,19,30,240.4,31.48,0
1,6,19,45,238,31.66,0
1,6,20,0,241.93,31.44,0
1,6,20,15,240.4,31.51,0
1,6,20,30,243.93,31.26,0
1,6,20,45,258.8,31.78,0
1,6,21,0,258,31.94,0
1,6,21,15,253.67,32.3,0
1,6,21,30,249.47,32.59,0
1,6,21,45,253.67,32.24,0
1,6,22,0,250.6,32.51,0
1,6,22,15,245.27,32.94,0
1,6,22,30,246.67,32.8,0
1,6,22,45,268.47,32.91,0
1,6,23,0,266.53,33.01,0
1,6,23,15,265.2,33.12,0
1,6,23,30,261.33,33.4,0
1,6,23,45,262.07,33.35,0
1,7,0,0,259.47,33.53,0
1,7,0,15,259.67,33.51,0
1,7,0,30,256.53,33.74,0
1,7,0,45,259.33,33.52,0
1,7,1,0,257.93,33.63,0
1,7,1,15,259.13,33.5,0
1,7,1,30,257.73,33.6,0
1,7,1,45,254.27,33.87,0
1,7,2,0,257.53,33.56,0
1,7,2,15,257.8,33.56,0
1,7,2,30,255.53,33.73,0
1,7,2,45,254.07,33.82,0
1,7,3,0,252.6,33.95,0
1,7,3,15,252.4,33.88,0
1,7,3,30,252.6,33.92,0
1,7,3,45,252.53,33.97,0
1,7,4,0,251.87,33.98,0
1,7,4,15,247.93,34.33,0
1,7,4,30,258.67,33.42,0
1,7,4,45,257.87,33.52,0
1,7,5,0,266.27,32.82,0
1,7,5,15,264.2,33.03,0
1,7,5,30,249.27,33.07,0
1,7,5,45,231.53,33.16,0
1,7,6,0,233.2,32.99,0
1,7,6,15,239.87,32.92,0
1,7,6,30,242,32.73,0
1,7,6,45,240.87,32.84,0
1,7,7,0,242.8,32.67,0
1,7,7,15,247,31.97,0
1,7,7,30,240.2,31.3,0
1,7,7,45,239.47,31.31,0
1,7,8,0,241.2,31.21,0
1,7,8,15,244.27,31.01,0
1,7,8,30,247.13,30.8,0
1,7,8,45,246.8,30.85,0
1,7,9,0,249.87,30.59,0
1,7,9,15,251.33,30.47,0
1,7,9,30,254.27,30.23,0
1,7,9,45,254,30.28,0
1,7,10,0,257,30.01,0
1,7,10,15,254,30.27,0
1,7,10,30,251.27,30.45,0
1,7,10,45,251,30.44,0
1,7,11,0,254.6,30.2,0
1,7,11,15,248.93,30.64,0
1,7,11,30,254.87,30.13,0
1,7,11,45,252.8,30.34,0
1,7,12,0,250.93,30.46,0
