month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,4,19,30,282.93,25.81,50.46,0
1,4,19,45,283.33,25.56,50.48,0
1,4,20,0,282.6,26.18,50.48,0
1,4,20,15,285.33,25.64,50.26,0
1,4,20,30,283.8,25.06,50.54,0
1,4,20,45,284.53,24.7,50.45,0
1,4,21,0,282.87,5.8,50.49,0
1,4,21,15,284.27,0.28,50.5,0
1,4,21,30,282.53,0.07,50.69,0
1,4,21,45,285.27,0,50.5,0
1,4,22,0,367.33,0,51.73,0
1,4,22,15,377.33,0,52.05,0
1,4,22,30,377.33,0,52.18,0
1,4,22,45,375.87,0,52.34,0
1,4,23,0,375.67,0,52.46,0
1,4,23,15,375,0,52.46,0
1,4,23,30,372,0,52.72,0
1,4,23,45,372.73,0,52.79,0
1,5,0,0,371.4,0,52.93,0
1,5,0,15,370.93,0,52.72,0
1,5,0,30,366.93,0,52.94,0
1,5,0,45,367.53,0,53.07,0
1,5,1,0,369.53,0,52.82,0
1,5,1,15,368,0,52.87,0
1,5,1,30,366.73,0,53.02,0
1,5,1,45,364.53,0,53.18,0
1,5,2,0,365.4,0,53.1,0
1,5,2,15,367.87,0,52.96,0
1,5,2,30,369.47,0,52.71,0
1,5,2,45,363.07,0,53.4,0
1,5,3,0,350.87,0,52.48,0
1,5,3,15,366.27,0,52.93,0
1,5,3,30,364.6,0,53.26,0
1,5,3,45,363.87,0,53.41,0
1,5,4,0,366,0,53.39,0
1,5,4,15,360,0,53.7,0
1,5,4,30,363.87,0,53.59,0
1,5,4,45,360.27,0,53.99,0
1,5,5,0,362.27,0,53.62,0
1,5,5,15,364.2,0,53.6,0
1,5,5,30,362.8,0,53.43,0
1,5,5,45,363.2,0,53.47,0
1,5,6,0,365.33,0,53.26,0
1,5,6,15,358.07,0,53.22,0
1,5,6,30,347.27,20.26,52.93,0
1,5,6,45,341.13,25.51,52.48,0
1,5,7,0,224.73,25.1,51.36,0
1,5,7,15,186.33,26.14,51.23,0
1,5,7,30,102.47,25.83,49.99,0
1,5,7,45,2.53,25.19,49.48,0
1,5,8,0,2.4,27.23,48.74,0
1,5,8,15,2.4,25.24,48.6,0
1,5,8,30,2.2,25.06,48.59,0
1,5,8,45,2.47,25.3,48.65,0
1,5,9,0,2.2,25.88,48.19,0
1,5,9,15,2.6,25.55,48.31,0
1,5,9,30,2.4,26.43,48.31,0
1,5,9,45,2.73,25,47.9,0
1,5,10,0,2.33,25.72,48.27,0
1,5,10,15,2.67,25.76,48.38,0
1,5,10,30,2.53,25.74,48.43,0
1,5,10,45,3.33,25.25,48.23,0
1,5,11,0,3.47,25.43,48.44,0
1,5,11,15,3.6,24.99,48.34,0
1,5,11,30,3.33,26.01,48.4,0
1,5,11,45,3.53,25.99,48.37,0
1,5,12,0,122.4,24.76,49.44,0
1,5,12,15,132.8,25.07,49.52,0
1,5,12,30,111.2,25.59,49.46,0
