month,day,hour,min,p_uiip,p_f,p_pu
1,6,8,45,20.86,31.14,49
1,6,9,0,21.46,31.2,48.99
1,6,9,15,21.62,30.59,48.52
1,6,9,30,21.66,30.2,48.06
1,6,9,45,21.63,29.61,47.44
1,6,10,0,21.72,29.37,47.41
1,6,10,15,21.69,29.48,47.28
1,6,10,30,21.7,29.47,47.38
1,6,10,45,21.67,29.48,47.33
1,6,11,0,21.41,29.52,47.37
1,6,11,15,21.24,29.9,48.05
1,6,11,30,21.52,30.46,48.63
1,6,11,45,21.73,30.54,48.75
1,6,12,0,21.59,30.42,48.67
1,6,12,15,21.75,30.97,49.03
1,6,12,30,21.69,31.16,49.44
1,6,12,45,21.71,31.3,49.31
1,6,13,0,21.61,31.09,49.44
1,6,13,15,21.1,31.5,49.69
1,6,13,30,20.62,31.41,49.65
1,6,13,45,20.29,31.47,49.52
1,6,14,0,20.15,31.35,49.54
1,6,14,15,20.18,31.38,49.46
1,6,14,30,20.1,31.35,49.55
1,6,14,45,20.35,31.46,49.46
1,6,15,0,20.21,31.33,49.41
1,6,15,15,19.97,31.47,49.52
1,6,15,30,20.05,31.52,49.46
1,6,15,45,20.22,31.16,49.24
1,6,16,0,20.26,31.56,49.7
1,6,16,15,20.2,31.42,49.51
1,6,16,30,20.14,31.45,49.63
1,6,16,45,20.08,31.19,49.39
1,6,17,0,20.05,31.42,49.8
1,6,17,15,20.24,31.5,50.83
1,6,17,30,19.97,31.39,50.33
1,6,17,45,20.16,31.43,50.56
1,6,18,0,20.18,31.37,50.54
1,6,18,15,20.03,31.48,50.54
1,6,18,30,20.14,31.67,50.61
1,6,18,45,19.85,31.61,50.58
1,6,19,0,20.18,31.68,50.63
1,6,19,15,20.12,31.64,50.7
1,6,19,30,20.19,31.48,50.73
1,6,19,45,20.14,31.66,50.88
1,6,20,0,20.16,31.44,50.8
1,6,20,15,20.16,31.51,50.65
1,6,20,30,19.96,31.26,50.74
1,6,20,45,20.1,31.78,51.29
1,6,21,0,20.12,31.94,51.75
1,6,21,15,20.03,32.3,51.9
1,6,21,30,20.18,32.59,51.99
1,6,21,45,20.03,32.24,51.95
1,6,22,0,20.18,32.51,52.41
1,6,22,15,20.22,32.94,52.65
1,6,22,30,20.24,32.8,52.65
1,6,22,45,20.05,32.91,52.75
1,6,23,0,16.48,33.01,52.88
1,6,23,15,16.61,33.12,52.9
1,6,23,30,16.54,33.4,53.16
1,6,23,45,16.48,33.35,53.13
1,7,0,0,16.27,33.53,53.2
1,7,0,15,16.47,33.51,53.22
1,7,0,30,16.73,33.74,53.44
1,7,0,45,16.58,33.52,53.41
1,7,1,0,16.54,33.63,53.32
1,7,1,15,16.46,33.5,53.27
1,7,1,30,16.48,33.6,53.33
1,7,1,45,16.76,33.87,53.67
1,7,2,0,16.48,33.56,53.26
1,7,2,15,16.49,33.56,53.15
1,7,2,30,16.44,33.73,53.52
1,7,2,45,16.59,33.82,53.59
