id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
123,end_device_ids.device_id,1,0,0.240234375,0.51,0.50,0.51,0.51,0.48,0.50,0.48,0.51,0.51,0.49,0.52,0.49,0.50,0.51,0.49,0.52,0.50,0.52,0.50,0.51,0.51,0.49,0.51,0.51,0.50,12.58,0.50,false
124,end_device_ids.device_id,0.42857142857142855,0,0.2421875,0.47,0.48,0.46,0.47,0.45,0.47,0.47,0.48,0.47,0.46,0.48,0.49,0.48,0.47,0.47,0.49,0.46,0.44,0.47,0.50,0.48,0.49,0.48,0.48,0.48,11.84,0.47,false
125,end_device_ids.device_id,0,0,0.244140625,0.51,0.50,0.50,0.53,0.48,0.49,0.51,0.52,0.49,0.51,0.50,0.50,0.50,0.48,0.49,0.50,0.49,0.49,0.49,0.48,0.48,0.49,0.50,0.50,0.50,12.43,0.50,false
126,end_device_ids.device_id,0.07142857142857142,0,0.24609375,0.46,0.45,0.45,0.45,0.47,0.46,0.46,0.48,0.43,0.45,0.47,0.44,0.46,0.47,0.45,0.47,0.45,0.48,0.46,0.47,0.46,0.48,0.46,0.45,0.47,11.50,0.46,false
127,end_device_ids.device_id,0.14285714285714285,0,0.248046875,0.47,0.49,0.47,0.50,0.48,0.47,0.47,0.48,0.48,0.47,0.49,0.49,0.48,0.48,0.49,0.50,0.48,0.49,0.46,0.47,0.46,0.49,0.48,0.49,0.47,12.00,0.48,false
128,end_device_ids.device_id,0.21428571428571427,0,0.25,0.43,0.43,0.41,0.43,0.41,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.43,0.43,0.45,0.42,0.41,0.42,0.43,0.43,0.44,0.44,0.44,0.42,10.68,0.43,false
129,end_device_ids.device_id,0.2857142857142857,0,0.251953125,0.42,0.40,0.40,0.39,0.40,0.41,0.40,0.41,0.40,0.39,0.41,0.40,0.40,0.40,0.40,0.40,0.41,0.41,0.40,0.39,0.41,0.40,0.41,0.40,0.41,10.07,0.40,false
130,end_device_ids.device_id,0.35714285714285715,0,0.25390625,0.38,0.39,0.39,0.39,0.36,0.38,0.39,0.37,0.39,0.38,0.39,0.38,0.39,0.40,0.38,0.39,0.38,0.38,0.39,0.38,0.39,0.38,0.38,0.39,0.38,9.60,0.38,false
131,end_device_ids.device_id,0.42857142857142855,0,0.255859375,0.50,0.48,0.47,0.49,0.46,0.47,0.48,0.48,0.49,0.47,0.47,0.50,0.48,0.48,0.49,0.49,0.48,0.47,0.47,0.49,0.49,0.51,0.49,0.49,0.49,12.08,0.48,false
132,end_device_ids.device_id,0.5,0,0.2578125,0.49,0.49,0.50,0.50,0.52,0.49,0.48,0.50,0.48,0.49,0.50,0.48,0.48,0.49,0.48,0.49,0.48,0.47,0.49,0.48,0.49,0.48,0.49,0.49,0.49,12.22,0.49,false
