month_day_hour_min,i_uiip,i_f,i_uiipu,truth
576,186.13,259.47,370.27,0
577,223.25,259.67,370.6,0
578,205.7,256.53,366.8,0
579,186.71,259.33,365.93,0
580,180.67,257.93,365.8,0
581,203.18,259.13,367.2,0
582,193.78,257.73,365.8,0
583,200.27,254.27,362.67,0
584,210.7,257.53,366.2,0
585,190.62,257.8,367.2,0
586,183.2,255.53,364.07,0
587,176.49,254.07,363.67,0
588,163.97,252.6,362.93,0
589,163.74,252.4,361.6,0
590,147.2,252.6,361.93,0
591,148.09,252.53,361.47,0
592,161.94,251.87,362.6,0
593,169.05,247.93,361.2,0
594,170.33,258.67,195.47,0
595,174.3,257.87,126.4,0
596,187.56,266.27,128.13,0
597,172.01,264.2,126.87,0
598,171.12,249.27,127,0
599,178.39,231.53,127.53,0
600,181.65,233.2,127.8,0
601,204.39,239.87,97.2,0
602,181.22,242,86.93,0
603,178.65,240.87,86.33,0
604,208.56,242.8,89.87,0
605,213.3,247,56.73,0
606,228.17,240.2,2.93,0
607,245.8,239.47,3.2,0
608,241.09,241.2,3.33,0
609,256.19,244.27,3.4,0
610,252.16,247.13,3.87,0
611,300.05,246.8,3.8,0
612,300.29,249.87,3.33,0
613,297.73,251.33,3.33,0
614,267.5,254.27,3.67,0
615,269.75,254,3.6,0
616,268.82,257,3.73,0
617,273.12,254,3.6,0
618,265.21,251.27,3.4,0
619,279.99,251,3.8,0
620,288.26,254.6,4.2,0
621,291.7,248.93,3.47,0
622,256.37,254.87,3.6,0
623,233.14,252.8,4,0
624,230.72,250.93,3.67,0
625,252.04,244.53,75.4,0
626,230.95,246.33,124.73,0
627,225.02,243.07,114.47,0
628,212.77,251.13,107.87,0
629,223.59,255.6,96.53,0
630,210.4,255.07,93.73,0
631,223.26,258.33,96.6,0
632,212.43,256.93,96.87,0
633,221.09,259.07,95.47,0
634,198.32,257.6,95.13,0
635,191.93,255.4,95.6,0
636,185.27,254.07,92.27,0
637,206.4,256.8,93.93,0
638,214.01,257.33,93.67,0
639,168.03,251.07,171.93,0
640,176.74,250.67,309,0
641,208.64,255.8,309,0
642,175.06,250.4,308.33,0
643,184.25,250.73,308.93,0
644,192.55,250.93,310.33,0
645,188.74,249.47,308.87,0
646,203.29,251,310.07,0
647,177.35,249,307.87,0
648,181.62,251,310.2,0
649,189.02,249.2,311.87,0
650,188.09,247.47,340.13,0
651,190.68,249.4,354.2,0
652,186.17,250.33,352.93,0
653,191.01,242.4,352.93,0
654,188.82,244.47,352.87,0
655,205.33,249.4,351.07,0
656,185.11,250.8,350.6,0
657,181.63,250.2,351.07,0
658,215.92,248.53,351.2,0
659,193.15,251.47,351.27,0
660,210.1,249.2,330.73,0
661,212.44,245.53,318.73,0
662,191.07,248.07,319.6,0
663,181.39,247.2,320.53,0
664,185.37,243.47,317.73,0
665,167.04,239.87,368.07,0
666,175.49,238.53,374.8,0
667,167.35,239,374.27,0
668,158.74,235.27,374.53,0
669,153.38,235.8,372.73,0
670,157.47,233.47,371.6,0
671,150.38,230.4,370.47,0
672,155.72,228.47,369.2,0
673,135.89,223.6,367.07,0
674,146.74,229.87,368.6,0
675,132.82,222.8,365.73,0
676,133.92,241,365,0
677,123.94,263.87,363.67,0
678,131.97,263.2,359.8,0
679,126.46,262.8,360,0
680,120.99,263.8,363.8,0
681,134.14,264.53,362.87,0
682,134.51,260.13,359.87,0
683,123.66,260,359.13,0
684,129.16,260.4,360.73,0
685,118.73,259.8,359.27,0
686,122.21,261.2,359.53,0
687,116.59,258.87,357.87,0
688,138.83,259,357.93,0
689,164.54,258.07,348.2,0
690,144.75,273.67,194.8,0
691,126.53,270.4,193.93,0
692,127.63,269.2,192.6,0
693,131.7,270.2,193.6,0
694,136.7,266.33,194.87,0
695,141.39,247.8,193.47,0
696,144.5,250.93,194.13,0
697,163.83,254.27,174,0
698,139.21,255.13,139.2,0
699,161.46,253.93,130.73,0
700,157.63,253.33,132.8,0
701,205.86,254.6,121.33,0
702,234.17,254,17.47,0
703,242.27,244.93,3.4,0
704,261.55,254,3.33,0
705,269.32,258.47,3.53,0
706,288.11,257,3.33,0
707,286.24,255.8,3.6,0
708,280.76,253.27,3.53,0
709,285.15,256.27,3.67,0
710,310.97,255.13,3.47,0
711,321.93,261.07,3.53,0
712,320.01,263.87,3.4,0
713,307.28,259.27,3.4,0
714,304.1,256.93,3.6,0
715,289.28,257.27,3.53,0
716,279.65,253.27,3.73,0
717,267.98,254.33,3.67,0
718,266.31,249.8,3.33,0
719,250.08,253.2,3.4,0
720,275.26,254.07,3.2,0
721,250.29,249.67,3.47,0
722,242.24,250,3.53,0
723,214.83,251.8,3.67,0
724,225.97,248.2,3.73,0
725,229.57,251.07,3.67,0
726,214.35,251.87,3.27,0
727,209.09,241.87,128.67,0
728,238.21,243.6,141.67,0
729,219.21,244.13,140.47,0
730,217.04,242.33,139.53,0
731,208.47,243.27,136.67,0
732,202.52,251.2,136.87,0
733,195.85,249.73,136.87,0
734,206.83,249.2,137.07,0
735,189.05,249.47,137.47,0
736,205.13,247.87,147.8,0
737,203.79,243.6,335.27,0
738,192.52,248.4,323.47,0
739,204.03,251.67,323,0
740,196.01,249.4,333.73,0
741,203.88,251.33,342,0
742,194.77,252.27,340.07,0
743,188.78,251.53,346.2,0
744,175.14,251.33,346.8,0
745,187.29,254.53,347,0
746,191.48,249.8,346.6,0
747,199.06,251.87,346.2,0
748,194.59,252.2,346.53,0
749,192.07,250.53,345.73,0
750,193.43,250.07,346.6,0
751,173.23,252.6,345.67,0
752,179.52,248.27,371.8,0
753,189.87,247.73,380.33,0
754,188.93,253.07,380.87,0
755,185.77,247.47,378.87,0
756,184.8,243.27,378.53,0
757,178.89,245.87,376.73,0
758,190.76,244.8,375.53,0
759,192.34,244.4,332.73,0
760,180.6,245.27,317.87,0
761,185.57,242.27,319.87,0
762,178.92,242.27,319.87,0
763,174.4,240.53,335.8,0
764,142.47,238.2,372.6,0
765,146.19,235.93,372.6,0
766,171.96,234.73,370.33,0
767,176.71,231.33,368.07,0
768,153.68,243.2,366.47,0
769,145.83,257.47,365.4,0
770,143.88,255.67,362.6,0
771,127.29,258.13,361.07,0
772,127.01,254.6,361.07,0
773,125,253.47,362.2,0
774,125.1,255.07,364.53,0
775,133.01,254.8,364.73,0
776,127.27,249.73,358.93,0
777,120.75,248.2,357.87,0
778,118.14,250,358.27,0
779,116.78,248.67,356.67,0
780,135.09,248.47,354.2,0
781,120.05,248.53,354.73,0
782,125.43,247.73,355.53,0
783,128.42,259.33,194.47,0
784,122.68,256.67,194.13,0
785,126.5,258.27,193.2,0
786,109.07,256.13,193.13,0
787,108.05,250.33,192,0
788,115.31,248,194.33,0
789,121.64,246.93,192.2,0
790,123.56,250.8,193.47,0
