id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
418,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.81640625,0.46,0.48,0.47,0.47,0.47,0.49,0.49,0.47,0.48,0.47,0.48,0.47,0.47,0.46,0.47,0.48,0.48,0.46,0.46,0.47,0.50,0.46,0.47,0.48,0.47,11.83,0.47,false
419,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.818359375,0.49,0.50,0.49,0.50,0.51,0.51,0.52,0.49,0.51,0.51,0.50,0.50,0.50,0.50,0.51,0.52,0.49,0.49,0.48,0.49,0.52,0.48,0.51,0.52,0.49,12.53,0.50,false
420,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.8203125,0.43,0.46,0.47,0.46,0.46,0.47,0.44,0.45,0.47,0.46,0.47,0.45,0.46,0.44,0.45,0.45,0.47,0.45,0.47,0.48,0.45,0.47,0.45,0.45,0.45,11.43,0.46,false
421,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.822265625,0.48,0.50,0.50,0.49,0.49,0.51,0.49,0.50,0.51,0.49,0.51,0.47,0.49,0.48,0.48,0.50,0.50,0.48,0.47,0.50,0.49,0.49,0.48,0.49,0.48,12.27,0.49,false
422,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.82421875,0.54,0.54,0.55,0.56,0.56,0.54,0.54,0.55,0.54,0.57,0.54,0.56,0.55,0.56,0.57,0.55,0.53,0.55,0.54,0.56,0.54,0.54,0.56,0.55,0.56,13.75,0.55,false
423,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.826171875,0.52,0.52,0.50,0.53,0.53,0.53,0.53,0.52,0.51,0.52,0.51,0.53,0.52,0.53,0.54,0.52,0.51,0.52,0.51,0.53,0.53,0.52,0.52,0.53,0.53,13.06,0.52,false
424,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.828125,0.45,0.46,0.48,0.47,0.46,0.47,0.45,0.47,0.47,0.47,0.48,0.46,0.47,0.45,0.47,0.46,0.47,0.45,0.48,0.47,0.46,0.48,0.47,0.46,0.45,11.63,0.47,false
425,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.830078125,0.44,0.46,0.44,0.43,0.44,0.46,0.44,0.45,0.45,0.44,0.45,0.45,0.46,0.43,0.46,0.45,0.44,0.44,0.44,0.44,0.47,0.43,0.46,0.45,0.45,11.17,0.45,false
426,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.83203125,0.52,0.53,0.52,0.50,0.52,0.50,0.51,0.52,0.52,0.51,0.54,0.51,0.50,0.51,0.52,0.52,0.52,0.52,0.52,0.50,0.53,0.50,0.52,0.51,0.51,12.88,0.52,false
427,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.833984375,0.58,0.59,0.60,0.60,0.61,0.60,0.59,0.61,0.60,0.60,0.59,0.60,0.60,0.60,0.60,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.60,14.86,0.59,false
428,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.8359375,0.48,0.50,0.48,0.50,0.48,0.48,0.49,0.49,0.51,0.48,0.51,0.49,0.49,0.48,0.50,0.49,0.49,0.49,0.48,0.49,0.51,0.49,0.49,0.51,0.50,12.30,0.49,false
429,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.837890625,0.43,0.45,0.43,0.43,0.43,0.45,0.45,0.44,0.44,0.43,0.44,0.43,0.45,0.43,0.45,0.44,0.44,0.44,0.44,0.44,0.46,0.43,0.44,0.44,0.43,10.98,0.44,false
430,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.83984375,0.48,0.48,0.47,0.48,0.47,0.47,0.47,0.49,0.48,0.47,0.48,0.48,0.47,0.48,0.48,0.47,0.47,0.47,0.46,0.49,0.48,0.47,0.48,0.49,0.47,11.90,0.48,false
431,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.841796875,0.48,0.48,0.47,0.48,0.47,0.47,0.47,0.48,0.48,0.47,0.48,0.48,0.47,0.48,0.48,0.48,0.47,0.47,0.46,0.49,0.48,0.47,0.48,0.49,0.47,11.90,0.48,false
432,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.84375,0.49,0.50,0.51,0.51,0.50,0.50,0.50,0.50,0.51,0.49,0.50,0.51,0.52,0.50,0.51,0.51,0.51,0.50,0.52,0.52,0.52,0.51,0.52,0.49,0.49,12.64,0.51,false
