id,value_y_name,value_y,value_x_name,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
134,end_device_ids.device_id,0.6428571428571429,0,0.2685370741482966,0.42,0.42,0.43,0.42,0.41,0.41,0.42,0.41,0.42,0.42,0.41,0.43,0.42,0.41,0.42,0.42,0.40,0.43,0.41,0.42,0.42,0.40,0.41,0.41,0.40,10.39,0.42,false
135,end_device_ids.device_id,0.7142857142857143,0,0.27054108216432865,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.40,0.39,0.38,0.40,0.39,0.38,0.40,0.40,0.39,0.39,0.38,0.39,0.38,0.39,9.74,0.39,false
136,end_device_ids.device_id,0.7857142857142857,0,0.2725450901803607,0.39,0.40,0.42,0.41,0.41,0.40,0.41,0.40,0.41,0.40,0.40,0.41,0.41,0.40,0.41,0.40,0.40,0.43,0.40,0.41,0.40,0.41,0.40,0.41,0.40,10.14,0.41,false
137,end_device_ids.device_id,0.14285714285714285,0,0.2745490981963928,0.45,0.45,0.44,0.44,0.47,0.44,0.44,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.46,0.47,0.44,0.44,0.45,0.44,11.22,0.45,false
138,end_device_ids.device_id,0.21428571428571427,0,0.27655310621242485,0.47,0.47,0.46,0.46,0.46,0.47,0.46,0.47,0.46,0.45,0.45,0.46,0.47,0.47,0.47,0.46,0.47,0.44,0.47,0.46,0.47,0.45,0.46,0.46,0.46,11.55,0.46,false
139,end_device_ids.device_id,0.8571428571428571,0,0.2785571142284569,0.42,0.44,0.42,0.42,0.42,0.43,0.42,0.42,0.41,0.42,0.44,0.43,0.41,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.40,0.41,10.51,0.42,false
140,end_device_ids.device_id,0.9285714285714286,0,0.280561122244489,0.37,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.37,0.37,0.37,0.39,0.38,0.37,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.38,9.45,0.38,false
141,end_device_ids.device_id,1,0,0.28256513026052105,0.51,0.52,0.51,0.50,0.53,0.52,0.49,0.52,0.51,0.50,0.52,0.53,0.51,0.52,0.48,0.50,0.50,0.51,0.52,0.50,0.49,0.50,0.49,0.50,0.49,12.67,0.51,false
142,end_device_ids.device_id,0.42857142857142855,0,0.2845691382765531,0.48,0.49,0.47,0.48,0.49,0.47,0.47,0.47,0.50,0.49,0.50,0.47,0.48,0.48,0.49,0.47,0.46,0.47,0.48,0.47,0.49,0.48,0.49,0.47,0.46,11.97,0.48,false
143,end_device_ids.device_id,0,0,0.2865731462925852,0.49,0.48,0.48,0.50,0.49,0.49,0.48,0.49,0.51,0.49,0.48,0.49,0.49,0.49,0.48,0.47,0.47,0.48,0.49,0.48,0.48,0.47,0.50,0.48,0.49,12.14,0.49,false
144,end_device_ids.device_id,0.07142857142857142,0,0.28857715430861725,0.51,0.50,0.51,0.51,0.53,0.52,0.51,0.52,0.51,0.50,0.53,0.53,0.52,0.52,0.51,0.52,0.50,0.49,0.51,0.49,0.50,0.50,0.50,0.50,0.50,12.74,0.51,false
145,end_device_ids.device_id,0.14285714285714285,0,0.2905811623246493,0.49,0.49,0.47,0.47,0.48,0.47,0.48,0.49,0.49,0.48,0.46,0.48,0.48,0.48,0.46,0.48,0.48,0.46,0.47,0.49,0.45,0.47,0.48,0.47,0.49,11.91,0.48,false
146,end_device_ids.device_id,0.21428571428571427,0,0.2925851703406814,0.43,0.45,0.44,0.45,0.46,0.44,0.45,0.46,0.48,0.43,0.44,0.45,0.45,0.46,0.46,0.45,0.45,0.44,0.45,0.45,0.46,0.44,0.44,0.44,0.44,11.21,0.45,false
147,end_device_ids.device_id,0.2857142857142857,0,0.29458917835671344,0.39,0.39,0.40,0.39,0.39,0.40,0.38,0.39,0.39,0.40,0.38,0.40,0.40,0.38,0.39,0.38,0.39,0.39,0.40,0.40,0.39,0.38,0.39,0.38,0.39,9.76,0.39,false
148,end_device_ids.device_id,0.35714285714285715,0,0.2965931863727455,0.37,0.38,0.37,0.37,0.37,0.37,0.38,0.37,0.37,0.38,0.37,0.38,0.37,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.37,0.38,0.37,0.37,9.33,0.37,false
149,end_device_ids.device_id,0.42857142857142855,0,0.2985971943887776,0.49,0.49,0.47,0.50,0.49,0.49,0.47,0.49,0.50,0.49,0.46,0.49,0.49,0.49,0.48,0.47,0.47,0.48,0.48,0.48,0.49,0.48,0.49,0.47,0.48,12.08,0.48,false
150,end_device_ids.device_id,0.5,0,0.30060120240480964,0.38,0.38,0.39,0.39,0.38,0.40,0.38,0.39,0.40,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.40,0.39,0.40,0.38,0.39,0.40,0.38,0.38,9.69,0.39,false
151,end_device_ids.device_id,0.5714285714285714,0,0.3026052104208417,0.38,0.38,0.37,0.38,0.38,0.38,0.37,0.37,0.38,0.37,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.39,0.37,0.39,9.42,0.38,false
152,end_device_ids.device_id,0.6428571428571429,0,0.3046092184368738,0.41,0.42,0.42,0.41,0.41,0.42,0.41,0.40,0.41,0.41,0.40,0.41,0.41,0.40,0.42,0.40,0.40,0.42,0.41,0.40,0.40,0.39,0.41,0.40,0.40,10.19,0.41,false
153,end_device_ids.device_id,0.7142857142857143,0,0.3066132264529058,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.40,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.39,0.40,0.38,0.38,0.37,0.38,9.61,0.38,false
154,end_device_ids.device_id,0.7857142857142857,0,0.30861723446893785,0.37,0.37,0.37,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.39,0.37,0.36,0.38,0.37,0.38,0.38,0.38,0.37,0.37,0.37,9.32,0.37,false
