month_day_hour_min;n_px;n_p;truth
686;2.97;0.1;0
687;3.03;0.1;0
688;3.09;0.1;0
689;3.15;0.1;0
690;3.21;0.1;0
691;3.24;0.1;0
692;3.28;0.1;0
693;3.32;0.1;0
694;3.35;0.1;0
695;3.38;0.1;0
696;3.41;0.1;0
697;3.44;0.1;0
698;3.45;0.1;0
699;3.46;0.1;0
700;3.47;0.1;0
701;3.46;0.1;0
702;3.45;0.1;0
703;3.42;0.1;0
704;3.37;0.1;0
705;3.32;0.1;0
706;3.26;0.1;0
707;3.19;0.1;0
708;3.12;0.1;0
709;3.06;0.1;0
710;2.99;0.1;0
711;2.92;0.1;0
712;2.85;0.1;0
713;2.78;0.1;0
714;2.71;0.1;0
715;2.64;0.1;0
716;2.58;0.1;0
717;2.52;0.1;0
718;2.46;0.1;0
719;2.4;0.1;0
720;2.34;0.1;0
721;2.27;0.1;0
722;2.21;0.1;0
723;2.16;0.1;0
724;2.1;0.1;0
725;2.05;0.1;0
726;2;0.1;0
727;1.94;0.1;0
728;1.91;0.1;0
729;1.87;0.1;0
730;1.84;0.1;0
731;1.81;0.1;0
732;1.79;0.1;0
733;1.76;0.1;0
734;1.74;0.1;0
735;1.73;0.1;0
736;1.72;0.1;0
737;1.71;0.1;0
738;1.72;0.1;0
739;1.73;0.1;0
740;1.74;0.1;0
741;1.74;0.1;0
742;1.75;0.1;0
743;1.76;0.1;0
744;1.78;0.1;0
745;1.79;0.1;0
746;1.8;0.1;0
747;1.82;0.1;0
748;1.82;0.1;0
749;1.83;0.1;0
750;1.85;0.1;0
751;1.85;0.1;0
752;1.86;0.1;0
753;1.88;0.1;0
754;1.89;0.1;0
755;1.91;0.1;0
756;1.92;0.1;0
757;1.95;0.1;0
758;1.97;0.1;0
759;2;0.1;0
760;2.03;0.1;0
761;2.05;0.1;0
762;2.08;0.1;0
763;2.11;0.1;0
764;2.14;0.1;0
765;2.18;0.1;0
766;2.22;0.1;0
767;2.27;0.1;0
768;2.32;0.1;0
769;2.37;0.1;0
770;2.43;0.1;0
771;2.49;0.1;0
772;2.54;0.1;0
773;2.61;0.1;0
774;2.66;0.1;0
775;2.72;0.1;0
776;2.78;0.1;0
777;2.83;0.1;0
778;2.9;0.1;0
779;2.96;0.1;0
780;3.02;0.1;0
781;3.08;0.1;0
782;3.14;0.1;0
783;3.2;0.1;0
784;3.23;0.1;0
785;3.27;0.1;0
786;3.31;0.1;0
787;3.35;0.1;0
788;3.38;0.1;0
789;3.42;0.1;0
790;3.45;0.1;0
791;3.48;0.1;0
792;3.51;0.1;0
793;3.54;0.1;0
794;3.56;0.1;0
795;3.57;0.1;0
796;3.58;0.1;0
797;3.59;0.1;0
798;3.59;0.1;0
799;3.58;0.1;0
800;3.57;0.1;0
801;3.53;0.1;0
802;3.48;0.1;0
803;3.43;0.1;0
804;3.36;0.1;0
805;3.3;0.1;0
806;3.24;0.1;0
807;3.17;0.1;0
808;3.1;0.1;0
809;3.03;0.1;0
810;2.96;0.1;0
811;2.89;0.1;0
812;2.82;0.1;0
813;2.76;0.1;0
814;2.69;0.1;0
815;2.62;0.1;0
816;2.56;0.1;0
817;2.5;0.1;0
818;2.43;0.1;0
819;2.37;0.1;0
820;2.32;0.1;0
821;2.27;0.1;0
822;2.24;0.1;0
823;2.2;0.1;0
824;2.17;0.1;0
825;2.13;0.1;0
826;2.09;0.1;0
827;2.06;0.1;0
828;2.03;0.1;0
829;2.01;0.1;0
830;1.99;0.1;0
831;1.99;0.1;0
832;1.99;0.1;0
833;1.98;0.1;0
834;1.98;0.1;0
835;1.99;0.1;0
836;2;0.1;0
837;2;0.1;0
838;2.01;0.1;0
839;2.01;0.1;0
840;2.02;0.1;0
841;2.03;0.1;0
842;2.03;0.1;0
843;2.04;0.1;0
844;2.05;0.1;0
845;2.05;0.1;0
846;2.06;0.1;0
847;2.06;0.1;0
848;2.06;0.1;0
849;2.06;0.1;0
850;2.06;0.1;0
851;2.07;0.1;0
852;2.07;0.1;0
853;2.09;0.1;0
854;2.11;0.1;0
855;2.13;0.1;0
856;2.16;0.1;0
857;2.2;0.1;0
858;2.23;0.1;0
859;2.27;0.1;0
860;2.31;0.1;0
861;2.35;0.1;0
862;2.39;0.1;0
863;2.44;0.1;0
864;2.5;0.1;0
865;2.55;0.1;0
866;2.61;0.1;0
867;2.66;0.1;0
868;2.71;0.1;0
869;2.76;0.1;0
870;2.8;0.1;0
871;2.85;0.1;0
872;2.9;0.1;0
873;2.95;0.1;0
874;3;0.1;0
875;3.05;0.1;0
876;3.1;0.1;0
877;3.15;0.1;0
878;3.2;0.1;0
879;3.24;0.1;0
880;3.28;0.1;0
881;3.33;0.1;0
882;3.37;0.1;0
883;3.42;0.1;0
884;3.46;0.1;0
885;3.5;0.1;0
886;3.54;0.1;0
887;3.57;0.1;0
888;3.6;0.1;0
889;3.61;0.1;0
890;3.61;0.1;0
891;3.6;0.1;0
892;3.57;0.1;0
893;3.53;0.1;0
894;3.5;0.1;0
895;3.45;0.1;0
896;3.41;0.1;0
897;3.37;0.1;0
898;3.32;0.1;0
899;3.27;0.1;0
900;3.22;0.1;0
901;3.16;0.1;0
902;3.1;0.1;0
903;3.04;0.1;0
904;2.98;0.1;0
905;2.92;0.1;0
906;2.85;0.1;0
907;2.8;0.1;0
908;2.74;0.1;0
909;2.68;0.1;0
910;2.62;0.1;0
911;2.58;0.1;0
912;2.54;0.1;0
913;2.51;0.1;0
914;2.47;0.1;0
915;2.44;0.1;0
916;2.4;0.1;0
917;2.37;0.1;0
918;2.33;0.1;0
919;2.29;0.1;0
920;2.25;0.1;0
921;2.22;0.1;0
922;2.18;0.1;0
923;2.14;0.1;0
924;2.11;0.1;0
925;2.08;0.1;0
926;2.05;0.1;0
927;2.03;0.1;0
928;2.02;0.1;0
929;2;0.1;0
930;2;0.1;0
931;1.99;0.1;0
932;1.97;0.1;0
933;1.96;0.1;0
934;1.94;0.1;0
935;1.92;0.1;0
936;1.91;0.1;0
937;1.89;0.1;0
938;1.87;0.1;0
939;1.84;0.1;0
940;1.82;0.1;0
941;1.79;0.1;0
942;1.76;0.1;0
943;1.71;0.1;0
944;1.66;0.1;0
945;1.62;0.1;0
946;1.58;0.1;0
947;1.56;0.1;0
948;1.55;0.1;0
949;1.55;0.1;0
950;1.56;0.1;0
951;1.57;0.1;0
952;1.59;0.1;0
953;1.61;0.1;0
954;1.63;0.1;0
955;1.63;0.1;0
956;1.65;0.1;0
957;1.65;0.1;0
958;1.66;0.1;0
959;1.68;0.1;0
960;1.69;0.1;0
961;1.71;0.1;0
962;1.73;0.1;0
963;1.75;0.1;0
964;1.78;0.1;0
965;1.81;0.1;0
966;1.83;0.1;0
967;1.86;0.1;0
968;1.88;0.1;0
969;1.9;0.1;0
970;1.93;0.1;0
971;1.96;0.1;0
972;1.98;0.1;0
973;2;0.1;0
974;2.03;0.1;0
975;2.04;0.1;0
976;2.07;0.1;0
977;2.08;0.1;0
978;2.09;0.1;0
979;2.11;0.1;0
980;2.13;0.1;0
981;2.15;0.1;0
982;2.16;0.1;0
983;2.17;0.1;0
984;2.17;0.1;0
985;2.16;0.1;0
986;2.13;0.1;0
987;2.11;0.1;0
988;2.08;0.1;0
989;2.05;0.1;0
990;2.01;0.1;0
991;1.98;0.1;0
992;1.94;0.1;0
993;1.91;0.1;0
994;1.87;0.1;0
995;1.84;0.1;0
996;1.8;0.1;0
997;1.75;0.1;0
998;1.7;0.1;0
999;1.66;0.1;0
