id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
43,0.4666666666666667,0.011971046770601337,0.51,0.49,0.50,0.50,0.49,0.51,0.49,0.51,0.49,0.51,0.52,0.51,0.50,0.50,0.50,0.50,0.50,0.49,0.50,0.51,0.50,0.51,0.51,0.49,0.51,12.55,0.50,false
44,0.5333333333333333,0.012249443207126948,0.43,0.43,0.42,0.44,0.43,0.43,0.44,0.43,0.42,0.44,0.44,0.45,0.44,0.43,0.44,0.42,0.45,0.44,0.45,0.43,0.44,0.44,0.44,0.43,0.43,10.88,0.44,false
45,0.9333333333333333,0.01252783964365256,0.49,0.49,0.50,0.50,0.49,0.49,0.50,0.48,0.48,0.48,0.49,0.48,0.51,0.49,0.52,0.49,0.48,0.49,0.48,0.50,0.50,0.48,0.49,0.49,0.50,12.29,0.49,false
46,0.6666666666666666,0.012806236080178173,0.45,0.44,0.45,0.46,0.45,0.45,0.45,0.44,0.45,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.44,0.43,0.44,0.44,0.44,0.46,0.44,0.45,0.44,11.12,0.44,false
47,0.7333333333333333,0.013084632516703786,0.46,0.44,0.46,0.44,0.44,0.44,0.46,0.44,0.44,0.44,0.46,0.45,0.45,0.46,0.45,0.44,0.44,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.46,11.22,0.45,false
48,0.13333333333333333,0.013363028953229399,0.48,0.46,0.46,0.46,0.46,0.45,0.47,0.46,0.46,0.47,0.45,0.45,0.47,0.46,0.48,0.46,0.46,0.45,0.46,0.46,0.47,0.46,0.48,0.46,0.46,11.56,0.46,false
49,0.2,0.013641425389755012,0.47,0.44,0.45,0.44,0.46,0.45,0.45,0.46,0.45,0.46,0.44,0.45,0.45,0.46,0.47,0.45,0.45,0.44,0.45,0.46,0.45,0.44,0.46,0.45,0.46,11.31,0.45,false
50,0.8,0.013919821826280624,0.44,0.44,0.45,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.42,0.43,0.43,0.42,0.43,0.44,0.43,0.43,0.44,0.43,0.43,0.42,10.81,0.43,false
51,0.8666666666666667,0.014198218262806235,0.44,0.44,0.46,0.43,0.44,0.45,0.45,0.44,0.44,0.44,0.45,0.45,0.44,0.44,0.44,0.45,0.43,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.43,11.07,0.44,false
52,0.9333333333333333,0.014476614699331848,0.47,0.47,0.50,0.49,0.47,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.49,0.46,0.47,0.47,0.48,0.47,0.47,0.48,0.46,0.50,0.48,11.95,0.48,false
53,0.4,0.01475501113585746,0.46,0.45,0.46,0.46,0.45,0.46,0.46,0.46,0.44,0.46,0.46,0.47,0.45,0.45,0.47,0.46,0.45,0.45,0.46,0.45,0.45,0.45,0.47,0.46,0.46,11.42,0.46,false
54,0,0.015033407572383074,0.49,0.46,0.48,0.47,0.45,0.47,0.48,0.47,0.45,0.48,0.46,0.47,0.46,0.47,0.47,0.47,0.46,0.47,0.46,0.46,0.48,0.47,0.45,0.47,0.45,11.67,0.47,false
55,0.06666666666666667,0.015311804008908686,0.48,0.48,0.48,0.48,0.48,0.47,0.50,0.48,0.45,0.46,0.47,0.47,0.48,0.47,0.49,0.47,0.46,0.47,0.50,0.46,0.49,0.48,0.46,0.47,0.48,11.88,0.48,false
56,0.13333333333333333,0.015590200445434299,0.48,0.48,0.48,0.47,0.48,0.46,0.48,0.48,0.48,0.48,0.47,0.48,0.49,0.48,0.52,0.49,0.46,0.48,0.47,0.48,0.49,0.48,0.50,0.49,0.48,12.03,0.48,false
57,0.2,0.01586859688195991,0.47,0.47,0.46,0.46,0.44,0.45,0.48,0.46,0.47,0.46,0.46,0.46,0.47,0.46,0.48,0.45,0.46,0.46,0.47,0.46,0.47,0.46,0.47,0.47,0.47,11.59,0.46,false
58,0.26666666666666666,0.016146993318485525,0.43,0.42,0.43,0.43,0.43,0.43,0.43,0.44,0.42,0.43,0.44,0.44,0.43,0.42,0.43,0.43,0.43,0.43,0.43,0.42,0.44,0.45,0.44,0.43,0.42,10.77,0.43,false
59,0.3333333333333333,0.016425389755011136,0.44,0.42,0.43,0.43,0.43,0.44,0.45,0.45,0.42,0.43,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.44,0.43,0.45,0.45,0.44,0.44,0.43,0.44,10.92,0.44,false
