end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,received_at
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T15:42:33.384718920Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T15:42:38.794280944Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T15:44:21.944556424Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T15:45:35.599731346Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T15:46:13.542742906Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T15:47:16.927424318Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T15:47:50.669255022Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T15:48:15.752609781Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T15:50:47.189880188Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T15:50:51.365217138Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T15:52:33.757612576Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T15:52:39.180052195Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T15:53:47.722835325Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T15:53:49.431538626Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T15:53:54.594416858Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T15:56:13.913968925Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T15:58:25.959012738Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T16:00:29.825869043Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T16:02:34.159627625Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T16:02:39.565191493Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T16:04:21.866643778Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T16:05:35.539037811Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T16:06:14.294904602Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T16:07:16.866733620Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T16:07:50.603170440Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T16:08:15.767532418Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T16:10:46.791942191Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T16:12:34.525130419Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T16:12:39.940539220Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T16:13:47.659693102Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T16:13:49.072535723Z'
'ua-gardens-s008','ua-bim','A84041F57189B7BE','A840410000000101','260BD6C1','2024-10-11T16:13:54.527011715Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T16:16:14.673972956Z'
'ua-gardens-s005','ua-bim','A84041797189B7C6','A840410000000101','260B8B98','2024-10-11T16:18:25.898566527Z'
'ua-gardens-s011','ua-bim','A840412CE189B7DB','A840410000000101','260B1D13','2024-10-11T16:20:29.762764234Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T16:22:34.911743765Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T16:22:40.331815749Z'
'ua-gardens-s006','ua-bim','A84041623189B7C0','A840410000000101','260B6B32','2024-10-11T16:24:21.800921728Z'
'ua-gardens-s004','ua-bim','A84041A71189B7BB','A840410000000101','260B3D02','2024-10-11T16:25:35.483588997Z'
'ua-pipepressure-s002','ua-bim','24E124126E268846','24E124C0002A0001','260BF8F0','2024-10-11T16:26:15.048480759Z'
'ua-gardens-s009','ua-bim','A84041674189B7E3','A840410000000101','260BE73F','2024-10-11T16:27:16.745670421Z'
'ua-gardens-s003','ua-bim','A840413E1189B7D8','A840410000000101','260B9A2E','2024-10-11T16:27:50.533615592Z'
'ua-gardens-s012','ua-bim','A8404151E189B7CC','A840410000000101','260BF8DC','2024-10-11T16:28:15.733018739Z'
'ua-gardens-s002','ua-bim','A840414AC189B7C1','A840410000000101','260BCE03','2024-10-11T16:30:47.007975277Z'
'ua-gardens-s010','ua-bim','A84041159189B7BA','A840410000000101','260B8361','2024-10-11T16:30:51.453783390Z'
'ua-pipepressure-s003','ua-bim','24E124126E268501','24E124C0002A0001','260BC841','2024-10-11T16:32:35.281768767Z'
'ua-pipepressure-s001','ua-bim','24E124126E269467','24E124C0002A0001','260BFC50','2024-10-11T16:32:40.700238166Z'
'ua-gardens-s001','ua-bim','A84041277189B7DE','A840410000000101','260BA056','2024-10-11T16:33:47.595496600Z'
'ua-gardens-s007','ua-bim','A840416AB189B7E2','A840410000000101','260B3005','2024-10-11T16:33:49.272461339Z'
