month_day_hour_min,i_f,p_f
620,254.6,30.2
621,248.93,30.64
622,254.87,30.13
623,252.8,30.34
624,250.93,30.46
625,244.53,30.95
626,246.33,30.83
627,243.07,31.07
628,251.13,30.89
629,255.6,31.01
630,255.07,31.05
631,258.33,30.77
632,256.93,30.87
633,259.07,30.72
634,257.6,30.82
635,255.4,30.97
636,254.07,31.1
637,256.8,30.87
638,257.33,30.86
639,251.07,31.29
640,250.67,31.35
641,255.8,30.97
642,250.4,31.4
643,250.73,31.36
644,250.93,31.37
645,249.47,31.48
646,251,31.39
647,249,31.52
648,251,31.39
649,249.2,31.49
650,247.47,31.65
651,249.4,31.48
652,250.33,31.41
653,242.4,31.67
654,244.47,31.44
655,249.4,31.45
656,250.8,31.37
657,250.2,31.38
658,248.53,31.53
659,251.47,31.33
660,249.2,31.49
661,245.53,31.8
662,248.07,31.58
663,247.2,31.66
664,243.47,31.95
665,239.87,32.24
666,238.53,32.34
667,239,32.32
668,235.27,32.59
669,235.8,32.6
670,233.47,32.78
671,230.4,33
672,228.47,33.16
673,223.6,33.53
674,229.87,33.15
675,222.8,33.61
676,241,33.92
677,263.87,34.19
678,263.2,34.23
679,262.8,34.31
680,263.8,34.23
681,264.53,34.17
682,260.13,34.51
683,260,34.5
684,260.4,34.48
685,259.8,34.5
686,261.2,34.39
687,258.87,34.56
688,259,34.58
689,258.07,34.6
690,273.67,33.37
691,270.4,33.57
692,269.2,33.69
693,270.2,33.6
694,266.33,33.55
695,247.8,33.65
696,250.93,33.39
697,254.27,33.12
698,255.13,33.08
699,253.93,33.15
700,253.33,33.21
701,254.6,33.08
702,254,32.32
703,244.93,32.04
704,254,31.35
705,258.47,31.04
706,257,30.31
707,255.8,30.33
708,253.27,30.53
709,256.27,30.29
710,255.13,30.36
711,261.07,29.91
712,263.87,29.69
713,259.27,30.05
714,256.93,30.19
715,257.27,30.18
716,253.27,30.5
717,254.33,30.22
718,249.8,30.3
719,253.2,30.03
720,254.07,29.94
721,249.67,30.31
722,250,30.27
723,251.8,30.14
724,248.2,30.44
725,251.07,30.17
726,251.87,30.1
727,241.87,30.89
728,243.6,30.8
729,244.13,30.77
730,242.33,30.88
731,243.27,31
732,251.2,31.13
733,249.73,31.27
734,249.2,31.32
735,249.47,31.27
736,247.87,31.39
737,243.6,31.71
738,248.4,31.38
739,251.67,31.4
740,249.4,31.63
741,251.33,31.48
742,252.27,31.42
743,251.53,31.52
744,251.33,31.53
745,254.53,31.29
746,249.8,31.62
747,251.87,31.45
748,252.2,31.45
749,250.53,31.55
750,250.07,31.59
751,252.6,31.43
752,248.27,31.73
753,247.73,31.79
754,253.07,31.39
755,247.47,31.83
756,243.27,32.13
757,245.87,31.97
758,244.8,32.1
759,244.4,32.07
760,245.27,32.03
761,242.27,32.24
762,242.27,32.24
763,240.53,32.4
764,238.2,32.61
765,235.93,32.73
766,234.73,32.88
767,231.33,33.14
768,243.2,33.31
769,257.47,33.82
770,255.67,33.94
771,258.13,33.79
772,254.6,34.03
773,253.47,34.15
774,255.07,34.03
775,254.8,34.02
776,249.73,34.41
777,248.2,34.54
778,250,34.4
779,248.67,34.56
780,248.47,34.52
781,248.53,34.54
782,247.73,34.59
783,259.33,33.65
784,256.67,33.84
785,258.27,33.69
786,256.13,33.88
787,250.33,33.76
788,248,33.67
789,246.93,33.77
790,250.8,33.45
791,247.2,33.44
792,246.8,33.38
793,253.07,33.29
794,251.6,33.36
795,250.07,33.52
796,252.47,33.31
797,252.6,33.33
798,253.53,33.21
799,255.53,33.05
800,255.47,32.54
801,247.93,31.99
802,252.87,31.46
803,258.4,31.07
804,262.2,30.78
805,263.93,30.65
806,264.93,30.5
807,264.47,30.52
808,266.73,30.37
809,267.47,30.29
810,260.13,30.5
811,258.07,30.15
812,258.2,30.14
813,260,30.05
814,262.6,29.68
815,241.53,30.48
816,245.2,30.28
817,248.93,30.06
818,248.53,30.08
819,259.13,30.71
820,259.4,30.91
821,256.73,31.21
822,259.8,31.39
823,268.27,31.16
824,272.27,30.85
825,269.87,31.03
826,266.93,31.28
827,266.67,31.28
828,266.2,31.32
829,262.4,31.62
830,266.67,31.76
831,273.6,31.59
832,272.2,31.69
833,274.93,31.49
834,270.93,31.78
835,270.73,31.78
836,264.73,31.78
837,262.2,31.73
838,256.27,31.52
839,254.87,31.65
840,255.33,31.65
841,257.13,31.5
842,254.8,31.69
843,252.47,31.86
844,256.73,31.54
845,255,31.39
846,248.13,31.78
847,254.73,31.63
848,256.2,31.56
849,254,31.78
850,254.6,31.7
851,254.8,31.67
852,254.87,31.71
853,249.53,32.1
854,253,31.89
855,246.93,32.33
856,246.13,32.39
857,245.07,32.54
858,244.8,32.54
859,266.53,32.46
860,259.73,33.18
861,264.53,32.82
862,255.6,33.5
863,253,33.67
864,255.87,33.51
865,257.8,33.35
866,254.13,33.59
867,245.87,34.31
868,255.2,33.52
869,251.4,33.87
870,250.07,33.97
871,250.47,33.93
872,255.33,33.54
873,256.73,33.49
874,252.47,33.77
875,251.73,33.86
876,254.53,33.68
877,250.8,33.94
878,251.67,33.9
879,252.2,33.88
880,251.53,33.9
881,252.4,33.85
882,249.53,34.06
883,249.33,34.06
884,248.4,34.14
885,248.27,34.18
886,256.67,33.51
887,254.53,33.55
888,266.27,33.37
889,277.2,33.22
890,285.4,32.6
891,285.73,32.52
892,277.53,32.22
893,275.73,32.33
894,276.2,32.27
895,275.8,32.21
896,266.07,32.14
897,270.6,31.78
898,272.73,31.63
899,268.27,31.52
900,266.93,31.14
901,272.73,30.71
902,268.6,30.97
903,271.8,30.73
904,270.67,30.8
905,268.47,30.93
906,273,30.65
907,268,30.82
908,260,30.7
909,261.73,30.56
910,256,31
911,249.4,31.53
912,249.33,31.52
913,252.53,31.26
914,250.6,31.44
915,252,31.28
916,255.33,31.06
917,253.13,31.04
918,250.13,30.99
919,248.87,31.1
920,231.47,31.07
921,212.4,31.04
922,215.6,30.85
923,212.13,31.11
924,212.13,31.14
925,211.47,31.2
926,206.87,31.54
927,210.07,31.37
928,229.53,31.46
929,229.93,31.53
930,236.67,31.46
931,266.4,31.77
932,271.47,31.37
933,270.4,31.45
934,273.47,31.18
935,271.13,31.35
936,270.93,31.33
937,271.47,31.3
938,270.93,31.3
939,274.47,31.01
940,274.2,31.02
941,271.8,31.07
942,254.87,29.82
943,253.47,29.99
944,252.2,30.07
945,246.87,30.48
946,243.47,30.78
947,238.27,31.17
948,235.27,31.43
949,236.4,31.3
950,237.27,31.27
951,232.33,31.63
952,232.2,31.65
953,236.53,31.39
954,237.33,31.33
955,238.27,31.27
956,238.2,31.27
957,240.4,31.14
958,236.67,31.43
959,236.87,31.46
960,235.07,31.57
961,233.33,31.75
962,257.33,31.74
963,281.07,32.1
964,281.67,31.97
965,281.73,31.9
966,283.87,31.74
967,280.47,31.97
968,279.33,32.04
969,279.27,32.01
970,277.13,32.15
971,261.93,32.06
972,245.2,31.94
973,245.87,31.87
974,246.13,31.85
975,245.13,31.9
976,248.13,31.71
977,247.07,31.79
978,246.13,31.86
979,238.87,32.36
980,243.93,32.03
981,247.93,31.74
982,247.27,31.79
983,248.27,31.53
984,247.27,31.68
985,250.8,31.48
986,254,31.27
987,254.93,31.21
988,258.47,30.95
989,259.47,30.84
990,258.8,30.88
991,261.27,30.74
992,258.07,30.97
993,261.6,30.67
994,262.2,30.67
995,269.07,30.12
996,269,30.13
997,267.33,30.21
998,269.87,30.05
999,268.93,30.05
