month_day_hour_min,i_f,p_f,truth
832,272.2,31.69,0
833,274.93,31.49,0
834,270.93,31.78,0
835,270.73,31.78,0
836,264.73,31.78,0
837,262.2,31.73,0
838,256.27,31.52,0
839,254.87,31.65,0
840,255.33,31.65,0
841,257.13,31.5,0
842,254.8,31.69,0
843,252.47,31.86,0
844,256.73,31.54,0
845,255,31.39,0
846,248.13,31.78,0
847,254.73,31.63,0
848,256.2,31.56,0
849,254,31.78,0
850,254.6,31.7,0
851,254.8,31.67,0
852,254.87,31.71,0
853,249.53,32.1,0
854,253,31.89,0
855,246.93,32.33,0
856,246.13,32.39,0
857,245.07,32.54,0
858,244.8,32.54,0
859,266.53,32.46,0
860,259.73,33.18,0
861,264.53,32.82,0
862,255.6,33.5,0
863,253,33.67,0
864,255.87,33.51,0
865,257.8,33.35,0
866,254.13,33.59,0
867,245.87,34.31,0
868,255.2,33.52,0
869,251.4,33.87,0
870,250.07,33.97,0
871,250.47,33.93,0
872,255.33,33.54,0
873,256.73,33.49,0
874,252.47,33.77,0
875,251.73,33.86,0
876,254.53,33.68,0
877,250.8,33.94,0
878,251.67,33.9,0
879,252.2,33.88,0
880,251.53,33.9,0
881,252.4,33.85,0
882,249.53,34.06,0
883,249.33,34.06,0
884,248.4,34.14,0
885,248.27,34.18,0
886,256.67,33.51,0
887,254.53,33.55,0
888,266.27,33.37,0
889,277.2,33.22,0
890,285.4,32.6,0
891,285.73,32.52,0
892,277.53,32.22,0
893,275.73,32.33,0
894,276.2,32.27,0
895,275.8,32.21,0
896,266.07,32.14,0
897,270.6,31.78,0
898,272.73,31.63,0
899,268.27,31.52,0
900,266.93,31.14,0
901,272.73,30.71,0
902,268.6,30.97,0
903,271.8,30.73,0
904,270.67,30.8,0
905,268.47,30.93,0
906,273,30.65,0
907,268,30.82,0
908,260,30.7,0
909,261.73,30.56,0
910,256,31,0
911,249.4,31.53,0
912,249.33,31.52,0
913,252.53,31.26,0
914,250.6,31.44,0
915,252,31.28,0
916,255.33,31.06,0
917,253.13,31.04,0
918,250.13,30.99,0
919,248.87,31.1,0
920,231.47,31.07,0
921,212.4,31.04,0
922,215.6,30.85,0
923,212.13,31.11,0
924,212.13,31.14,0
925,211.47,31.2,0
926,206.87,31.54,0
927,210.07,31.37,0
928,229.53,31.46,0
929,229.93,31.53,0
930,236.67,31.46,0
931,266.4,31.77,0
932,271.47,31.37,0
933,270.4,31.45,0
934,273.47,31.18,0
935,271.13,31.35,0
936,270.93,31.33,0
937,271.47,31.3,0
938,270.93,31.3,0
939,274.47,31.01,0
940,274.2,31.02,0
941,271.8,31.07,0
942,254.87,29.82,0
943,253.47,29.99,0
944,252.2,30.07,0
945,246.87,30.48,0
946,243.47,30.78,0
947,238.27,31.17,0
948,235.27,31.43,0
949,236.4,31.3,0
950,237.27,31.27,0
951,232.33,31.63,0
952,232.2,31.65,0
953,236.53,31.39,0
954,237.33,31.33,0
955,238.27,31.27,0
956,238.2,31.27,0
957,240.4,31.14,0
958,236.67,31.43,0
959,236.87,31.46,0
960,235.07,31.57,0
961,233.33,31.75,0
962,257.33,31.74,0
963,281.07,32.1,0
964,281.67,31.97,0
965,281.73,31.9,0
966,283.87,31.74,0
967,280.47,31.97,0
968,279.33,32.04,0
969,279.27,32.01,0
970,277.13,32.15,0
971,261.93,32.06,0
972,245.2,31.94,0
973,245.87,31.87,0
974,246.13,31.85,0
975,245.13,31.9,0
976,248.13,31.71,0
977,247.07,31.79,0
978,246.13,31.86,0
979,238.87,32.36,0
980,243.93,32.03,0
981,247.93,31.74,0
982,247.27,31.79,0
983,248.27,31.53,0
984,247.27,31.68,0
985,250.8,31.48,0
986,254,31.27,0
987,254.93,31.21,0
988,258.47,30.95,0
989,259.47,30.84,0
990,258.8,30.88,0
991,261.27,30.74,0
992,258.07,30.97,0
993,261.6,30.67,0
994,262.2,30.67,0
995,269.07,30.12,0
996,269,30.13,0
997,267.33,30.21,0
998,269.87,30.05,0
999,268.93,30.05,0
