id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
60,0.25,0.12024048096192384,0.47,0.49,0.48,0.47,0.48,0.48,0.49,0.48,0.47,0.50,0.48,0.49,0.49,0.48,0.47,0.48,0.49,0.47,0.49,0.47,0.47,0.47,0.50,0.46,0.47,11.99,0.48,false
61,0.75,0.12224448897795591,0.48,0.49,0.50,0.47,0.49,0.49,0.49,0.50,0.50,0.50,0.49,0.49,0.48,0.49,0.47,0.48,0.49,0.48,0.50,0.48,0.48,0.48,0.49,0.48,0.48,12.17,0.49,false
62,0,0.12424849699398798,0.39,0.39,0.39,0.41,0.40,0.40,0.40,0.39,0.39,0.41,0.39,0.40,0.38,0.41,0.40,0.40,0.40,0.40,0.40,0.38,0.40,0.40,0.39,0.39,0.38,9.89,0.40,false
63,0.5,0.12625250501002003,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.37,0.37,0.37,0.38,0.37,0.37,0.38,0.37,0.37,0.38,0.39,0.37,0.37,0.37,0.37,0.37,0.38,0.36,9.32,0.37,false
64,0,0.1282565130260521,0.40,0.38,0.39,0.40,0.40,0.40,0.39,0.40,0.38,0.39,0.39,0.40,0.38,0.41,0.38,0.39,0.40,0.39,0.39,0.39,0.40,0.40,0.38,0.39,0.38,9.80,0.39,false
65,0.5,0.13026052104208416,0.38,0.37,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.37,0.38,0.38,0.39,0.37,0.37,0.37,0.38,0.38,0.38,0.37,9.38,0.38,false
66,0,0.13226452905811623,0.45,0.45,0.47,0.46,0.48,0.45,0.47,0.44,0.46,0.48,0.45,0.47,0.46,0.47,0.46,0.45,0.46,0.46,0.46,0.44,0.46,0.46,0.45,0.45,0.47,11.48,0.46,false
67,0.5,0.1342685370741483,0.46,0.47,0.47,0.47,0.50,0.49,0.48,0.48,0.48,0.50,0.48,0.47,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.48,0.48,0.48,0.48,0.48,11.95,0.48,false
68,0.5,0.13627254509018036,0.42,0.42,0.42,0.41,0.43,0.42,0.43,0.43,0.43,0.42,0.42,0.43,0.43,0.43,0.44,0.42,0.43,0.42,0.43,0.41,0.43,0.42,0.42,0.42,0.42,10.60,0.42,false
69,0.5,0.13827655310621242,0.38,0.39,0.39,0.39,0.40,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.40,0.39,0.38,0.40,0.40,0.38,0.38,0.40,0.39,0.39,0.39,0.38,9.72,0.39,false
70,0.5,0.1402805611222445,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.43,0.43,0.42,0.43,0.43,0.43,0.41,0.43,0.43,0.44,0.42,0.41,0.42,0.42,0.42,0.42,0.41,10.56,0.42,false
