month,day,hour,min,p_uiip,p_f,p_pu
2,10,11,0,20.71,29.05,46.01
2,10,12,30,21.43,31.44,50.56
2,10,14,30,20.95,31.52,50.82
2,10,16,30,21.09,32.01,51.86
2,10,17,0,21.23,31.65,51.75
2,10,17,30,21.02,31.85,51.85
2,10,18,45,21.94,31.49,50.73
2,10,19,0,21.61,31.49,50.69
2,10,19,30,21.41,31.8,50.74
2,10,20,0,21.01,31.76,51.68
2,10,20,30,21.89,31.71,51.12
2,10,21,0,21.45,31.93,51.73
2,10,21,15,21.12,32.14,51.82
2,10,21,45,21.4,32.14,52.17
2,10,22,0,21.16,32.24,52.33
2,10,23,0,22.83,32.8,52.8
2,10,23,30,24.66,33.35,52.41
2,11,0,30,21.69,33,51.78
2,11,1,30,21.61,33.34,51.95
2,11,1,45,21.73,33.29,51.88
2,11,2,45,21.62,32.95,51.84
2,11,4,15,21.56,33.36,52.46
2,11,4,45,21.77,33.43,52.54
2,11,5,15,21.59,33.2,52.48
2,11,5,45,19.96,32.82,52.03
2,11,9,0,19.03,29.63,47.06
2,11,9,15,19,29.68,47.52
2,11,11,15,20.54,31.95,51.67
2,11,12,15,19.56,31.82,51.82
2,11,13,30,19.71,31.89,51.8
2,11,14,30,20.06,31.86,51.82
2,11,15,30,20.65,31.98,51.89
2,11,19,30,21.9,31.55,51.66
2,11,21,0,21.65,31.67,51.56
2,11,21,15,21.73,32.07,52.17
2,11,21,45,20.48,31.8,51.82
2,12,0,30,22.74,33.27,52.53
2,12,1,30,22.73,33.96,53.12
2,12,2,15,23.71,34.22,53.86
2,12,4,15,26.36,33.73,52.76
2,12,5,0,26.78,34.03,53.03
2,12,7,0,20.48,32.86,51.12
2,12,8,0,17.77,30.44,47.62
2,12,8,15,17.15,30.09,47.55
2,12,9,45,18.14,29.19,46.67
2,12,10,0,18.51,29.18,46.87
2,12,10,45,19.73,31.86,51.53
2,12,12,45,20.14,32.16,52.16
2,12,15,0,17.65,32.44,52.48
2,12,18,15,20.71,30.63,47.77
2,12,18,30,20.82,30.65,48.04
2,12,20,0,20.76,31.56,50.73
2,12,21,30,21.75,32.51,52.14
2,12,22,0,21.46,32.56,52.48
2,12,22,15,21.78,32.8,52.65
2,12,23,30,23.71,33.47,53.22
2,12,23,45,23.76,33.59,53.32
2,13,0,15,25.8,33.48,52.18
2,13,1,45,25.76,33.68,52.89
2,13,2,0,25.8,33.67,52.91
2,13,5,0,25.75,34.13,52.78
2,13,5,15,25.8,33.96,52.78
