month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
512,94.27,24.84,50.66,0
513,86.87,26.89,50.29,0
514,47.73,26.06,49.41,0
515,3.53,26.13,49,0
516,3.4,25.24,48.99,0
517,3.27,24.97,48.52,0
518,3.67,25.34,48.06,0
519,3.33,26.31,47.44,0
520,3.53,26.13,47.41,0
521,3.6,23.96,47.28,0
522,3.8,26.11,47.38,0
523,3.33,24.66,47.33,0
524,3.33,24.71,47.37,0
525,29.87,25.85,48.05,0
526,114.13,25.44,48.63,0
527,106.2,26.17,48.75,0
528,107.07,25.13,48.67,0
529,117.2,25.11,49.03,0
530,137.47,26.01,49.44,0
531,143.33,25.78,49.31,0
532,143.53,25.15,49.44,0
533,140.53,25.35,49.69,0
534,134,25.15,49.65,0
535,106,25.9,49.52,0
536,98.73,26,49.54,0
537,101.8,25.78,49.46,0
538,98.73,25.78,49.55,0
539,101.87,25.11,49.46,0
540,99.53,24.73,49.41,0
541,99.8,24.87,49.52,0
542,100.87,26.03,49.46,0
543,101.53,24.51,49.24,0
544,98.4,24.95,49.7,0
545,101.27,26.16,49.51,0
546,101.53,25.98,49.63,0
547,104.27,25.19,49.39,0
548,132.47,25.7,49.8,0
549,262,24.74,50.83,0
550,295.33,25.09,50.33,0
551,287.13,26.55,50.56,0
552,284.8,25.28,50.54,0
553,285.93,25.44,50.54,0
554,286,25.74,50.61,0
555,285.6,25.31,50.58,0
556,282.73,25.28,50.63,0
557,286.93,25.22,50.7,0
558,303.2,24.85,50.73,0
559,304.13,26.34,50.88,0
560,303.67,25.54,50.8,0
561,306.2,25.13,50.65,0
562,323.67,26.33,50.74,0
563,330.73,25.23,51.29,0
564,357,6.56,51.75,0
565,356.8,0.28,51.9,0
566,356.33,0.07,51.99,0
567,355.53,0,51.95,0
568,358.2,0,52.41,0
569,377.13,0,52.65,0
570,376.13,0,52.65,0
571,374.27,0,52.75,0
572,372.93,0,52.88,0
573,372.73,0,52.9,0
574,371.67,0,53.16,0
575,370.6,0,53.13,0
576,370.27,0,53.2,0
577,370.6,0,53.22,0
578,366.8,0,53.44,0
579,365.93,0,53.41,0
580,365.8,0,53.32,0
581,367.2,0,53.27,0
582,365.8,0,53.33,0
583,362.67,0,53.67,0
584,366.2,0,53.26,0
585,367.2,0,53.15,0
586,364.07,0,53.52,0
587,363.67,0,53.59,0
588,362.93,0,53.61,0
589,361.6,0,53.66,0
590,361.93,0,53.69,0
591,361.47,0,53.76,0
592,362.6,0,53.7,0
593,361.2,0,53.98,0
594,195.47,0,51.61,0
595,126.4,0,51.47,0
596,128.13,0,50.98,0
597,126.87,0,51.25,0
598,127,0,51.34,0
599,127.53,0,51.22,0
600,127.8,0,51.16,0
601,97.2,0,51.01,0
602,86.93,18.73,50.71,0
603,86.33,25.22,50.88,0
604,89.87,26.75,50.62,0
605,56.73,25.37,50.01,0
606,2.93,24.97,49.44,0
607,3.2,27.01,49.16,0
608,3.33,25.18,49.17,0
609,3.4,27.03,48.99,0
610,3.87,24.95,48.51,0
611,3.8,25.95,48.68,0
612,3.33,25.2,48.33,0
613,3.33,25.82,48.32,0
614,3.67,25.69,48.01,0
615,3.6,25.12,48.29,0
616,3.73,25.69,47.84,0
617,3.6,26.44,47.93,0
618,3.4,25.72,48.22,0
619,3.8,25.46,48.22,0
620,4.2,24.63,48.14,0
621,3.47,24.86,48.22,0
622,3.6,25.79,47.78,0
623,4,24.6,47.97,0
624,3.67,26.39,48.22,0
625,75.4,25.02,48.96,0
626,124.73,25.64,48.82,0
627,114.47,25.35,49.12,0
628,107.87,24.47,48.9,0
629,96.53,26.04,48.8,0
630,93.73,25.07,48.95,0
631,96.6,25.1,48.69,0
632,96.87,24.78,48.82,0
633,95.47,26.5,48.74,0
634,95.13,25.99,48.8,0
635,95.6,25.96,48.86,0
636,92.27,25.15,49.11,0
637,93.93,25.96,48.96,0
638,93.67,25.1,48.96,0
639,171.93,25.84,49.99,0
640,309,25.1,50.61,0
641,309,25.5,50.4,0
642,308.33,25,50.65,0
643,308.93,24.58,50.52,0
644,310.33,26.3,50.59,0
645,308.87,24.9,50.69,0
646,310.07,25.76,50.64,0
647,307.87,26.23,50.68,0
648,310.2,25.59,50.52,0
649,311.87,24.83,50.66,0
